book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
1Chr,1,1,1,אדם,,αδαμ,False
1Chr,1,1,2,שת,,σηθ,False
1Chr,1,1,3,אנוש,,ενως,False
1Chr,1,2,4,קינן,,καιναν,False
1Chr,1,2,5,מהללאל,,μαλελεηλ,False
1Chr,1,2,6,ירד,,ιαρεδ,False
1Chr,1,3,7,חנוך,,ενωχ,False
1Chr,1,3,8,מתושלח,,μαθουσαλα,False
1Chr,1,3,9,למך,,λαμεχ,False
1Chr,1,4,10,נח,,νωε,False
1Chr,1,4,11,•^[Element 'added' in the Greek (plus in the LXX).],בני,υιοι,True
1Chr,1,4,12,•^[Element 'added' in the Greek (plus in the LXX).] •^[Introducing reconstructed proper noun.] נח,,νωε,True
1Chr,1,4,13,שם,,σημ,False
1Chr,1,4,14,חם,,χαμ,False
1Chr,1,4,15,ויפת,,ιαφεθ,False
1Chr,1,5,16,בני,,υιοι,False
1Chr,1,5,17,יפת,,ιαφεθ,False
1Chr,1,5,18,גמר,,γαμερ,False
1Chr,1,5,19,ומגוג,,μαγωγ,False
1Chr,1,5,20,ומדי,,μαδαι,False
1Chr,1,5,21,ויון,,ιωυαν,False
1Chr,1,5,22,•^[Element 'added' in the Greek (plus in the LXX).] =;אלישה <ge10.4>,,ελισα,True
1Chr,1,5,23,ותבל,,θοβελ,False
1Chr,1,5,24,ומשך,,μοσοχ,False
1Chr,1,5,25,ותירס,,και θιρας,False
1Chr,1,6,26,ובני,,και υιοι,False
1Chr,1,6,27,גמר,,γαμερ,False
1Chr,1,6,28,אשכנז,,ασχαναζ,False
1Chr,1,6,29,ודיפת =;וריפת .dr <ge10.3>,,και ριφαθ,False
1Chr,1,6,30,ותוגרמה •^[Introducing reconstructed proper noun.] ותורגמה •^[Interchange of consonants between MT and the presumed Hebrew parent text of the LXX (metathesis.)],,και θοργαμα,False
1Chr,1,7,31,ובני,,και υιοι,False
1Chr,1,7,32,יון,,ιωυαν,False
1Chr,1,7,33,אלישה,,ελισα,False
1Chr,1,7,34,ותרשישה =;ותרשיש .h-<ge10.4,,και θαρσις,False
1Chr,1,7,35,כתים,,κιτιοι,False
1Chr,1,7,36,ורודנים,,και ροδιοι,False
1Chr,1,8,37,בני,,και υιοι,False
1Chr,1,8,38,חם,,χαμ,False
1Chr,1,8,39,כוש,,χους,False
1Chr,1,8,40,ומצרים,,και μεστραιμ,False
1Chr,1,8,41,פוט •^[Introducing reconstructed proper noun.] פוד .טd,,φουδ,False
1Chr,1,8,42,וכנען,,και χανααν,False
1Chr,1,9,43,ובני,,και υιοι,False
1Chr,1,9,44,כוש,,χους,False
1Chr,1,9,45,סבא,,σαβα,False
1Chr,1,9,46,וחוילה,,και ευιλατ,False
1Chr,1,9,47,וסבתא,,και σαβαθα,False
1Chr,1,9,48,ורעמא,,και ρεγμα,False
1Chr,1,9,49,וסבתכא •^[Introducing reconstructed proper noun.] וסבכתא •^[Interchange of consonants between MT and the presumed Hebrew parent text of the LXX (metathesis.)],,και σεβεκαθα,False
1Chr,1,9,50,ובני,,και υιοι,False
1Chr,1,9,51,רעמא,,ρεγμα,False
1Chr,1,9,52,שבא,,σαβα,False
1Chr,1,9,53,ודדן,,και •^[Reference to doublet (occurring between the two elements of the doublet.] ουδαδαν,False
1Chr,1,10,54,וכוש,,και χους,False
1Chr,1,10,55,ילד,,εγεννησεν,False
1Chr,1,10,56,את נמרוד •^[Introducing reconstructed proper noun.] את נברוד .mb,,τον νεβρωδ,False
1Chr,1,10,57,הוא,,ουτος,False
1Chr,1,10,58,החל,,ηρξατο,False
1Chr,1,10,59,להיות,,του ειναι,False
1Chr,1,10,60,גבור,,γιγας,False
