book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
2Sam/K,1,1,1,ויהי,,και εγενετο,False
2Sam/K,1,1,2,אחרי,,μετα,False
2Sam/K,1,1,3,מות,,το αποθανειν,False
2Sam/K,1,1,4,שאול,,σαουλ,False
2Sam/K,1,1,5,ודוד,,και δαυιδ,False
2Sam/K,1,1,6,שב,,ανεστρεψεν,False
2Sam/K,1,1,7,מהכות •^[Difference in preposition or particle.],,τυπτων,False
2Sam/K,1,1,8,את העמלק,,τον αμαληκ,False
2Sam/K,1,1,9,וישב,,και εκαθισεν,False
2Sam/K,1,1,10,דוד,,δαυιδ,False
2Sam/K,1,1,11,בצקלג,,εν σεκελακ,False
2Sam/K,1,1,12,ימים,,ημερας,False
2Sam/K,1,1,13,שנים,,δυο,False
2Sam/K,1,2,14,ויהי,,και εγενηθη,False
2Sam/K,1,2,15,ביום,,τη ημερα,False
2Sam/K,1,2,16,השלישי,,τη τριτη,False
2Sam/K,1,2,17,והנה,,και ιδου,False
2Sam/K,1,2,18,איש,,ανηρ,False
2Sam/K,1,2,19,בא,,ηλθεν,False
2Sam/K,1,2,20,מן,,εκ,False
2Sam/K,1,2,21,המחנה,,της παρεμβολης,False
2Sam/K,1,2,22,מעם •^[Difference in vocalization (reading).],,εκ του λαου,False
2Sam/K,1,2,23,שאול,,σαουλ,False
2Sam/K,1,2,24,ובגדיו,,και τα ιματια αυτου,False
2Sam/K,1,2,25,קרעים,,διερρωγοτα,False
2Sam/K,1,2,26,ואדמה,,και γη,False
2Sam/K,1,2,27,על,,επι,False
2Sam/K,1,2,28,ראשו,,της κεφαλης αυτου,False
2Sam/K,1,2,29,ויהי,,και εγενετο,False
2Sam/K,1,2,30,בבאו,,εν τω εισελθειν αυτον,False
2Sam/K,1,2,31,אל,,προς,False
2Sam/K,1,2,32,דוד,,δαυιδ,False
2Sam/K,1,2,33,ויפל,,και επεσεν,False
2Sam/K,1,2,34,ארצה,,επι την γην,False
2Sam/K,1,2,35,וישתחו,,και προσεκυνησεν,False
2Sam/K,1,2,36,•^[Element 'added' in the Greek (plus in the LXX).],,αυτω,True
2Sam/K,1,3,37,ויאמר,,και ειπεν,False
2Sam/K,1,3,38,לו,,αυτω,False
2Sam/K,1,3,39,דוד,,δαυιδ,False
2Sam/K,1,3,40,אי מזה,,ποθεν,False
2Sam/K,1,3,41,תבוא,,συ παραγινη,False
2Sam/K,1,3,42,ויאמר,,και ειπεν,False
2Sam/K,1,3,43,אליו,,προς αυτον,False
2Sam/K,1,3,44,ממחנה,,εκ της παρεμβολης,False
2Sam/K,1,3,45,ישראל,,ισραηλ,False
2Sam/K,1,3,46,נמלטתי,,εγω διασεσωσμαι,False
2Sam/K,1,4,47,ויאמר,,και ειπεν,False
2Sam/K,1,4,48,אליו,,αυτω,False
2Sam/K,1,4,49,דוד,,δαυιδ,False
2Sam/K,1,4,50,מה,,τις,False
2Sam/K,1,4,51,"היה •^[Questionable notation, equivalent, etc.]",,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],False
2Sam/K,1,4,52,הדבר,,ο λογος,False
2Sam/K,1,4,53,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],"היה,הזה .yz",ουτος,True
2Sam/K,1,4,54,הגד,,απαγγειλον,False
2Sam/K,1,4,55,נא,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
2Sam/K,1,4,56,לי,,μοι,False
2Sam/K,1,4,57,ויאמר,,και ειπεν,False
2Sam/K,1,4,58,אשר,,οτι,False
2Sam/K,1,4,59,נס,,εφυγεν,False
2Sam/K,1,4,60,העם,,ο λαος,False
2Sam/K,1,4,61,מן,,εκ,False
2Sam/K,1,4,62,המלחמה,,του πολεμου,False
2Sam/K,1,4,63,וגם,,και,False
2Sam/K,1,4,64,הרבה,נפל,πεπτωκασι,True
2Sam/K,1,4,65,נפל,הרבה,πολλοι,True
2Sam/K,1,4,66,מן,,εκ,False
2Sam/K,1,4,67,העם,,του λαου,False
2Sam/K,1,4,68,וימתו,,και απεθανον,False
2Sam/K,1,4,69,•^[Element 'added' in the Greek (plus in the LXX).] =;וימת,,και απεθανεν,True
2Sam/K,1,4,70,וגם,,και,False
2Sam/K,1,4,71,שאול,,σαουλ,False
2Sam/K,1,4,72,ויהונתן,,και ιωναθαν,False
2Sam/K,1,4,73,בנו,,ο υιος αυτου,False
2Sam/K,1,4,74,מתו,,απεθανεν,False
2Sam/K,1,5,75,ויאמר,,και ειπεν,False
2Sam/K,1,5,76,דוד,,δαυιδ,False
2Sam/K,1,5,77,אל הנער,,τω παιδαριω,False
2Sam/K,1,5,78,המגיד,,τω απαγγελλοντι,False
2Sam/K,1,5,79,לו,,αυτω,False
2Sam/K,1,5,80,איך,,πως,False
2Sam/K,1,5,81,ידעת,,οιδας,False
2Sam/K,1,5,82,כי,,οτι,False
2Sam/K,1,5,83,מת,,τεθνηκεν,False
2Sam/K,1,5,84,שאול,,σαουλ,False
2Sam/K,1,5,85,ויהונתן,,και ιωναθαν,False
2Sam/K,1,5,86,בנו,,ο υιος αυτου,False
2Sam/K,1,6,87,ויאמר,,και ειπεν,False
2Sam/K,1,6,88,הנער,,το παιδαριον,False
2Sam/K,1,6,89,המגיד,,το απαγγελλον,False
2Sam/K,1,6,90,לו,,αυτω,False
2Sam/K,1,6,91,נקרא {!}nd,,περιπτωματι,False
2Sam/K,1,6,92,נקריתי {!}nd,,περιεπεσον,False
2Sam/K,1,6,93,בהר,,εν τω ορει,False
2Sam/K,1,6,94,הגלבע,,τω γελβουε,False
2Sam/K,1,6,95,והנה,,και ιδου,False
2Sam/K,1,6,96,שאול,,σαουλ,False
2Sam/K,1,6,97,נשען,,επεστηρικτο,False
2Sam/K,1,6,98,על,,επι,False
2Sam/K,1,6,99,חניתו,,το δορυ αυτου,False
2Sam/K,1,6,100,והנה,,και ιδου,False
2Sam/K,1,6,101,הרכב,,τα αρματα,False
2Sam/K,1,6,102,ובעלי הפרשים,,και οι ιππαρχαι,False
2Sam/K,1,6,103,הדבקהו,,συνηψαν αυτω,False
2Sam/K,1,7,104,ויפן,,και επεβλεψεν,False
2Sam/K,1,7,105,אחריו,,επι τα οπισω αυτου,False
2Sam/K,1,7,106,ויראני,,και ειδεν με,False
2Sam/K,1,7,107,ויקרא,,και εκαλεσεν,False
2Sam/K,1,7,108,אלי,,με,False
2Sam/K,1,7,109,ואמר,,και ειπα,False
2Sam/K,1,7,110,הנני,,ιδου εγω,False
2Sam/K,1,8,111,ויאמר,,και ειπεν,False
2Sam/K,1,8,112,לי,,μοι,False
2Sam/K,1,8,113,מי,,τις,False
2Sam/K,1,8,114,אתה,,ει συ,False
2Sam/K,1,8,115,*ויאמר **ואמר •^[Agreement of LXX with qere.],,και ειπα,False
2Sam/K,1,8,116,אליו,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
2Sam/K,1,8,117,עמלקי,,"αμαληκιτης {t •^[Questionable notation, equivalent, etc.] }",False
2Sam/K,1,8,118,אנכי,,εγω ειμι,False
2Sam/K,1,9,119,ויאמר,,και ειπεν,False
2Sam/K,1,9,120,אלי,,προς με,False
2Sam/K,1,9,121,עמד,,στηθι,False
2Sam/K,1,9,122,נא,,δη,False
2Sam/K,1,9,123,עלי,,επανω μου,False
2Sam/K,1,9,124,ומתתני,,και θανατωσον με,False
2Sam/K,1,9,125,כי,,οτι,False
2Sam/K,1,9,126,אחזני,,κατεσχεν με,False
2Sam/K,1,9,127,השבץ,,σκοτος δεινον,False
2Sam/K,1,9,128,כי,,οτι,False
2Sam/K,1,9,129,כל,,πασα,False
2Sam/K,1,9,130,עוד,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
2Sam/K,1,9,131,נפשי,,η ψυχη μου,False
2Sam/K,1,9,132,בי,,εν εμοι,False
2Sam/K,1,10,133,ואעמד,,και επεστην,False
2Sam/K,1,10,134,עליו,,επ' αυτον,False
2Sam/K,1,10,135,ואמתתהו,,και εθανατωσα αυτον,False
2Sam/K,1,10,136,כי,,οτι,False
2Sam/K,1,10,137,ידעתי,,ηδειν,False
2Sam/K,1,10,138,כי,,οτι,False
2Sam/K,1,10,139,לא,,ου,False
2Sam/K,1,10,140,יחיה,,ζησεται,False
2Sam/K,1,10,141,אחרי,,μετα,False
2Sam/K,1,10,142,נפלו,,το πεσειν αυτον,False
2Sam/K,1,10,143,ואקח,,και ελαβον,False
2Sam/K,1,10,144,הנזר,,το βασιλειον,False
2Sam/K,1,10,145,אשר,,το,False
2Sam/K,1,10,146,על,,επι,False
2Sam/K,1,10,147,ראשו,,την κεφαλην αυτου,False
2Sam/K,1,10,148,ואצעדה,,και τον χλιδωνα,False
2Sam/K,1,10,149,אשר,,τον,False
2Sam/K,1,10,150,על,,επι,False
2Sam/K,1,10,151,זרעו,,του βραχιονος αυτου,False
2Sam/K,1,10,152,ואביאם,,και ενηνοχα αυτα,False
2Sam/K,1,10,153,אל אדני,,τω κυριω μου,False
2Sam/K,1,10,154,הנה,,ωδε,False
2Sam/K,1,11,155,"ויחזק •^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] ב",,και εκρατησεν,False
2Sam/K,1,11,156,דוד,,δαυιδ,False
2Sam/K,1,11,157,*בבגדו **בבגדיו,,των ιματιων αυτου,False
2Sam/K,1,11,158,ויקרעם,,και διερρηξεν αυτα,False
2Sam/K,1,11,159,וגם,,και,False
2Sam/K,1,11,160,כל,,παντες,False
