book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Amos,1,1,1,דברי,,λογοι,False
Amos,1,1,2,עמוס,,αμως,False
Amos,1,1,3,אשר,,οι,False
Amos,1,1,4,היה,,εγενοντο,False
Amos,1,1,5,בנקדים,בנקרים .dr,εν νακκαριμ •^[Transliterated Hebrew word.],True
Amos,1,1,6,מתקוע,,εκ θεκουε,False
Amos,1,1,7,אשר,,ους,False
Amos,1,1,8,חזה,,ειδεν,False
Amos,1,1,9,על,,υπερ,False
Amos,1,1,10,ישראל •^[Introducing reconstructed proper noun.] ירושלם,,ιερουσαλημ,False
Amos,1,1,11,בימי,,εν ημεραις,False
Amos,1,1,12,עזיה,,οζιου,False
Amos,1,1,13,מלך,,βασιλεως,False
Amos,1,1,14,יהודה,,ιουδα,False
Amos,1,1,15,ובימי,,και εν ημεραις,False
Amos,1,1,16,ירבעם,,ιεροβοαμ,False
Amos,1,1,17,בן,,του,False
Amos,1,1,18,יואש,,ιωας,False
Amos,1,1,19,מלך,,βασιλεως,False
Amos,1,1,20,ישראל,,ισραηλ,False
Amos,1,1,21,שנתים,,{..δυο ετων},False
Amos,1,1,22,לפני,,προ,False
Amos,1,1,23,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,δυο ετων,False
Amos,1,1,24,הרעש,,του σεισμου,False
Amos,1,2,25,ויאמר,,και ειπεν,False
Amos,1,2,26,יהוה,,κυριος,False
Amos,1,2,27,מציון,,εκ σιων,False
Amos,1,2,28,ישאג,,εφθεγξατο,False
Amos,1,2,29,ומירושלם,,και εξ ιερουσαλημ,False
Amos,1,2,30,יתן,,εδωκεν,False
Amos,1,2,31,קולו,,φωνην αυτου,False
Amos,1,2,32,ואבלו •^[Etymological exegesis.],,και επενθησαν,False
Amos,1,2,33,נאות,,αι νομαι,False
Amos,1,2,34,הרעים,,των ποιμενων,False
Amos,1,2,35,ויבש,,και εξηρανθη,False
Amos,1,2,36,ראש,,η κορυφη,False
Amos,1,2,37,הכרמל,,του καρμηλου,False
Amos,1,3,38,כה,,και,False
Amos,1,3,39,אמר,,ειπεν,False
Amos,1,3,40,יהוה,,κυριος,False
Amos,1,3,41,על,,επι,False
Amos,1,3,42,שלשה,,ταις τρισιν,False
Amos,1,3,43,פשעי,,ασεβειαις,False
Amos,1,3,44,דמשק,,δαμασκου,False
Amos,1,3,45,ועל,,και επι,False
Amos,1,3,46,ארבעה,,ταις τεσσαρσιν,False
Amos,1,3,47,לא,,ουκ,False
Amos,1,3,48,אשיבנו,,αποστραφησομαι αυτον,False
Amos,1,3,49,על,,ανθ' ων,False
Amos,1,3,50,דושם,,επριζον,False
Amos,1,3,51,בחרצות,,πριοσιν,False
Amos,1,3,52,הברזל,,σιδηροις,False
Amos,1,3,53,את •^[Element 'added' in the Greek (plus in the LXX).] =;את הרות <1.13>,,τας εν γαστρι εχουσας,True
Amos,1,3,54,הגלעד,,των εν γαλααδ,False
Amos,1,4,55,ושלחתי,,και εξαποστελω,False
Amos,1,4,56,אש,,πυρ,False
Amos,1,4,57,בבית,,εις τον οικον,False
Amos,1,4,58,חזאל,,αζαηλ,False
Amos,1,4,59,ואכלה,,και καταφαγεται,False
Amos,1,4,60,ארמנות,,θεμελια,False
Amos,1,4,61,בן הדד •^[Introducing reconstructed proper noun.] בן הדר .dr,,υιου αδερ,False
Amos,1,5,62,ושברתי,,και συντριψω,False
Amos,1,5,63,בריח,,μοχλους,False
Amos,1,5,64,דמשק,,δαμασκου,False
Amos,1,5,65,והכרתי,,και εξολεθρευσω,False
Amos,1,5,66,יושב,,κατοικουντας,False
Amos,1,5,67,מבקעת,,εκ πεδιου,False
Amos,1,5,68,און,,ων,False
