book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Dan,1,1,1,בשנת,,επι {..ετουσ},False
Dan,1,1,2,שלוש,,{..τριτου},False
Dan,1,1,3,"למלכות •^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] מלך",,βασιλεως,False
Dan,1,1,4,יהויקים,,ιωακιμ,False
Dan,1,1,5,מלך,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",False
Dan,1,1,6,יהודה,,της ιουδαιας,False
Dan,1,1,7,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],,ετους,False
Dan,1,1,8,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],,τριτου,False
Dan,1,1,9,בא,,παραγενομενος,False
Dan,1,1,10,נבוכדנאצר,,ναβουχοδονοσορ,False
Dan,1,1,11,מלך,,βασιλευς,False
Dan,1,1,12,בבל,,βαβυλωνος,False
Dan,1,1,13,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εις,False
Dan,1,1,14,ירושלם,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εις ιερουσαλημ,False
Dan,1,1,15,ויצר,,επολιορκει,False
Dan,1,1,16,עליה,,αυτην,False
Dan,1,2,17,ויתן,,και παρεδωκεν,False
Dan,1,2,18,•^[Element 'added' in the Greek (plus in the LXX).],,αυτην,True
Dan,1,2,19,אדני,,κυριος,False
Dan,1,2,20,בידו,,εις χειρας αυτου,False
Dan,1,2,21,את יהויקים,,και ιωακιμ,False
Dan,1,2,22,מלך,,τον βασιλεα,False
Dan,1,2,23,יהודה,,της ιουδαιας,False
Dan,1,2,24,ומקצת,,και μερος τι,False
Dan,1,2,25,•^[Element 'added' in the Greek (plus in the LXX).],,των ιερων,True
Dan,1,2,26,כלי,,σκευων,False
Dan,1,2,27,בית,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Dan,1,2,28,האלהים,,του κυριου,False
Dan,1,2,29,ויביאם,,και απηνεγκεν αυτα,False
Dan,1,2,30,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εις,False
Dan,1,2,31,ארץ שנער,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εις βαβυλωνα,False
Dan,1,2,32,בית,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Dan,1,2,33,אלהיו,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Dan,1,2,34,ואת הכלים,,και •^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Dan,1,2,35,הביא,,απηρεισατο,False
Dan,1,2,36,•^[Element 'added' in the Greek (plus in the LXX).],,αυτα,True
Dan,1,2,37,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εν,False
Dan,1,2,38,בית אוצר אלהיו,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εν τω ειδωλιω αυτου,False
Dan,1,3,39,ויאמר,,και ειπεν,False
Dan,1,3,40,המלך,,ο βασιλευς,False
Dan,1,3,41,לאשפנז,,αβιεσδρι,False
Dan,1,3,42,רב סריסיו,,τω εαυτου αρχιευνουχω,False
Dan,1,3,43,להביא,,αγαγειν,False
Dan,1,3,44,•^[Element 'added' in the Greek (plus in the LXX).],,αυτω,True
Dan,1,3,45,מבני,,εκ των υιων,False
Dan,1,3,46,•^[Element 'added' in the Greek (plus in the LXX).],,των μεγιστανων,True
Dan,1,3,47,ישראל,,του ισραηλ,False
Dan,1,3,48,ומזרע,,και εκ του {..γενουσ},False
Dan,1,3,49,המלוכה,,του βασιλικου,False
Dan,1,3,50,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,γενους,False
Dan,1,3,51,ומן,,και εκ,False
Dan,1,3,52,הפרתמים,,των επιλεκτων,False
Dan,1,4,53,ילדים,,νεανισκους,False
Dan,1,4,54,אשר אין בהם כל *מאום **מום,,αμεμους,False
Dan,1,4,55,וטובי מראה,,και ευειδεις,False
Dan,1,4,56,ומשכילים,,και επιστημονας,False
Dan,1,4,57,בכל,,εν παση,False
Dan,1,4,58,חכמה,,σοφια,False
Dan,1,4,59,וידעי דעת,,και γραμματικους,False
Dan,1,4,60,ומביני,,και συνετους,False
Dan,1,4,61,מדע,,και σοφους,False
Dan,1,4,62,ואשר כח בהם,,και ισχυοντας,False
Dan,1,4,63,לעמד,,ωστε ειναι,False
Dan,1,4,64,בהיכל,,εν τω οικω,False
Dan,1,4,65,המלך,,του βασιλεως,False
Dan,1,4,66,וללמדם,,και διδαξαι αυτους,False
Dan,1,4,67,ספר,,γραμματα,False
Dan,1,4,68,ולשון,,και διαλεκτον,False
Dan,1,4,69,כשדים,,χαλδαικην,False
Dan,1,5,70,וימן,,και διδοσθαι,False
Dan,1,5,71,להם,,αυτοις,False
Dan,1,5,72,המלך,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Dan,1,5,73,דבר יום ביומו,,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],False
Dan,1,5,74,מפת בג,,"εκθεσιν εκ του οικου {d •^[Questionable notation, equivalent, etc.] } {...και#",False
Dan,1,5,75,"•^[Long line continuing in next one, placed both at the end of the line running over and at the beginning of the following line in the opposite column.]",,απο της τραπεζησ},False
Dan,1,5,76,המלך,,"του βασιλεως {d •^[Questionable notation, equivalent, etc.] } •^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] βασιλικης",False
Dan,1,5,77,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],,καθ' εκαστην ημεραν,False
Dan,1,5,78,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,και απο της,False
Dan,1,5,79,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,βασιλικης,False
Dan,1,5,80,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,τραπεζης,False
Dan,1,5,81,ומיין,,και απο του οινου,False
Dan,1,5,82,משתיו,,ου πινει,False
Dan,1,5,83,•^[Element 'added' in the Greek (plus in the LXX).],,ο βασιλευς,True
Dan,1,5,84,ולגדלם,,και εκπαιδευσαι αυτους,False
Dan,1,5,85,שנים,,ετη,False
