book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
DanTh,1,1,1,בשנת,,εν ετει,False
DanTh,1,1,2,שלוש,,τριτω,False
DanTh,1,1,3,למלכות,,της βασιλειας,False
DanTh,1,1,4,יהויקים,,ιωακιμ,False
DanTh,1,1,5,מלך,,βασιλεως,False
DanTh,1,1,6,יהודה,,ιουδα,False
DanTh,1,1,7,בא,,ηλθεν,False
DanTh,1,1,8,נבוכדנאצר,,ναβουχοδονοσορ,False
DanTh,1,1,9,מלך,,βασιλευς,False
DanTh,1,1,10,בבל,,βαβυλωνος,False
DanTh,1,1,11,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εις,False
DanTh,1,1,12,ירושלם,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εις ιερουσαλημ,False
DanTh,1,1,13,ויצר,,και επολιορκει,False
DanTh,1,1,14,עליה,,αυτην,False
DanTh,1,2,15,ויתן,,και εδωκεν,False
DanTh,1,2,16,אדני,,κυριος,False
DanTh,1,2,17,בידו,,εν χειρι αυτου,False
DanTh,1,2,18,את יהויקים,,τον ιωακιμ,False
DanTh,1,2,19,מלך,,βασιλεα,False
DanTh,1,2,20,יהודה,,ιουδα,False
DanTh,1,2,21,ומקצת,,και απο μερους,False
DanTh,1,2,22,כלי,,των σκευων,False
DanTh,1,2,23,בית,,οικου,False
DanTh,1,2,24,האלהים,,του θεου,False
DanTh,1,2,25,ויביאם,,και ηνεγκεν αυτα,False
DanTh,1,2,26,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εις,False
DanTh,1,2,27,ארץ,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εις γην,False
DanTh,1,2,28,שנער,,σεννααρ,False
DanTh,1,2,29,בית,,οικον,False
DanTh,1,2,30,אלהיו,,του θεου αυτου,False
DanTh,1,2,31,ואת הכלים,,και τα σκευη,False
DanTh,1,2,32,הביא,,εισηνεγκεν,False
DanTh,1,2,33,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εις,False
DanTh,1,2,34,בית,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εις τον οικον,False
DanTh,1,2,35,אוצר,,θησαυρου,False
DanTh,1,2,36,אלהיו,,του θεου αυτου,False
DanTh,1,3,37,ויאמר,,και ειπεν,False
DanTh,1,3,38,המלך,,ο βασιλευς,False
DanTh,1,3,39,לאשפנז,,τω ασφανεζ,False
DanTh,1,3,40,רב סריסיו,,τω αρχιευνουχω αυτου,False
DanTh,1,3,41,להביא,,εισαγαγειν,False
DanTh,1,3,42,מבני,,απο των υιων,False
DanTh,1,3,43,•^[Element 'added' in the Greek (plus in the LXX).],,της αιχμαλωσιας,True
DanTh,1,3,44,ישראל,,ισραηλ,False
DanTh,1,3,45,ומזרע,,και απο του σπερματος,False
DanTh,1,3,46,המלוכה,,της βασιλειας,False
DanTh,1,3,47,ומן,,και απο,False
DanTh,1,3,48,הפרתמים,,των φορθομμιν •^[Transliterated Hebrew word.],False
DanTh,1,4,49,ילדים,,νεανισκους,False
DanTh,1,4,50,אשר,,οις,False
DanTh,1,4,51,אין,,ουκ εστιν,False
DanTh,1,4,52,בהם,,εν αυτοις,False
DanTh,1,4,53,כל,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
DanTh,1,4,54,*מאום **מום,,μωμος,False
DanTh,1,4,55,וטובי,,και καλους,False
DanTh,1,4,56,מראה,,τη οψει,False
DanTh,1,4,57,ומשכילים,,και συνιεντας,False
DanTh,1,4,58,בכל,,εν παση,False
DanTh,1,4,59,חכמה,,σοφια,False
DanTh,1,4,60,וידעי,,και γιγνωσκοντας,False
DanTh,1,4,61,דעת,,γνωσιν,False
DanTh,1,4,62,ומביני,,και διανοουμενους,False
DanTh,1,4,63,מדע,,φρονησιν,False
DanTh,1,4,64,ואשר,,και οις εστιν,False
DanTh,1,4,65,כח,,ισχυς,False
DanTh,1,4,66,בהם,,εν αυτοις,False
DanTh,1,4,67,לעמד,,εσταναι,False
DanTh,1,4,68,בהיכל,,εν τω οικω,False
DanTh,1,4,69,המלך,,του βασιλεως,False
DanTh,1,4,70,וללמדם,,και διδαξαι αυτους,False
DanTh,1,4,71,ספר,,γραμματα,False
DanTh,1,4,72,ולשון,,και γλωσσαν,False
DanTh,1,4,73,כשדים,,χαλδαιων,False
DanTh,1,5,74,וימן,,και διεταξεν,False
DanTh,1,5,75,להם,,αυτοις,False
DanTh,1,5,76,המלך,,ο βασιλευς,False
DanTh,1,5,77,דבר,,το,False
DanTh,1,5,78,יום,,της ημερας,False
DanTh,1,5,79,ביומו,,καθ' ημεραν,False
DanTh,1,5,80,מפת בג,,απο της τραπεζης,False
DanTh,1,5,81,המלך,,του βασιλεως,False
DanTh,1,5,82,ומיין,,και απο του οινου,False
DanTh,1,5,83,משתיו,,του ποτου αυτου,False
DanTh,1,5,84,ולגדלם,,και θρεψαι αυτους,False
DanTh,1,5,85,שנים,,ετη,False
DanTh,1,5,86,שלוש,,τρια,False
DanTh,1,5,87,ומקצתם,"•^[Questionable notation, equivalent, etc.] •^[Questionable notation, equivalent, etc.]",και μετα ταυτα,True
DanTh,1,5,88,יעמדו,,στηναι,False
DanTh,1,5,89,לפני,,ενωπιον,False
DanTh,1,5,90,המלך,,του βασιλεως,False
DanTh,1,6,91,ויהי,,και εγενετο,False
DanTh,1,6,92,בהם,,εν αυτοις,False
DanTh,1,6,93,מבני,,εκ των υιων,False
DanTh,1,6,94,יהודה,,ιουδα,False
DanTh,1,6,95,דניאל,,,False
DanTh,1,6,96,דAנIהל,,,False
DanTh,1,6,97,חנניה,,και ανανιας,False
DanTh,1,6,98,מישאל,,και μισαηλ,False
DanTh,1,6,99,ועזריה,,και αζαριας,False
DanTh,1,7,100,וישם,,και επεθηκεν,False
DanTh,1,7,101,להם,,αυτοις,False
DanTh,1,7,102,שר הסריסים,,ο αρχιευνουχος,False
DanTh,1,7,103,שמות,,ονοματα,False
DanTh,1,7,104,וישם,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
DanTh,1,7,105,לדניאל,,τω,False
DanTh,1,7,106,דAנIהל,,,False
DanTh,1,7,107,בלטשאצר,,βαλτασαρ,False
DanTh,1,7,108,ולחנניה,,και τω ανανια,False
DanTh,1,7,109,שדרך,,σεδραχ,False
DanTh,1,7,110,ולמישאל,,και τω μισαηλ,False
DanTh,1,7,111,מישך,,μισαχ,False
DanTh,1,7,112,ולעזריה,,και τω αζαρια,False
DanTh,1,7,113,עבד נגו,,αβδεναγω,False
DanTh,1,8,114,וישם,,και εθετο,False
DanTh,1,8,115,דניאל,,,False
DanTh,1,8,116,דAנIהל,,,False
