book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Deut,1,1,1,אלה,,ουτοι,False
Deut,1,1,2,הדברים,,οι λογοι,False
Deut,1,1,3,אשר,,ους,False
Deut,1,1,4,דבר,,ελαλησεν,False
Deut,1,1,5,משה,,μωυσης,False
Deut,1,1,6,אל כל,,παντι,False
Deut,1,1,7,ישראל,,ισραηλ,False
Deut,1,1,8,בעבר,,περαν,False
Deut,1,1,9,הירדן,,του ιορδανου,False
Deut,1,1,10,במדבר,,εν τη ερημω,False
Deut,1,1,11,בערבה •^[Etymological exegesis.] ערב,,προς δυσμαις,False
Deut,1,1,12,מול,,πλησιον,False
Deut,1,1,13,סוף,,της ερυθρας,False
Deut,1,1,14,בין,,ανα μεσον,False
Deut,1,1,15,פארן,,φαραν,False
Deut,1,1,16,ובין,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Deut,1,1,17,תפל,,τοφολ,False
Deut,1,1,18,ולבן,,και λοβον,False
Deut,1,1,19,וחצרת,,και αυλων,False
Deut,1,1,20,ודי זהב,,και καταχρυσεα,False
Deut,1,2,21,אחד עשר,,ενδεκα,False
Deut,1,2,22,יום,,ημερων,False
Deut,1,2,23,מחרב,,εν χωρηβ,False
Deut,1,2,24,דרך,,οδος,False
Deut,1,2,25,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,επ',False
Deut,1,2,26,הר,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] επ' ορος,False
Deut,1,2,27,שעיר,,σηιρ,False
Deut,1,2,28,עד,,εως,False
Deut,1,2,29,קדש ברנע,,καδης βαρνη,False
Deut,1,3,30,ויהי,,και εγενηθη,False
Deut,1,3,31,בארבעים,,εν τω τεσσαρακοστω,False
Deut,1,3,32,שנה,,ετει,False
Deut,1,3,33,בעשתי עשר,,εν τω ενδεκατω,False
Deut,1,3,34,חדש,,μηνι,False
Deut,1,3,35,באחד,,μια,False
Deut,1,3,36,לחדש,,του μηνος,False
Deut,1,3,37,דבר,,ελαλησεν,False
Deut,1,3,38,משה,,μωυσης,False
Deut,1,3,39,אל,,προς,False
Deut,1,3,40,•^[Element 'added' in the Greek (plus in the LXX).],,παντας,True
Deut,1,3,41,בני,,υιους,False
Deut,1,3,42,ישראל,,ισραηλ,False
Deut,1,3,43,ככל,,κατα παντα,False
Deut,1,3,44,אשר,,οσα,False
Deut,1,3,45,צוה,,ενετειλατο,False
Deut,1,3,46,יהוה,,κυριος,False
Deut,1,3,47,אתו,,αυτω,False
Deut,1,3,48,אלהם,,προς αυτους,False
Deut,1,4,49,אחרי,,μετα,False
Deut,1,4,50,הכתו,,το παταξαι,False
Deut,1,4,51,את סיחן,,σηων,False
Deut,1,4,52,מלך,,βασιλεα,False
Deut,1,4,53,האמרי,,αμορραιων,False
Deut,1,4,54,אשר,,τον,False
Deut,1,4,55,יושב,,κατοικησαντα,False
Deut,1,4,56,בחשבון,,εν εσεβων,False
Deut,1,4,57,ואת עוג,,και ωγ,False
Deut,1,4,58,מלך,,βασιλεα,False
Deut,1,4,59,הבשן,,της βασαν,False
Deut,1,4,60,אשר,,τον,False
Deut,1,4,61,יושב,,κατοικησαντα,False
Deut,1,4,62,בעשתרת,,εν ασταρωθ,False
Deut,1,4,63,באדרעי,,και εν εδραιν,False
Deut,1,5,64,בעבר,,εν τω περαν,False
Deut,1,5,65,הירדן,,του ιορδανου,False
Deut,1,5,66,בארץ,,εν γη,False
Deut,1,5,67,מואב,,μωαβ,False
Deut,1,5,68,הואיל,,ηρξατο,False
Deut,1,5,69,משה,,μωυσης,False
Deut,1,5,70,באר,,διασαφησαι,False
Deut,1,5,71,את התורה,,τον νομον,False
Deut,1,5,72,הזאת,,τουτον,False
Deut,1,5,73,לאמר,,λεγων,False
Deut,1,6,74,יהוה,,κυριος,False
Deut,1,6,75,אלהינו,,ο θεος ημων,False
Deut,1,6,76,דבר,,ελαλησεν,False
Deut,1,6,77,אלינו,,ημιν,False
Deut,1,6,78,בחרב,,εν χωρηβ,False
Deut,1,6,79,לאמר,,λεγων,False
Deut,1,6,80,רב,,ικανουσθω,False
Deut,1,6,81,לכם,,υμιν,False
Deut,1,6,82,שבת,,κατοικειν,False
Deut,1,6,83,בהר,,εν τω ορει,False
Deut,1,6,84,הזה,,τουτω,False
Deut,1,7,85,פנו,,επιστραφητε,False
Deut,1,7,86,וסעו,,και απαρατε,False
Deut,1,7,87,לכם,,υμεις,False
Deut,1,7,88,ובאו,,και εισπορευεσθε,False
Deut,1,7,89,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εις,False
Deut,1,7,90,הר,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εις ορος,False
Deut,1,7,91,האמרי,,αμορραιων,False
Deut,1,7,92,ואל,,και προς,False
Deut,1,7,93,כל,,παντας,False
Deut,1,7,94,שכניו,,τους περιοικους,False
Deut,1,7,95,בערבה,,αραβα •^[Transliterated Hebrew word.],False
Deut,1,7,96,בהר,,εις ορος,False
Deut,1,7,97,ובשפלה,,"και •^[Distributive rendering, occurring once in the translation but referring to more than one Hebrew word.] εις πεδιον",False
Deut,1,7,98,ובנגב,,και προς λιβα,False
Deut,1,7,99,ובחוף הים,,"και •^[Distributive rendering, occurring once in the translation but referring to more than one Hebrew word.] προς παραλιαν",False
Deut,1,7,100,ארץ,,γην,False
Deut,1,7,101,הכנעני,,χαναναιων,False
Deut,1,7,102,והלבנון,,και αντιλιβανον,False
Deut,1,7,103,עד,,εως,False
Deut,1,7,104,הנהר,,του ποταμου,False
Deut,1,7,105,הגדל,,του μεγαλου,False
Deut,1,7,106,נהר,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Deut,1,7,107,פרת,,ευφρατου,False
Deut,1,8,108,ראה <sp> <q2a>,,ιδετε,False
Deut,1,8,109,נתתי,,παραδεδωκα,False
Deut,1,8,110,לפניכם,,ενωπιον υμων,False
Deut,1,8,111,את הארץ,,την γην,False
Deut,1,8,112,באו,,εισπορευθεντες,False
Deut,1,8,113,ורשו,,κληρονομησατε,False
Deut,1,8,114,את הארץ,,την γην,False
Deut,1,8,115,אשר,,ην,False
Deut,1,8,116,נשבע,,ωμοσα,False
Deut,1,8,117,יהוה,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Deut,1,8,118,לאבתיכם,,τοις πατρασιν υμων,False
Deut,1,8,119,לאברהם,,τω αβρααμ,False
Deut,1,8,120,ליצחק,,και ισαακ,False
Deut,1,8,121,וליעקב,,και ιακωβ,False
Deut,1,8,122,לתת,,δουναι,False
Deut,1,8,123,להם,,αυτοις,False
Deut,1,8,124,ולזרעם,,και τω σπερματι αυτων,False
Deut,1,8,125,אחריהם,,μετ' αυτους,False
Deut,1,9,126,ואמר,,και ειπα,False
Deut,1,9,127,אלכם,,προς υμας,False
Deut,1,9,128,בעת,,εν τω καιρω,False
Deut,1,9,129,ההוא,,εκεινω,False
Deut,1,9,130,לאמר,,λεγων,False
Deut,1,9,131,לא,,ου,False
Deut,1,9,132,אוכל,,δυνησομαι,False
Deut,1,9,133,לבדי,,μονος,False
Deut,1,9,134,שאת,,φερειν,False
Deut,1,9,135,אתכם,,υμας,False
Deut,1,10,136,יהוה,,κυριος,False
Deut,1,10,137,אלהיכם,,ο θεος υμων,False
Deut,1,10,138,הרבה,,επληθυνεν,False
Deut,1,10,139,אתכם,,υμας,False
Deut,1,10,140,והנכם,,και ιδου εστε,False
Deut,1,10,141,היום,,σημερον,False
Deut,1,10,142,ככוכבי,,ωσει τα αστρα,False
Deut,1,10,143,השמים,,του ουρανου,False
Deut,1,10,144,לרב,,τω πληθει,False
Deut,1,11,145,יהוה,,κυριος,False
Deut,1,11,146,אלהי,,ο θεος,False
Deut,1,11,147,אבותכם,,των πατερων υμων,False
Deut,1,11,148,יסף,,προσθειη,False
Deut,1,11,149,עליכם,,υμιν,False
Deut,1,11,150,ככם,,ως εστε,False
Deut,1,11,151,אלף פעמים,,χιλιοπλασιως,False
Deut,1,11,152,ויברך,,και ευλογησαι,False
Deut,1,11,153,אתכם,,υμας,False
Deut,1,11,154,כאשר,,καθοτι,False
Deut,1,11,155,דבר,,ελαλησεν,False
Deut,1,11,156,לכם,,υμιν,False
Deut,1,12,157,איכה,,πως,False
Deut,1,12,158,אשא,,"δυνησομαι •^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] φερειν",False
Deut,1,12,159,לבדי,,μονος,False
Deut,1,12,160,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,φερειν,False
Deut,1,12,161,טרחכם,,τον κοπον υμων,False
Deut,1,12,162,ומשאכם,,και την υποστασιν υμων,False
Deut,1,12,163,וריבכם,,και τας αντιλογιας υμων,False
Deut,1,13,164,הבו,,δοτε,False
Deut,1,13,165,לכם,,εαυτοις,False
Deut,1,13,166,אנשים,,ανδρας,False
Deut,1,13,167,חכמים,,σοφους,False
Deut,1,13,168,ונבנים,,και επιστημονας,False
Deut,1,13,169,וידעים,,και συνετους,False
Deut,1,13,170,לשבטיכם,,εις τας φυλας υμων,False
Deut,1,13,171,ואשימם,,και καταστησω εφ' υμων,False
Deut,1,13,172,בראשיכם,,ηγουμενους υμων,False
Deut,1,14,173,ותענו,,και απεκριθητε,False
Deut,1,14,174,אתי,,μοι,False
Deut,1,14,175,ותאמרו,,και ειπατε,False
Deut,1,14,176,טוב,,καλον,False
Deut,1,14,177,הדבר,,το ρημα,False
Deut,1,14,178,אשר,,ο,False
Deut,1,14,179,דברת,,ελαλησας,False
Deut,1,14,180,לעשות,,ποιησαι,False
Deut,1,15,181,ואקח,,και ελαβον,False
Deut,1,15,182,•^[Element 'added' in the Greek (plus in the LXX).],,εξ υμων,True
Deut,1,15,183,את ראשי,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Deut,1,15,184,שבטיכם,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Deut,1,15,185,אנשים,,ανδρας,False
Deut,1,15,186,חכמים,,σοφους,False
Deut,1,15,187,•^[Element 'added' in the Greek (plus in the LXX).] =;ונבנים <1.13>,,και επιστημονας,True
Deut,1,15,188,וידעים,,και συνετους,False
Deut,1,15,189,ואתן,,και κατεστησα,False
Deut,1,15,190,אתם,,αυτους,False
Deut,1,15,191,ראשים,,ηγεισθαι,False
Deut,1,15,192,עליכם,,εφ' υμων,False
Deut,1,15,193,שרי אלפים,,χιλιαρχους,False
Deut,1,15,194,ושרי מאות,,και εκατονταρχους,False
Deut,1,15,195,ושרי חמשים,,και πεντηκονταρχους,False
Deut,1,15,196,ושרי עשרת,,και δεκαδαρχους,False
Deut,1,15,197,ושטרים,,και γραμματοεισαγωγεις,False
Deut,1,15,198,לשבטיכם,לשפטיכם .bp,τοις κριταις υμων,True
Deut,1,16,199,ואצוה,,και ενετειλαμην,False
Deut,1,16,200,את שפטיכם,,τοις κριταις υμων,False
Deut,1,16,201,בעת,,εν τω καιρω,False
Deut,1,16,202,ההוא,,εκεινω,False
Deut,1,16,203,לאמר,,λεγων,False
Deut,1,16,204,שמע <sp>,,διακουετε,False
Deut,1,16,205,בין,,ανα μεσον,False
Deut,1,16,206,אחיכם,,των αδελφων υμων,False
Deut,1,16,207,ושפטתם,,και κρινατε,False
Deut,1,16,208,צדק,,δικαιως,False
Deut,1,16,209,בין,,ανα μεσον,False
Deut,1,16,210,איש,,ανδρος,False
Deut,1,16,211,ובין,,και ανα μεσον,False
Deut,1,16,212,אחיו,,αδελφου,False
Deut,1,16,213,ובין,,και ανα μεσον,False
Deut,1,16,214,גרו,,προσηλυτου αυτου,False
Deut,1,17,215,לא,,ουκ,False
Deut,1,17,216,תכירו,,επιγνωση,False
Deut,1,17,217,פנים,,προσωπον,False
Deut,1,17,218,במשפט,,εν κρισει,False
Deut,1,17,219,כקטן,,κατα τον μικρον,False
Deut,1,17,220,כגדל,,και κατα τον μεγαν,False
Deut,1,17,221,תשמעון,,κρινεις,False
Deut,1,17,222,לא,,ου μη,False
Deut,1,17,223,תגורו,,υποστειλη,False
Deut,1,17,224,מפני,,προσωπον,False
Deut,1,17,225,איש,,ανθρωπου,False
Deut,1,17,226,כי,,οτι,False
Deut,1,17,227,המשפט,,η κρισις,False
Deut,1,17,228,לאלהים,,του θεου,False
Deut,1,17,229,הוא,,εστιν,False
Deut,1,17,230,והדבר,,και το ρημα,False
Deut,1,17,231,אשר,,ο εαν,False
Deut,1,17,232,יקשה,,σκληρον η,False
Deut,1,17,233,מכם,,αφ' υμων,False
Deut,1,17,234,תקרבון,,ανοισετε,False
Deut,1,17,235,•^[Element 'added' in the Greek (plus in the LXX).],,αυτο,True
Deut,1,17,236,אלי,,επ' εμε,False
Deut,1,17,237,ושמעתיו,,και ακουσομαι αυτο,False
Deut,1,18,238,ואצוה,,και ενετειλαμην,False
Deut,1,18,239,אתכם,,υμιν,False
Deut,1,18,240,בעת,,εν τω καιρω,False
Deut,1,18,241,ההוא,,εκεινω,False
Deut,1,18,242,את כל,,παντας,False
Deut,1,18,243,הדברים,,τους λογους,False
Deut,1,18,244,אשר,,ους,False
Deut,1,18,245,תעשון,,ποιησετε,False
Deut,1,19,246,ונסע,,και απαραντες,False
Deut,1,19,247,מחרב,,εκ χωρηβ,False
Deut,1,19,248,ונלך,,επορευθημεν,False
Deut,1,19,249,את כל,,πασαν,False
Deut,1,19,250,המדבר,,την ερημον,False
Deut,1,19,251,הגדול,,την μεγαλην,False
Deut,1,19,252,והנורא,,και την φοβεραν,False
Deut,1,19,253,ההוא,,εκεινην,False
Deut,1,19,254,אשר,,ην,False
Deut,1,19,255,ראיתם,,ειδετε,False
Deut,1,19,256,דרך,,οδον,False
