book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Qoh,1,1,1,דברי,,ρηματα,False
Qoh,1,1,2,קהלת,,εκκλησιαστου,False
Qoh,1,1,3,בן,,υιου,False
Qoh,1,1,4,דוד,,δαυιδ,False
Qoh,1,1,5,מלך,,βασιλεως,False
Qoh,1,1,6,•^[Element 'added' in the Greek (plus in the LXX).] •^[Introducing reconstructed proper noun.] ישראל,,ισραηλ,True
Qoh,1,1,7,בירושלם,,εν ιερουσαλημ,False
Qoh,1,2,8,הבל,,ματαιοτης,False
Qoh,1,2,9,הבלים,,ματαιοτητων,False
Qoh,1,2,10,אמר,,ειπεν,False
Qoh,1,2,11,קהלת,,ο εκκλησιαστης,False
Qoh,1,2,12,הבל,,ματαιοτης,False
Qoh,1,2,13,הבלים,,ματαιοτητων,False
Qoh,1,2,14,הכל,,τα παντα,False
Qoh,1,2,15,הבל,,ματαιοτης,False
Qoh,1,3,16,מה,,τις,False
Qoh,1,3,17,יתרון,,περισσεια,False
Qoh,1,3,18,לאדם,,τω ανθρωπω,False
Qoh,1,3,19,בכל,,εν παντι,False
Qoh,1,3,20,עמלו,,μοχθω αυτου,False
Qoh,1,3,21,שיעמל,,ω μοχθει,False
Qoh,1,3,22,תחת,,υπο,False
Qoh,1,3,23,השמש,,τον ηλιον,False
Qoh,1,4,24,דור,,γενεα,False
Qoh,1,4,25,הלך,,πορευεται,False
Qoh,1,4,26,ודור,,και γενεα,False
Qoh,1,4,27,בא,,ερχεται,False
Qoh,1,4,28,והארץ,,και η γη,False
Qoh,1,4,29,לעולם,,εις τον αιωνα,False
Qoh,1,4,30,עמדת,,εστηκεν,False
Qoh,1,5,31,וזרח,,και ανατελλει,False
Qoh,1,5,32,השמש,,ο ηλιος,False
Qoh,1,5,33,ובא,,και δυνει,False
Qoh,1,5,34,השמש,,ο ηλιος,False
Qoh,1,5,35,ואל,,και εις,False
Qoh,1,5,36,מקומו,,τον τοπον αυτου,False
Qoh,1,5,37,שואף,,ελκει,False
Qoh,1,5,38,זורח,,ανατελλων [6],False
Qoh,1,5,39,הוא,,αυτος [6],False
Qoh,1,5,40,שם,,εκει [6],False
Qoh,1,6,41,הולך,,πορευεται,False
Qoh,1,6,42,אל,,προς,False
Qoh,1,6,43,דרום,,νοτον,False
Qoh,1,6,44,וסובב,,και κυκλοι,False
Qoh,1,6,45,אל,,προς,False
Qoh,1,6,46,צפון,,βορραν,False
Qoh,1,6,47,סובב,,κυκλοι,False
Qoh,1,6,48,סבב,,κυκλων,False
Qoh,1,6,49,הולך,,πορευεται,False
Qoh,1,6,50,הרוח,,το πνευμα,False
Qoh,1,6,51,ועל,,και επι,False
Qoh,1,6,52,סביבתיו,,κυκλους αυτου,False
Qoh,1,6,53,שב,,επιστρεφει,False
Qoh,1,6,54,הרוח,,το πνευμα,False
Qoh,1,7,55,כל,,παντες,False
Qoh,1,7,56,הנחלים,,οι χειμαρροι,False
Qoh,1,7,57,הלכים,,πορευονται,False
Qoh,1,7,58,אל,,εις,False
Qoh,1,7,59,הים,,την θαλασσαν,False
Qoh,1,7,60,והים,,και η θαλασσα,False
Qoh,1,7,61,איננו,,ουκ εσται,False
Qoh,1,7,62,מלא,,εμπιμπλαμενη,False
Qoh,1,7,63,אל,,εις,False
Qoh,1,7,64,מקום,,τοπον,False
Qoh,1,7,65,שהנחלים,,ου οι χειμαρροι,False
Qoh,1,7,66,הלכים,,πορευονται,False
Qoh,1,7,67,שם,,εκει,False
Qoh,1,7,68,הם,,αυτοι,False
Qoh,1,7,69,שבים,,επιστρεφουσιν,False
Qoh,1,7,70,ללכת,,του πορευθηναι,False
Qoh,1,8,71,כל,,παντες,False
Qoh,1,8,72,הדברים,,οι λογοι,False
Qoh,1,8,73,יגעים,,εγκοποι,False
Qoh,1,8,74,לא,,ου,False
Qoh,1,8,75,יוכל,,δυνησεται,False
Qoh,1,8,76,איש,,ανηρ,False
Qoh,1,8,77,לדבר,,του λαλειν,False
Qoh,1,8,78,לא,,και ουκ,False
Qoh,1,8,79,תשבע,,εμπλησθησεται,False
Qoh,1,8,80,עין,,οφθαλμος,False
Qoh,1,8,81,לראות,,του οραν,False
Qoh,1,8,82,ולא,,και ου,False
