book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Esth,1,1,1,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;בשנה <nu1.1>,,ετους,True
Esth,1,1,2,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;השנית <nu1.1>,,δευτερου,True
Esth,1,1,3,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;למלך <1.3>,,βασιλευοντος,True
Esth,1,1,4,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] •^[Introducing reconstructed proper noun.] אחשורוש,,αρταξερξου,True
Esth,1,1,5,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],הגדול,του μεγαλου,True
Esth,1,1,6,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],בראשון,τη μια,True
Esth,1,1,7,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],לניסן,του νισα,True
Esth,1,1,8,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;חלם <ge41.1>,,ενυπνιον ειδεν,True
Esth,1,1,9,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] •^[Introducing reconstructed proper noun.] מרדכי <2.5>,,μαρδοχαιος,True
Esth,1,1,10,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;בן <2.5>,,ο του,True
Esth,1,1,11,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] •^[Introducing reconstructed proper noun.] יאיר <2.5>,,ιαιρου,True
Esth,1,1,12,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;בן <2.5>,,του,True
Esth,1,1,13,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] •^[Introducing reconstructed proper noun.] שמעי <2.5>,,σεμειου,True
Esth,1,1,14,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;בן <2.5>,,του,True
Esth,1,1,15,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] •^[Introducing reconstructed proper noun.] קיש <2.5>,,κισαιου,True
Esth,1,1,16,"•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;משבת,איש <2.5>",,εκ φυλης,True
Esth,1,1,17,"•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] •^[Introducing reconstructed proper noun.] בנימינ,ימיני <2.5>",,βενιαμιν,True
Esth,1,1,18,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;איש <2.5>,,ανθρωπος,True
Esth,1,1,19,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;יהודי <2.5>,,ιουδαιος,True
Esth,1,1,20,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],,οικων,True
Esth,1,1,21,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] •^[Introducing reconstructed proper noun.] בשושן <2.5>,,εν σουσοις,True
Esth,1,1,22,"•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;הבירה <1.2,5>",,τη πολει,True
Esth,1,1,23,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],איש,ανθρωπος,True
Esth,1,1,24,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],גדול,μεγας,True
Esth,1,1,25,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;היושב <6.10>,,θεραπευων,True
Esth,1,1,26,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;בשער <6.10>,,εν τη αυλη,True
Esth,1,1,27,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;המלך <6.10>,,του βασιλεως,True
Esth,1,1,28,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],,ην δε,True
