book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Exod,1,1,1,ואלה,,ταυτα,False
Exod,1,1,2,שמות,,τα ονοματα,False
Exod,1,1,3,בני,,των υιων,False
Exod,1,1,4,ישראל,,ισραηλ,False
Exod,1,1,5,הבאים,,των εισπεπορευμενων,False
Exod,1,1,6,מצרימה,,εις αιγυπτον,False
Exod,1,1,7,את,,αμα,False
Exod,1,1,8,יעקב,,ιακωβ,False
Exod,1,1,9,•^[Element 'added' in the Greek (plus in the LXX).],אביהם,τω πατρι αυτων,True
Exod,1,1,10,איש,,εκαστος,False
Exod,1,1,11,וביתו,,πανοικια αυτων,False
Exod,1,1,12,באו,,εισηλθοσαν,False
Exod,1,2,13,ראובן,,ρουβην,False
Exod,1,2,14,שמעון,,συμεων,False
Exod,1,2,15,לוי,,λευι,False
Exod,1,2,16,ויהודה,,ιουδας,False
Exod,1,3,17,יששכר,,ισσαχαρ,False
Exod,1,3,18,זבולן,,ζαβουλων,False
Exod,1,3,19,ובנימן,,και βενιαμιν,False
Exod,1,4,20,דן,,δαν,False
Exod,1,4,21,ונפתלי,,και νεφθαλι,False
Exod,1,4,22,גד,,γαδ,False
Exod,1,4,23,ואשר,,και ασηρ,False
Exod,1,5,24,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],ויוסף,ιωσηφ δε,True
Exod,1,5,25,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],היה,ην,True
Exod,1,5,26,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],במצרים,εν αιγυπτω,True
Exod,1,5,27,ויהי <sp>,,ησαν δε,False
Exod,1,5,28,כל,,πασαι,False
Exod,1,5,29,"נפש •^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] נפש",,ψυχαι,False
Exod,1,5,30,יצאי ירך,,εξ,False
Exod,1,5,31,יעקב,,ιακωβ,False
Exod,1,5,32,שבעים •^[Difference in numbers between MT and the LXX.],,πεντε και εβδομηκοντα,True
Exod,1,5,33,נפש,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",False
Exod,1,5,34,ויוסף,,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],False
Exod,1,5,35,היה,,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],False
Exod,1,5,36,במצרים,,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],False
Exod,1,6,37,וימת,,ετελευτησεν δε,False
Exod,1,6,38,יוסף,,ιωσηφ,False
Exod,1,6,39,וכל,,και παντες,False
Exod,1,6,40,אחיו,,οι αδελφοι αυτου,False
Exod,1,6,41,וכל,,και πασα,False
Exod,1,6,42,הדור,,η γενεα,False
Exod,1,6,43,ההוא,,εκεινη,False
Exod,1,7,44,ובני,,οι δε υιοι,False
Exod,1,7,45,ישראל,,ισραηλ,False
Exod,1,7,46,פרו,,ηυξηθησαν,False
Exod,1,7,47,וישרצו,,και επληθυνθησαν,False
Exod,1,7,48,וירבו,,και χυδαιοι εγενοντο,False
Exod,1,7,49,ויעצמו,,και κατισχυον,False
Exod,1,7,50,במאד,,σφοδρα,False
Exod,1,7,51,מאד,,σφοδρα,False
Exod,1,7,52,ותמלא,,επληθυνεν δε,False
Exod,1,7,53,הארץ,,η γη,False
Exod,1,7,54,אתם,,αυτους,False
Exod,1,8,55,ויקם,,ανεστη δε,False
Exod,1,8,56,מלך,,βασιλευς,False
Exod,1,8,57,חדש,,ετερος,False
Exod,1,8,58,על,,επ',False
Exod,1,8,59,מצרים,,αιγυπτον,False
Exod,1,8,60,אשר,,ος,False
Exod,1,8,61,לא,,ουκ,False
Exod,1,8,62,ידע,,ηδει,False
Exod,1,8,63,את יוסף,,τον ιωσηφ,False
Exod,1,9,64,ויאמר,,ειπεν δε,False
Exod,1,9,65,אל עמו,,τω εθνει αυτου,False
Exod,1,9,66,הנה,,ιδου,False
Exod,1,9,67,עם,,το γενος,False
Exod,1,9,68,בני,,των υιων,False
Exod,1,9,69,ישראל,,ισραηλ,False
Exod,1,9,70,רב,,μεγα πληθος,False
Exod,1,9,71,ועצום,,και ισχυει,False
Exod,1,9,72,ממנו,,υπερ ημας,False
Exod,1,10,73,הבה,,δευτε ουν,False
Exod,1,10,74,נתחכמה,,κατασοφισωμεθα,False
Exod,1,10,75,לו,,αυτους,False
Exod,1,10,76,פן,,μηποτε,False
Exod,1,10,77,ירבה,,πληθυνθη,False
Exod,1,10,78,והיה,,και,False
Exod,1,10,79,כי,,ηνικα αν,False
Exod,1,10,80,תקראנה <sp>,,συμβη ημιν,False
Exod,1,10,81,מלחמה,,πολεμος,False
Exod,1,10,82,ונוסף,,προστεθησονται,False
Exod,1,10,83,גם,,και,False
Exod,1,10,84,הוא,,ουτοι,False
Exod,1,10,85,על,,προς,False
Exod,1,10,86,שנאינו,,τους υπεναντιους,False
Exod,1,10,87,ונלחם,,και εκπολεμησαντες,False
Exod,1,10,88,בנו,,ημας,False
Exod,1,10,89,ועלה,,εξελευσονται,False
Exod,1,10,90,מן,,εκ,False
Exod,1,10,91,הארץ,,της γης,False
Exod,1,11,92,וישימו,,και επεστησεν,False
Exod,1,11,93,עליו,,αυτοις,False
Exod,1,11,94,שרי,,επιστατας,False
Exod,1,11,95,מסים,,των εργων,False
Exod,1,11,96,למען,,ινα,False
Exod,1,11,97,ענתו,,κακωσωσιν αυτους,False
Exod,1,11,98,בסבלתם,,εν τοις εργοις,False
Exod,1,11,99,"ויבן <sp> <q2 •^[Questionable notation, equivalent, etc.] >",,και ωκοδομησαν,False
Exod,1,11,100,ערי,,πολεις,False
Exod,1,11,101,מסכנות,,οχυρας,False
Exod,1,11,102,לפרעה,,τω φαραω,False
Exod,1,11,103,את פתם,,την τε πιθωμ,False
Exod,1,11,104,ואת רעמסס,,και ραμεσση,False
