book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Ezek,1,1,1,ויהי,,και εγενετο,False
Ezek,1,1,2,בשלשים,,εν τω τριακοστω,False
Ezek,1,1,3,שנה,,ετει,False
Ezek,1,1,4,ברביעי,,εν τω τεταρτω μηνι,False
Ezek,1,1,5,בחמשה,,πεμπτη,False
Ezek,1,1,6,לחדש,,του μηνος,False
Ezek,1,1,7,ואני,,και εγω,False
Ezek,1,1,8,•^[Element 'added' in the Greek (plus in the LXX).],,ημην,True
Ezek,1,1,9,בתוך,,εν μεσω,False
Ezek,1,1,10,הגולה,,της αιχμαλωσιας,False
Ezek,1,1,11,על,,επι,False
Ezek,1,1,12,נהר,,του ποταμου,False
Ezek,1,1,13,כבר,,του χοβαρ,False
Ezek,1,1,14,נפתחו,,και ηνοιχθησαν,False
Ezek,1,1,15,השמים,,οι ουρανοι,False
Ezek,1,1,16,ואראה,,και ειδον,False
Ezek,1,1,17,מראות,,ορασεις,False
Ezek,1,1,18,אלהים,,θεου,False
Ezek,1,2,19,בחמשה,,πεμπτη,False
Ezek,1,2,20,לחדש,,του μηνος,False
Ezek,1,2,21,היא,,τουτο,False
Ezek,1,2,22,השנה,,το ετος,False
Ezek,1,2,23,החמישית,,το πεμπτον,False
Ezek,1,2,24,לגלות,,της αιχμαλωσιας,False
Ezek,1,2,25,המלך,,του βασιλεως,False
Ezek,1,2,26,יויכין .mn,,ιωακιμ,False
Ezek,1,3,27,היה היה {!}-,,και εγενετο,False
Ezek,1,3,28,דבר,,λογος,False
Ezek,1,3,29,יהוה,,κυριου,False
Ezek,1,3,30,אל,,προς,False
Ezek,1,3,31,יחזקאל,,ι,False
Ezek,1,3,32,EזEכIהל,,,False
Ezek,1,3,33,בן,,υιον,False
Ezek,1,3,34,בוזי,,βουζι,False
Ezek,1,3,35,הכהן,,τον ιερεα,False
Ezek,1,3,36,בארץ,,εν γη,False
Ezek,1,3,37,כשדים,,χαλδαιων,False
Ezek,1,3,38,על,,επι,False
Ezek,1,3,39,נהר,,του ποταμου,False
Ezek,1,3,40,כבר,,του χοβαρ,False
Ezek,1,3,41,ותהי,,και εγενετο,False
Ezek,1,3,42,עליו,עלי,επ' εμε,True
Ezek,1,3,43,שם,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Ezek,1,3,44,יד,,χειρ,False
Ezek,1,3,45,יהוה,,κυριου,False
Ezek,1,4,46,וארא,,και ειδον,False
Ezek,1,4,47,והנה,,και ιδου,False
Ezek,1,4,48,רוח,,πνευμα,False
Ezek,1,4,49,סערה •^[Difference in vocalization (reading).],,εξαιρον,False
Ezek,1,4,50,באה,,ηρχετο,False
Ezek,1,4,51,מן,,απο,False
Ezek,1,4,52,הצפון,,βορρα,False
Ezek,1,4,53,ענן,,και νεφελη,False
Ezek,1,4,54,גדול,,μεγαλη,False
Ezek,1,4,55,ואש,,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],False
Ezek,1,4,56,מתלקחת,,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],False
Ezek,1,4,57,ונגה,לו •^[Difference in preposition or particle.],εν αυτω •^[Reference to doublet (occurring between the two elements of the doublet.] {...εν αυτω},True
Ezek,1,4,58,לו,ונגה,και φεγγος •^[Reference to doublet (occurring between the two elements of the doublet.] {...και φεγγοσ},True
Ezek,1,4,59,סביב,,κυκλω αυτου,False
Ezek,1,4,60,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],ואש,και πυρ,True
Ezek,1,4,61,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],מתלקחת,εξαστραπτον,True
Ezek,1,4,62,ומתוכה •^[Difference in preposition or particle.],,και εν τω μεσω αυτου,False
Ezek,1,4,63,כעין,,ως ορασις,False
Ezek,1,4,64,החשמל,,ηλεκτρου,False
Ezek,1,4,65,מתוך •^[Difference in preposition or particle.],,εν μεσω,False
Ezek,1,4,66,האש,,του πυρος,False
Ezek,1,4,67,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,και φεγγος,False
Ezek,1,4,68,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εν αυτω,False
Ezek,1,5,69,ומתוכה •^[Difference in preposition or particle.],,και εν τω μεσω,False
Ezek,1,5,70,דמות •^[Addition of preposition or particle.],,ως ομοιωμα,False
Ezek,1,5,71,ארבע,,τεσσαρων,False
Ezek,1,5,72,חיות,,ζωων,False
Ezek,1,5,73,וזה,,και αυτη,False
Ezek,1,5,74,מראיהן,,η ορασις αυτων,False
Ezek,1,5,75,דמות,,ομοιωμα,False
Ezek,1,5,76,אדם,,ανθρωπου,False
Ezek,1,5,77,להנה,,επ' αυτοις,False
