book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Ezr,1,1,1,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,και εν τω πρωτω,False
Ezr,1,1,2,ובשנת,,{..και εν} ετει,False
Ezr,1,1,3,אחת,,{..τω πρωτω},False
Ezr,1,1,4,לכורש,,κυρου,False
Ezr,1,1,5,מלך,,του βασιλεως,False
Ezr,1,1,6,פרס,,περσων,False
Ezr,1,1,7,לכלות,,του τελεσθηναι,False
Ezr,1,1,8,דבר,,λογον,False
Ezr,1,1,9,יהוה,,κυριου,False
Ezr,1,1,10,מפי,,απο στοματος,False
Ezr,1,1,11,ירמיה,,ιερεμιου,False
Ezr,1,1,12,העיר,,εξηγειρεν,False
Ezr,1,1,13,יהוה,,κυριος,False
Ezr,1,1,14,את רוח,,το πνευμα,False
Ezr,1,1,15,כרש,,κυρου,False
Ezr,1,1,16,מלך,,βασιλεως,False
Ezr,1,1,17,פרס,,περσων,False
Ezr,1,1,18,ויעבר,,και παρηγγειλεν,False
Ezr,1,1,19,קול,,φωνην,False
Ezr,1,1,20,בכל,,εν παση,False
Ezr,1,1,21,מלכותו,,βασιλεια αυτου,False
Ezr,1,1,22,וגם,,και γε,False
Ezr,1,1,23,במכתב,,εν γραπτω,False
Ezr,1,1,24,לאמר,,λεγων,False
Ezr,1,2,25,כה,,ουτως,False
Ezr,1,2,26,אמר,,ειπεν,False
Ezr,1,2,27,כרש,,κυρος,False
Ezr,1,2,28,מלך,,βασιλευς,False
Ezr,1,2,29,פרס,,περσων,False
Ezr,1,2,30,כל,,πασας,False
Ezr,1,2,31,ממלכות,,τας βασιλειας,False
Ezr,1,2,32,הארץ,,της γης,False
Ezr,1,2,33,נתן,,εδωκεν,False
Ezr,1,2,34,לי,,μοι,False
Ezr,1,2,35,יהוה,,κυριος,False
Ezr,1,2,36,אלהי,,ο θεος,False
Ezr,1,2,37,השמים,,του ουρανου,False
Ezr,1,2,38,והוא,,και αυτος,False
Ezr,1,2,39,פקד,,επεσκεψατο,False
Ezr,1,2,40,עלי,,επ' εμε,False
Ezr,1,2,41,לבנות,,του οικοδομησαι,False
Ezr,1,2,42,לו,,αυτω,False
Ezr,1,2,43,בית,,οικον,False
Ezr,1,2,44,בירושלם,,εν ιερουσαλημ,False
Ezr,1,2,45,אשר,,τη,False
Ezr,1,2,46,ביהודה,,εν τη ιουδαια,False
Ezr,1,3,47,מי,,τις,False
Ezr,1,3,48,בכם,,εν υμιν,False
Ezr,1,3,49,מכל,,απο παντος,False
Ezr,1,3,50,עמו,,του λαου αυτου,False
Ezr,1,3,51,יהי,,και εσται,False
Ezr,1,3,52,אלהיו,,ο θεος αυτου,False
Ezr,1,3,53,עמו,,μετ' αυτου,False
Ezr,1,3,54,ויעל,,και αναβησεται,False
Ezr,1,3,55,לירושלם,,εις ιερουσαλημ,False
Ezr,1,3,56,אשר,,την,False
Ezr,1,3,57,ביהודה,,εν τη ιουδαια,False
Ezr,1,3,58,ויבן,,και οικοδομησατω,False
Ezr,1,3,59,את בית,,τον οικον,False
Ezr,1,3,60,יהוה,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Ezr,1,3,61,אלהי,,θεου,False
Ezr,1,3,62,ישראל,,ισραηλ,False
Ezr,1,3,63,הוא,,αυτος,False
Ezr,1,3,64,האלהים,,ο θεος,False
Ezr,1,3,65,אשר,,ο,False
Ezr,1,3,66,בירושלם,,εν ιερουσαλημ,False
Ezr,1,4,67,וכל,,και πας,False
Ezr,1,4,68,הנשאר,,ο καταλειπομενος,False
Ezr,1,4,69,מכל,,απο παντων,False
Ezr,1,4,70,המקמות,,των τοπων,False
Ezr,1,4,71,אשר,,ου,False
Ezr,1,4,72,הוא,,αυτος,False
Ezr,1,4,73,גר,,παροικει,False
Ezr,1,4,74,שם,,εκει,False
Ezr,1,4,75,ינשאוהו,,και λημψονται αυτον,False
Ezr,1,4,76,אנשי,,ανδρες,False
Ezr,1,4,77,מקמו,,του τοπου αυτου,False
Ezr,1,4,78,בכסף,,εν αργυριω,False
Ezr,1,4,79,ובזהב,,και χρυσιω,False
Ezr,1,4,80,וברכוש,,και αποσκευη,False
Ezr,1,4,81,ובבהמה,,και κτηνεσιν,False
Ezr,1,4,82,עם,,μετα,False
Ezr,1,4,83,הנדבה,,του εκουσιου,False
Ezr,1,4,84,לבית,,εις οικον,False
Ezr,1,4,85,האלהים,,του θεου,False
Ezr,1,4,86,אשר,,του,False
Ezr,1,4,87,בירושלם,,εν ιερουσαλημ,False
Ezr,1,5,88,ויקומו,,και ανεστησαν,False
Ezr,1,5,89,ראשי,,αρχοντες,False
Ezr,1,5,90,האבות,,των πατριων,False
Ezr,1,5,91,ליהודה,,τω ιουδα,False
Ezr,1,5,92,ובנימן,,και βενιαμιν,False
Ezr,1,5,93,והכהנים,,και οι ιερεις,False
Ezr,1,5,94,והלוים,,και οι λευιται,False
Ezr,1,5,95,לכל,,παντων,False
Ezr,1,5,96,•^[Element 'added' in the Greek (plus in the LXX).],,ων,True
Ezr,1,5,97,העיר,,εξηγειρεν,False
Ezr,1,5,98,האלהים,,ο θεος,False
