book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Gen,1,1,1,בראשית,,εν αρχη,False
Gen,1,1,2,ברא,,εποιησεν,False
Gen,1,1,3,אלהים,,ο θεος,False
Gen,1,1,4,את השמים,,τον ουρανον,False
Gen,1,1,5,ואת הארץ,,και την γην,False
Gen,1,2,6,והארץ,,η δε γη,False
Gen,1,2,7,היתה,,ην,False
Gen,1,2,8,תהו,,αορατος,False
Gen,1,2,9,ובהו,,και ακατασκευαστος,False
Gen,1,2,10,וחשך,,και σκοτος,False
Gen,1,2,11,על פני,,επανω,False
Gen,1,2,12,תהום,,της αβυσσου,False
Gen,1,2,13,ורוח,,και πνευμα,False
Gen,1,2,14,אלהים,,θεου,False
Gen,1,2,15,מרחפת,,επεφερετο,False
Gen,1,2,16,על פני,,επανω,False
Gen,1,2,17,המים,,του υδατος,False
Gen,1,3,18,ויאמר,,και ειπεν,False
Gen,1,3,19,אלהים,,ο θεος,False
Gen,1,3,20,יהי,,γενηθητω,False
Gen,1,3,21,אור,,φως,False
Gen,1,3,22,ויהי,,και εγενετο,False
Gen,1,3,23,אור,,φως,False
Gen,1,4,24,וירא,,και ειδεν,False
Gen,1,4,25,אלהים,,ο θεος,False
Gen,1,4,26,את האור,,το φως,False
Gen,1,4,27,כי,,οτι,False
Gen,1,4,28,טוב,,καλον,False
Gen,1,4,29,ויבדל,,και διεχωρισεν,False
Gen,1,4,30,אלהים,,ο θεος,False
Gen,1,4,31,בין,,ανα μεσον,False
Gen,1,4,32,האור,,του φωτος,False
Gen,1,4,33,ובין,,και ανα μεσον,False
Gen,1,4,34,החשך,,του σκοτους,False
Gen,1,5,35,ויקרא,,και εκαλεσεν,False
Gen,1,5,36,אלהים,,ο θεος,False
Gen,1,5,37,לאור,,το φως,False
Gen,1,5,38,יום,,ημεραν,False
Gen,1,5,39,ולחשך,,και το σκοτος,False
Gen,1,5,40,קרא,,εκαλεσεν,False
Gen,1,5,41,לילה,,νυκτα,False
Gen,1,5,42,ויהי,,και εγενετο,False
Gen,1,5,43,ערב,,εσπερα,False
Gen,1,5,44,ויהי,,και εγενετο,False
Gen,1,5,45,בקר,,πρωι,False
Gen,1,5,46,יום,,ημερα,False
Gen,1,5,47,אחד,,μια,False
Gen,1,6,48,ויאמר,,και ειπεν,False
Gen,1,6,49,אלהים,,ο θεος,False
Gen,1,6,50,יהי,,γενηθητω,False
Gen,1,6,51,רקיע,,στερεωμα,False
Gen,1,6,52,בתוך,,εν μεσω,False
Gen,1,6,53,המים,,του υδατος,False
Gen,1,6,54,ויהי,,και εστω,False
Gen,1,6,55,מבדיל,,διαχωριζον,False
Gen,1,6,56,בין,,ανα μεσον,False
Gen,1,6,57,מים,,υδατος,False
Gen,1,6,58,למים,,και υδατος,False
Gen,1,6,59,•^[Element 'added' in the Greek (plus in the LXX).] =;ויהי <1.7>,,και εγενετο,True
Gen,1,6,60,•^[Element 'added' in the Greek (plus in the LXX).] =;כן <1.7>,,ουτως,True
Gen,1,7,61,ויעש,,και εποιησεν,False
Gen,1,7,62,אלהים,,ο θεος,False
Gen,1,7,63,את הרקיע,,το στερεωμα,False
Gen,1,7,64,ויבדל,,και διεχωρισεν,False
Gen,1,7,65,•^[Element 'added' in the Greek (plus in the LXX).],,ο θεος,True
Gen,1,7,66,בין,,ανα μεσον,False
Gen,1,7,67,המים,,του υδατος,False
Gen,1,7,68,אשר,,ο ην,False
Gen,1,7,69,מתחת,,υποκατω,False
Gen,1,7,70,לרקיע,,του στερεωματος,False
Gen,1,7,71,ובין,,και ανα μεσον,False
Gen,1,7,72,המים,,του υδατος,False
Gen,1,7,73,אשר,,του,False
Gen,1,7,74,מעל,,επανω,False
Gen,1,7,75,לרקיע,,του στερεωματος,False
Gen,1,7,76,ויהי,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Gen,1,7,77,כן,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Gen,1,8,78,ויקרא,,και εκαλεσεν,False
Gen,1,8,79,אלהים,,ο θεος,False
Gen,1,8,80,לרקיע,,το στερεωμα,False
Gen,1,8,81,שמים,,ουρανον,False
Gen,1,8,82,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;וירא <1.10>,,και ειδεν,True
Gen,1,8,83,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;אלהים <1.10>,,ο θεος,True
Gen,1,8,84,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;כי <1.10>,,οτι,True
Gen,1,8,85,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;טוב <1.10>,,καλον,True
Gen,1,8,86,ויהי,,και εγενετο,False
Gen,1,8,87,ערב,,εσπερα,False
Gen,1,8,88,ויהי,,και εγενετο,False
Gen,1,8,89,בקר,,πρωι,False
Gen,1,8,90,יום,,ημερα,False
Gen,1,8,91,שני,,δευτερα,False
Gen,1,9,92,ויאמר,,και ειπεν,False
Gen,1,9,93,אלהים,,ο θεος,False
Gen,1,9,94,יקוו,,συναχθητω,False
Gen,1,9,95,המים,,το υδωρ,False
Gen,1,9,96,•^[Element 'added' in the Greek (plus in the LXX).],,το,True
Gen,1,9,97,מתחת,,υποκατω,False
Gen,1,9,98,השמים,,του ουρανου,False
Gen,1,9,99,אל,,εις,False
Gen,1,9,100,מקום,"•^[Questionable notation, equivalent, etc.] מקוה",συναγωγην,True
Gen,1,9,101,אחד,,μιαν,False
Gen,1,9,102,ותראה,,και οφθητω,False
Gen,1,9,103,היבשה,,η ξηρα,False
Gen,1,9,104,ויהי,,και εγενετο,False
Gen,1,9,105,כן,,ουτως,False
Gen,1,9,106,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;ויקוו,,και συνηχθη,True
Gen,1,9,107,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;המים,,το υδωρ,True
Gen,1,9,108,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],,το,True
Gen,1,9,109,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;מתחת,,υποκατω,True
Gen,1,9,110,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;השמים,,του ουρανου,True
Gen,1,9,111,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;אל,,εις,True
Gen,1,9,112,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],"מקומ,מקומם",τας συναγωγας αυτων,True
