book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Hab,1,1,1,המשא,,το λημμα,False
Hab,1,1,2,אשר,,ο,False
Hab,1,1,3,חזה,,ειδεν,False
Hab,1,1,4,חבקוק,,αμβακουμ,False
Hab,1,1,5,הנביא,,ο προφητης,False
Hab,1,2,6,עד,,εως,False
Hab,1,2,7,אנה,,τινος,False
Hab,1,2,8,יהוה,,κυριε,False
Hab,1,2,9,שועתי,,κεκραξομαι,False
Hab,1,2,10,ולא,,και ου μη,False
Hab,1,2,11,תשמע,,εισακουσης,False
Hab,1,2,12,אזעק,,βοησομαι,False
Hab,1,2,13,אליך,,προς σε,False
Hab,1,2,14,חמס,,αδικουμενος,False
Hab,1,2,15,ולא,,και ου,False
Hab,1,2,16,תושיע,,σωσεις,False
Hab,1,3,17,למה,,ινα τι,False
Hab,1,3,18,תראני,,μοι εδειξας,False
Hab,1,3,19,און,,κοπους,False
Hab,1,3,20,ועמל,,και πονους,False
Hab,1,3,21,תביט,,επιβλεπειν,False
Hab,1,3,22,ושד,,ταλαιπωριαν,False
Hab,1,3,23,וחמס,,και ασεβειαν,False
Hab,1,3,24,לנגדי,,εξ εναντιας μου,False
Hab,1,3,25,ויהי,,γεγονεν,False
Hab,1,3,26,ריב,,κρισις,False
Hab,1,3,27,ומדון,"•^[Questionable notation, equivalent, etc.] ומדין .wy",και ο κριτης,True
Hab,1,3,28,ישא,,λαμβανει,False
Hab,1,4,29,על כן,,δια τουτο,False
Hab,1,4,30,תפוג •^[Etymological exegesis.] פרר,,διεσκεδασται,False
Hab,1,4,31,תורה,,νομος,False
Hab,1,4,32,ולא,,και ου,False
Hab,1,4,33,יצא,,διεξαγεται,False
Hab,1,4,34,לנצח,,εις τελος,False
Hab,1,4,35,משפט,,κριμα,False
Hab,1,4,36,כי,,οτι,False
Hab,1,4,37,רשע,,ο ασεβης,False
Hab,1,4,38,מכתיר,,καταδυναστευει,False
Hab,1,4,39,את הצדיק,,τον δικαιον,False
Hab,1,4,40,על כן,,ενεκεν τουτου,False
Hab,1,4,41,יצא,,εξελευσεται,False
Hab,1,4,42,משפט,,το κριμα,False
Hab,1,4,43,מעקל,,διεστραμμενον,False
Hab,1,5,44,ראו,,ιδετε,False
Hab,1,5,45,בגוים,בגדים .wd <2.5>,οι καταφρονηται,True
Hab,1,5,46,והביטו,,και επιβλεψατε,False
Hab,1,5,47,והתמהו,,και θαυμασατε,False
Hab,1,5,48,תמהו,,θαυμασια •^[Reference to doublet (occurring between the two elements of the doublet.] και αφανισθητε,False
Hab,1,5,49,כי,,διοτι,False
Hab,1,5,50,פעל,,εργον,False
Hab,1,5,51,פעל,,εγω εργαζομαι,False
Hab,1,5,52,בימיכם,,εν ταις ημεραις υμων,False
Hab,1,5,53,•^[Element 'added' in the Greek (plus in the LXX).],,ο,True
Hab,1,5,54,לא,,ου μη,False
Hab,1,5,55,תאמינו,,πιστευσητε,False
Hab,1,5,56,כי,,εαν,False
Hab,1,5,57,יספר •^[Change from passive to active form in verbs.],,τις εκδιηγηται,False
Hab,1,6,58,כי,,διοτι,False
Hab,1,6,59,הנני,,ιδου εγω,False
Hab,1,6,60,מקים,,εξεγειρω,False
