book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Hag,1,1,1,בשנת,,εν {..ετει},False
Hag,1,1,2,שתים,,τω δευτερω,False
Hag,1,1,3,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,ετει,False
Hag,1,1,4,לדריוש,,επι δαρειου,False
Hag,1,1,5,המלך,,του βασιλεως,False
Hag,1,1,6,בחדש,,εν τω μηνι,False
Hag,1,1,7,הששי,,τω εκτω,False
Hag,1,1,8,ביום אחד,,μια,False
Hag,1,1,9,לחדש,,του μηνος,False
Hag,1,1,10,היה,,εγενετο,False
Hag,1,1,11,דבר,,λογος,False
Hag,1,1,12,יהוה,,κυριου,False
Hag,1,1,13,ביד,,εν χειρι,False
Hag,1,1,14,חגי,,αγγαιου,False
Hag,1,1,15,הנביא,,του προφητου,False
Hag,1,1,16,•^[Element 'added' in the Greek (plus in the LXX).],,λεγων,True
Hag,1,1,17,•^[Element 'added' in the Greek (plus in the LXX).] =;אמר <2.2>,,ειπον,True
Hag,1,1,18,•^[Element 'added' in the Greek (plus in the LXX).] =;נא <2.2>,,δη,True
Hag,1,1,19,אל,,προς,False
Hag,1,1,20,זרבבל,,ζοροβαβελ,False
Hag,1,1,21,בן,,τον του,False
Hag,1,1,22,שאלתיאל,,σαλαθιηλ,False
Hag,1,1,23,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εκ,False
Hag,1,1,24,פחת,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εκ φυλης,False
Hag,1,1,25,יהודה,,ιουδα,False
Hag,1,1,26,ואל,,και προς,False
Hag,1,1,27,יהושע,,ιησουν,False
Hag,1,1,28,בן,,τον του,False
Hag,1,1,29,יהוצדק,,ιωσεδεκ,False
Hag,1,1,30,הכהן,,τον ιερεα,False
Hag,1,1,31,הגדול,,τον μεγαν,False
Hag,1,1,32,לאמר,,λεγων,False
Hag,1,2,33,כה,,ταδε,False
Hag,1,2,34,אמר,,λεγει,False
Hag,1,2,35,יהוה,,κυριος,False
Hag,1,2,36,צבאות,,παντοκρατωρ,False
Hag,1,2,37,לאמר,,λεγων,False
Hag,1,2,38,העם,,ο λαος,False
Hag,1,2,39,הזה,,ουτος,False
Hag,1,2,40,אמרו,,λεγουσιν,False
Hag,1,2,41,לא,,ουχ,False
Hag,1,2,42,עת,,"•^[Hebrew counterpart lacking in the LXX (minus in the LXX).] {.. •^[Questionable notation, equivalent, etc.] ο καιροσ}",True
