book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Hos,1,1,1,דבר,,λογος,False
Hos,1,1,2,יהוה,,κυριου,False
Hos,1,1,3,אשר,,ος,False
Hos,1,1,4,היה,,εγενηθη,False
Hos,1,1,5,אל,,προς,False
Hos,1,1,6,הושע,,ωσηε,False
Hos,1,1,7,בן,,τον του,False
Hos,1,1,8,בארי,,βεηρι,False
Hos,1,1,9,בימי,,εν ημεραις,False
Hos,1,1,10,עזיה,,οζιου,False
Hos,1,1,11,יותם,,και ιωαθαμ,False
Hos,1,1,12,אחז,,και αχαζ,False
Hos,1,1,13,יחזקיה,,και εζεκιου,False
Hos,1,1,14,מלכי,,βασιλεων,False
Hos,1,1,15,יהודה,,ιουδα,False
Hos,1,1,16,ובימי,,και εν ημεραις,False
Hos,1,1,17,ירבעם,,ιεροβοαμ,False
Hos,1,1,18,בן,,υιου,False
Hos,1,1,19,יואש,,ιωας,False
Hos,1,1,20,מלך,,βασιλεως,False
Hos,1,1,21,ישראל,,ισραηλ,False
Hos,1,2,22,תחלת,,αρχη,False
Hos,1,2,23,דבר •^[Difference in vocalization (reading).],,λογου,False
Hos,1,2,24,יהוה,,κυριου,False
Hos,1,2,25,בהושע,,προς ωσηε,False
Hos,1,2,26,ויאמר,,και ειπεν,False
Hos,1,2,27,יהוה,,κυριος,False
Hos,1,2,28,אל,,προς,False
Hos,1,2,29,הושע,,ωσηε,False
Hos,1,2,30,לך,,βαδιζε,False
Hos,1,2,31,קח,,λαβε,False
Hos,1,2,32,לך,,σεαυτω,False
Hos,1,2,33,אשת,,γυναικα,False
Hos,1,2,34,זנונים,,πορνειας,False
Hos,1,2,35,וילדי,,και τεκνα,False
Hos,1,2,36,זנונים,,πορνειας,False
Hos,1,2,37,כי,,διοτι,False
Hos,1,2,38,זנה {!}p,,εκπορνευουσα,False
Hos,1,2,39,תזנה {!}p,,εκπορνευσει,False
Hos,1,2,40,הארץ,,η γη,False
Hos,1,2,41,מאחרי,,απο οπισθεν,False
Hos,1,2,42,יהוה,,του κυριου,False
Hos,1,3,43,וילך,,και επορευθη,False
Hos,1,3,44,ויקח,,και ελαβεν,False
Hos,1,3,45,את גמר,,την γομερ,False
Hos,1,3,46,בת,,θυγατερα,False
Hos,1,3,47,דבלים,,δεβηλαιμ,False
Hos,1,3,48,ותהר,,και συνελαβεν,False
Hos,1,3,49,ותלד,,και ετεκεν,False
Hos,1,3,50,לו,,αυτω,False
Hos,1,3,51,בן,,υιον,False
Hos,1,4,52,ויאמר,,και ειπεν,False
Hos,1,4,53,יהוה,,κυριος,False
Hos,1,4,54,אליו,,προς αυτον,False
Hos,1,4,55,קרא,,καλεσον,False
Hos,1,4,56,שמו,,το ονομα αυτου,False
Hos,1,4,57,יזרעאל,,ιεζραελ,False
Hos,1,4,58,כי,,διοτι,False
Hos,1,4,59,עוד,,ετι,False
Hos,1,4,60,מעט,,μικρον,False
Hos,1,4,61,ופקדתי,,και εκδικησω,False
Hos,1,4,62,את דמי,,το αιμα,False
Hos,1,4,63,יזרעאל,,του ιεζραελ,False
Hos,1,4,64,על,,επι,False
Hos,1,4,65,בית,,τον οικον,False
Hos,1,4,66,יהוא,,ιου,False
Hos,1,4,67,והשבתי,,και καταπαυσω,False
Hos,1,4,68,ממלכות,,βασιλειαν,False
Hos,1,4,69,בית,,οικου,False
Hos,1,4,70,ישראל,,ισραηλ,False
Hos,1,5,71,והיה,,και εσται,False
Hos,1,5,72,ביום,,εν τη ημερα,False
Hos,1,5,73,ההוא,,εκεινη,False
Hos,1,5,74,ושברתי,,συντριψω,False
Hos,1,5,75,את קשת,,το τοξον,False
Hos,1,5,76,ישראל,,του ισραηλ,False
Hos,1,5,77,בעמק,,εν τη κοιλαδι,False
Hos,1,5,78,יזרעאל,,του ιεζραελ,False
Hos,1,6,79,ותהר,,και συνελαβεν,False
Hos,1,6,80,עוד,,ετι,False
Hos,1,6,81,ותלד,,και ετεκεν,False
Hos,1,6,82,בת,,θυγατερα,False
Hos,1,6,83,ויאמר,,και ειπεν,False
Hos,1,6,84,לו,,αυτω,False
Hos,1,6,85,קרא,,καλεσον,False
Hos,1,6,86,שמה,,το ονομα αυτης,False
Hos,1,6,87,לא רחמה,,ουκ ηλεημενη,False
Hos,1,6,88,כי,,διοτι,False
Hos,1,6,89,לא,,ου μη,False
Hos,1,6,90,אוסיף,,προσθησω,False
Hos,1,6,91,עוד,,ετι,False
Hos,1,6,92,ארחם,,ελεησαι,False
Hos,1,6,93,את בית,,τον οικον,False
Hos,1,6,94,ישראל,,του ισραηλ,False
Hos,1,6,95,כי,,αλλ' η,False
Hos,1,6,96,"נשא {!}p •^[Etymological exegesis.] •^[Questionable notation, equivalent, etc.] שנא •^[Interchange of consonants between MT and the presumed Hebrew parent text of the LXX (metathesis.)]",,αντιτασσομενος,False
Hos,1,6,97,"אשא {!}p •^[Etymological exegesis.] •^[Questionable notation, equivalent, etc.] שנא •^[Interchange of consonants between MT and the presumed Hebrew parent text of the LXX (metathesis.)]",,αντιταξομαι,False
Hos,1,6,98,להם,,αυτοις,False
Hos,1,7,99,ואת בית,ואת בני,τους δε υιους,True
Hos,1,7,100,יהודה,,ιουδα,False
Hos,1,7,101,ארחם,,ελεησω,False
Hos,1,7,102,והושעתים,,και σωσω αυτους,False
Hos,1,7,103,ביהוה,,εν κυριω,False
Hos,1,7,104,אלהיהם,,θεω αυτων,False
Hos,1,7,105,ולא,,και ου,False
Hos,1,7,106,אושיעם,,σωσω αυτους,False
Hos,1,7,107,בקשת,,εν τοξω,False
Hos,1,7,108,ובחרב •^[Notation in Hebrew column of elements repeated in the translation.] לא,,ουδε εν ρομφαια,False
Hos,1,7,109,ובמלחמה •^[Notation in Hebrew column of elements repeated in the translation.] לא,,ουδε εν πολεμω,False
Hos,1,7,110,•^[Element 'added' in the Greek (plus in the LXX).],וברכב •^[Notation in Hebrew column of elements repeated in the translation.] לא,ουδε εν αρμασιν,True
Hos,1,7,111,בסוסים •^[Notation in Hebrew column of elements repeated in the translation.] לא,,ουδε εν ιπποις,False
Hos,1,7,112,ובפרשים •^[Notation in Hebrew column of elements repeated in the translation.] לא,,ουδε εν ιππευσιν,False
Hos,1,8,113,ותגמל,,και απεγαλακτισεν,False
Hos,1,8,114,את לא רחמה,,την ουκ-ηλεημενην,False
Hos,1,8,115,ותהר,,και συνελαβεν,False
Hos,1,8,116,•^[Element 'added' in the Greek (plus in the LXX).],עוד,ετι,True
Hos,1,8,117,ותלד,,και ετεκεν,False
Hos,1,8,118,בן,,υιον,False
Hos,1,9,119,ויאמר,,και ειπεν,False
Hos,1,9,120,קרא,,καλεσον,False
Hos,1,9,121,שמו,,το ονομα αυτου,False
Hos,1,9,122,לא עמי,,ου-λαοσ-μου,False
Hos,1,9,123,כי,,διοτι,False
Hos,1,9,124,אתם,,υμεις,False
Hos,1,9,125,לא,,ου,False
Hos,1,9,126,עמי,,λαος μου,False
Hos,1,9,127,ואנכי,,και εγω,False
Hos,1,9,128,לא,,ουκ,False
Hos,1,9,129,אהיה,,ειμι,False
Hos,1,9,130,לכם,,υμων,False
Hos,2,1,131,והיה,,και ην,False
Hos,2,1,132,מספר,,ο αριθμος,False
Hos,2,1,133,בני,,των υιων,False
Hos,2,1,134,ישראל,,ισραηλ,False
Hos,2,1,135,כחול,,ως η αμμος,False
Hos,2,1,136,הים,,της θαλασσης,False
Hos,2,1,137,אשר,,η,False
Hos,2,1,138,לא,,ουκ,False
Hos,2,1,139,ימד,,εκμετρηθησεται,False
Hos,2,1,140,ולא,,ουδε,False
Hos,2,1,141,יספר,,εξαριθμηθησεται,False
Hos,2,1,142,והיה,,και εσται,False
Hos,2,1,143,במקום,,εν τω τοπω,False
Hos,2,1,144,אשר,,ου,False
Hos,2,1,145,יאמר,,ερρεθη,False
Hos,2,1,146,להם,,αυτοις,False
Hos,2,1,147,לא,,ου,False
Hos,2,1,148,עמי,,λαος μου,False
Hos,2,1,149,אתם,,υμεις,False
Hos,2,1,150,•^[Element 'added' in the Greek (plus in the LXX).],,εκει,True
Hos,2,1,151,יאמר,,κληθησονται,False
Hos,2,1,152,להם,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Hos,2,1,153,בני,,υιοι,False
Hos,2,1,154,אל,,θεου,False
Hos,2,1,155,חי,,ζωντος,False
Hos,2,2,156,ונקבצו,,και συναχθησονται,False
Hos,2,2,157,בני,,οι υιοι,False
Hos,2,2,158,יהודה,,ιουδα,False
Hos,2,2,159,ובני,,και οι υιοι,False
Hos,2,2,160,ישראל,,ισραηλ,False
Hos,2,2,161,יחדו,,επι το αυτο,False
Hos,2,2,162,ושמו,,και θησονται,False
Hos,2,2,163,להם,,εαυτοις,False
Hos,2,2,164,ראש,,αρχην,False
