book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Isa,1,1,1,חזון,,ορασις,False
Isa,1,1,2,•^[Element 'added' in the Greek (plus in the LXX).] =;אשר,,ην,True
Isa,1,1,3,•^[Element 'added' in the Greek (plus in the LXX).] =;חזה,,ειδεν,True
Isa,1,1,4,ישעיהו,,ησαιας,False
Isa,1,1,5,בן,,υιος,False
Isa,1,1,6,אמוץ,,αμως,False
Isa,1,1,7,אשר,,ην,False
Isa,1,1,8,חזה,,ειδεν,False
Isa,1,1,9,על,,κατα,False
Isa,1,1,10,יהודה,,της ιουδαιας,False
Isa,1,1,11,וירושלם •^[Notation in Hebrew column of elements repeated in the translation.] על,,και κατα ιερουσαλημ,False
Isa,1,1,12,בימי,,εν βασιλεια,False
Isa,1,1,13,עזיהו,,οζιου,False
Isa,1,1,14,יותם,,και ιωαθαμ,False
Isa,1,1,15,אחז,,και αχαζ,False
Isa,1,1,16,יחזקיהו,,και εζεκιου,False
Isa,1,1,17,מלכי,,οι εβασιλευσαν,False
Isa,1,1,18,יהודה,,της ιουδαιας,False
Isa,1,2,19,שמעו,,ακουε,False
Isa,1,2,20,שמים,,ουρανε,False
Isa,1,2,21,והאזיני,,και ενωτιζου,False
Isa,1,2,22,ארץ,,γη,False
Isa,1,2,23,כי,,οτι,False
Isa,1,2,24,יהוה,,κυριος,False
Isa,1,2,25,דבר,,ελαλησεν,False
Isa,1,2,26,בנים,,υιους,False
Isa,1,2,27,גדלתי,,εγεννησα,False
Isa,1,2,28,ורוממתי,,και υψωσα,False
Isa,1,2,29,והם,,αυτοι δε,False
Isa,1,2,30,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,με,False
Isa,1,2,31,פשעו,,ηθετησαν,False
Isa,1,2,32,בי,,{..με},False
Isa,1,3,33,ידע,,εγνω,False
Isa,1,3,34,שור,,βους,False
Isa,1,3,35,קנהו,,τον κτησαμενον,False
Isa,1,3,36,וחמור,,και ονος,False
Isa,1,3,37,אבוס,,την φατνην,False
Isa,1,3,38,בעליו,,του κυριου αυτου,False
Isa,1,3,39,ישראל,,ισραηλ δε,False
Isa,1,3,40,•^[Element 'added' in the Greek (plus in the LXX).],,με,True
Isa,1,3,41,לא,,ουκ,False
Isa,1,3,42,ידע,,εγνω,False
Isa,1,3,43,עמי,,και ο λαος,False
Isa,1,3,44,•^[Element 'added' in the Greek (plus in the LXX).],,με,True
Isa,1,3,45,לא,,ου,False
Isa,1,3,46,התבונן,,συνηκεν,False
Isa,1,4,47,הוי,,ουαι,False
Isa,1,4,48,גוי,,εθνος,False
Isa,1,4,49,חטא,,αμαρτωλον,False
Isa,1,4,50,עם,,λαος,False
Isa,1,4,51,כבד,,πληρης,False
Isa,1,4,52,עון,,αμαρτιων,False
Isa,1,4,53,זרע,,σπερμα,False
Isa,1,4,54,מרעים,,πονηρον,False
Isa,1,4,55,בנים,,υιοι,False
Isa,1,4,56,משחיתים,,ανομοι,False
Isa,1,4,57,עזבו,,εγκατελιπατε,False
Isa,1,4,58,את יהוה,,τον κυριον,False
Isa,1,4,59,נאצו,,και παρωργισατε,False
Isa,1,4,60,את קדוש,,τον αγιον,False
Isa,1,4,61,ישראל,,του ισραηλ,False
Isa,1,4,62,נזרו,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Isa,1,4,63,אחור,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Isa,1,5,64,על מה,,τι,False
Isa,1,5,65,תכו,,{..πληγητε},False
Isa,1,5,66,עוד,,ετι,False
Isa,1,5,67,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,πληγητε,False
Isa,1,5,68,תוסיפו,,προστιθεντες,False
Isa,1,5,69,סרה,,ανομιαν,False
Isa,1,5,70,כל,,πασα,False
Isa,1,5,71,ראש,,κεφαλη,False
Isa,1,5,72,לחלי,,εις πονον,False
Isa,1,5,73,וכל,,και πασα,False
Isa,1,5,74,לבב,,καρδια,False
Isa,1,5,75,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εις,False
Isa,1,5,76,דוי,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εις λυπην,False
Isa,1,6,77,מכף רגל,,απο ποδων,False
Isa,1,6,78,ועד,,εως,False
Isa,1,6,79,ראש,,κεφαλης,False
Isa,1,6,80,אין,,ουτε,False
Isa,1,6,81,בו,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Isa,1,6,82,מתם,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Isa,1,6,83,פצע,,τραυμα,False
Isa,1,6,84,וחבורה •^[Notation in Hebrew column of elements repeated in the translation.] אין,,ουτε μωλωψ,False
Isa,1,6,85,ומכה •^[Notation in Hebrew column of elements repeated in the translation.] אין,,ουτε πληγη,False
Isa,1,6,86,טריה,,φλεγμαινουσα,False
Isa,1,6,87,לא,,ουκ εστιν,False
Isa,1,6,88,"זרו •^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] רככה",,μαλαγμα επιθειναι,False
Isa,1,6,89,ולא,,ουτε,False
Isa,1,6,90,חבשו,,{..καταδεσμουσ},False
Isa,1,6,91,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,ελαιον,False
Isa,1,6,92,ולא,,ουτε,False
Isa,1,6,93,רככה,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",False
Isa,1,6,94,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,καταδεσμους,False
Isa,1,6,95,בשמן,,{..ελαιον},False
Isa,1,7,96,ארצכם,,η γη υμων,False
Isa,1,7,97,שממה,,ερημος,False
Isa,1,7,98,עריכם,,αι πολεις υμων,False
Isa,1,7,99,שרפות אש,,πυρικαυστοι,False
Isa,1,7,100,אדמתכם,,την χωραν υμων,False
Isa,1,7,101,לנגדכם,,ενωπιον υμων,False
Isa,1,7,102,זרים,,αλλοτριοι,False
Isa,1,7,103,אכלים,,κατεσθιουσιν,False
Isa,1,7,104,אתה,,αυτην,False
Isa,1,7,105,ושממה •^[Difference in vocalization (reading).],,και ηρημωται,False
Isa,1,7,106,כמהפכת •^[Difference in vocalization (reading).],,κατεστραμμενη,False
Isa,1,7,107,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,υπο,False
Isa,1,7,108,זרים,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] υπο λαων {} αλλοτριων,False
Isa,1,8,109,ונותרה,,εγκαταλειφθησεται,False
Isa,1,8,110,בת,,η θυγατηρ,False
Isa,1,8,111,ציון,,σιων,False
Isa,1,8,112,כסכה,,ως σκηνη,False
Isa,1,8,113,בכרם,,εν αμπελωνι,False
Isa,1,8,114,כמלונה,,και ως οπωροφυλακιον,False
Isa,1,8,115,במקשה,,εν σικυηρατω,False
Isa,1,8,116,כעיר,,ως πολις,False
Isa,1,8,117,נצורה,,πολιορκουμενη,False
Isa,1,9,118,לולי,,και ει μη,False
Isa,1,9,119,יהוה,,κυριος,False
Isa,1,9,120,צבאות,,σαβαωθ •^[Transliterated Hebrew word.],False
Isa,1,9,121,הותיר,,εγκατελιπεν,False
Isa,1,9,122,לנו,,ημιν,False
Isa,1,9,123,שריד,,σπερμα,False
Isa,1,9,124,כמעט,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] αν •^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] αν",False
Isa,1,9,125,כסדם,,ως σοδομα,False
Isa,1,9,126,היינו,,αν εγενηθημεν,False
Isa,1,9,127,לעמרה,,και ως γομορρα,False
Isa,1,9,128,דמינו,,αν ωμοιωθημεν,False
Isa,1,10,129,שמעו,,ακουσατε,False
Isa,1,10,130,דבר,,λογον,False
