book,chapter,verse,orderby,masoretic,retroverted,lxx
Jer,1,1,1,דברי,,το ρημα
Jer,1,1,2,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],,του θεου
Jer,1,1,3,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],,ο
Jer,1,1,4,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],,εγενετο
Jer,1,1,5,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],,επι
Jer,1,1,6,ירמיהו,,ιερεμιαν
Jer,1,1,7,בן,,τον του
Jer,1,1,8,חלקיהו,,χελκιου
Jer,1,1,9,מן,,εκ
Jer,1,1,10,הכהנים,,των ιερεων
Jer,1,1,11,אשר,,ος
Jer,1,1,12,•^[Element 'added' in the Greek (plus in the LXX).],,κατωκει
Jer,1,1,13,בענתות,,εν αναθωθ
Jer,1,1,14,בארץ,,εν γη
Jer,1,1,15,בנימן,,βενιαμιν
Jer,1,2,16,אשר,,ος
Jer,1,2,17,היה,,εγενηθη
Jer,1,2,18,דבר,,λογος
Jer,1,2,19,יהוה,,του θεου
Jer,1,2,20,אליו,,προς αυτον
Jer,1,2,21,בימי,,εν ταις ημεραις
Jer,1,2,22,יאשיהו,,ιωσια
Jer,1,2,23,בן,,υιου
Jer,1,2,24,אמון •^[Introducing reconstructed proper noun.] אמוץ .nc,,αμως
Jer,1,2,25,מלך,,βασιλεως
Jer,1,2,26,יהודה,,ιουδα
Jer,1,2,27,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,ετους
Jer,1,2,28,בשלש עשרה,,τρισκαιδεκατου
Jer,1,2,29,שנה,,{..ετουσ}
Jer,1,2,30,למלכו,,εν τη βασιλεια αυτου
Jer,1,3,31,ויהי,,και εγενετο
Jer,1,3,32,בימי,,εν ταις ημεραις
Jer,1,3,33,יהויקים,,ιωακιμ
Jer,1,3,34,בן,,υιου
Jer,1,3,35,יאשיהו,,ιωσια
Jer,1,3,36,מלך,,βασιλεως
Jer,1,3,37,יהודה,,ιουδα
Jer,1,3,38,עד,,εως
Jer,1,3,39,תם,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).]
Jer,1,3,40,עשתי עשרה,,ενδεκατου
Jer,1,3,41,שנה,,ετους
Jer,1,3,42,לצדקיהו,,σεδεκια
Jer,1,3,43,בן,,υιου
Jer,1,3,44,יאשיהו,,ιωσια
Jer,1,3,45,מלך,,βασιλεως
Jer,1,3,46,יהודה,,ιουδα
Jer,1,3,47,עד,,εως
Jer,1,3,48,גלות •^[Difference in vocalization (reading).],,της αιχμαλωσιας
Jer,1,3,49,ירושלם,,ιερουσαλημ
Jer,1,3,50,בחדש,,εν τω {..μηνι}
Jer,1,3,51,החמישי,,πεμπτω
Jer,1,3,52,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,μηνι
Jer,1,4,53,ויהי,,και εγενετο
Jer,1,4,54,דבר,,λογος
Jer,1,4,55,יהוה,,κυριου
Jer,1,4,56,אלי,,προς με
Jer,1,4,57,לאמר,,λεγων
Jer,1,5,58,בטרם,,προ
Jer,1,5,59,*אצורך **אצרך,,του με πλασαι σε
Jer,1,5,60,בבטן,,εν κοιλια
Jer,1,5,61,ידעתיך,,επισταμαι σε
Jer,1,5,62,ובטרם,,και προ
Jer,1,5,63,תצא,,του σε εξελθειν
Jer,1,5,64,מרחם,,εκ μητρας
Jer,1,5,65,הקדשתיך,,ηγιακα σε
Jer,1,5,66,נביא,,προφητην
Jer,1,5,67,לגוים,,εις εθνη
Jer,1,5,68,נתתיך,,τεθεικα σε
Jer,1,6,69,ואמר,,και ειπα
Jer,1,6,70,אהה,,ω
Jer,1,6,71,אדני,,δεσποτα
Jer,1,6,72,יהוה,,κυριε
Jer,1,6,73,הנה,,ιδου
Jer,1,6,74,לא,,ουκ
Jer,1,6,75,ידעתי,,επισταμαι
Jer,1,6,76,דבר,,λαλειν
Jer,1,6,77,כי,,οτι
Jer,1,6,78,נער,,νεωτερος
Jer,1,6,79,אנכי,,εγω ειμι
Jer,1,7,80,ויאמר,,και ειπεν
Jer,1,7,81,יהוה,,κυριος
Jer,1,7,82,אלי,,προς με
Jer,1,7,83,אל,,μη
Jer,1,7,84,תאמר,,λεγε
Jer,1,7,85,•^[Element 'added' in the Greek (plus in the LXX).],,οτι
Jer,1,7,86,נער,,νεωτερος
Jer,1,7,87,אנכי,,εγω ειμι
Jer,1,7,88,כי,,οτι
Jer,1,7,89,על,,προς
Jer,1,7,90,כל,,παντας
Jer,1,7,91,אשר,,ους εαν
Jer,1,7,92,אשלחך,,εξαποστειλω σε
Jer,1,7,93,תלך,,πορευση
Jer,1,7,94,ואת •^[Difference in preposition or particle.],,και κατα
Jer,1,7,95,כל,,παντα
Jer,1,7,96,אשר,,οσα εαν
Jer,1,7,97,אצוך,,εντειλωμαι σοι
Jer,1,7,98,תדבר,,λαλησεις
Jer,1,8,99,אל,,μη
Jer,1,8,100,תירא,,φοβηθης
Jer,1,8,101,מפניהם,,απο προσωπου αυτων
Jer,1,8,102,כי,,οτι
Jer,1,8,103,אתך,,μετα σου
Jer,1,8,104,אני,,εγω ειμι
Jer,1,8,105,להצלך,,του εξαιρεισθαι σε
Jer,1,8,106,נאם,,λεγει
Jer,1,8,107,יהוה,,κυριος
Jer,1,9,108,וישלח,,και εξετεινεν
Jer,1,9,109,יהוה,,κυριος
Jer,1,9,110,את ידו,,την χειρα αυτου
Jer,1,9,111,•^[Element 'added' in the Greek (plus in the LXX).],,προς με
Jer,1,9,112,ויגע,,και ηψατο
Jer,1,9,113,על פי,,του στοματος μου
Jer,1,9,114,ויאמר,,και ειπεν
Jer,1,9,115,יהוה,,κυριος
Jer,1,9,116,אלי,,προς με
Jer,1,9,117,הנה,,ιδου
Jer,1,9,118,נתתי,,δεδωκα
Jer,1,9,119,דברי,,τους λογους μου
Jer,1,9,120,בפיך,,εις το στομα σου
Jer,1,10,121,ראה,,ιδου
Jer,1,10,122,הפקדתיך,,κατεστακα σε
Jer,1,10,123,היום הזה,,σημερον
Jer,1,10,124,על,,επι
Jer,1,10,125,הגוים,,εθνη
Jer,1,10,126,ועל,,"και •^[Distributive rendering, occurring once in the translation but referring to more than one Hebrew word.] επι"
Jer,1,10,127,הממלכות,,βασιλειας
Jer,1,10,128,לנתוש,,εκριζουν
Jer,1,10,129,ולנתוץ,,και κατασκαπτειν
Jer,1,10,130,ולהאביד,,και απολλυειν
Jer,1,10,131,ולהרוס,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).]
Jer,1,10,132,לבנות,,και ανοικοδομειν
Jer,1,10,133,ולנטוע,,και καταφυτευειν
Jer,1,11,134,ויהי,,και εγενετο
Jer,1,11,135,דבר,,λογος
Jer,1,11,136,יהוה,,κυριου
Jer,1,11,137,אלי,,προς με
Jer,1,11,138,לאמר,,λεγων
Jer,1,11,139,מה,,τι
Jer,1,11,140,אתה,,συ
Jer,1,11,141,ראה,,ορας
Jer,1,11,142,ירמיהו,,ιερεμια
Jer,1,11,143,ואמר,,και ειπα
Jer,1,11,144,מקל,,βακτηριαν
Jer,1,11,145,שקד,,καρυινην
Jer,1,11,146,אני,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).]
Jer,1,11,147,ראה,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).]
Jer,1,12,148,ויאמר,,και ειπεν
Jer,1,12,149,יהוה,,κυριος
Jer,1,12,150,אלי,,προς με
Jer,1,12,151,היטבת,,καλως
Jer,1,12,152,לראות,,εωρακας
Jer,1,12,153,כי,,διοτι
Jer,1,12,154,שקד,,εγρηγορα
Jer,1,12,155,אני,,εγω
Jer,1,12,156,על,,επι
Jer,1,12,157,דברי,,τους λογους μου
Jer,1,12,158,לעשתו,,του ποιησαι αυτους
Jer,1,13,159,ויהי,,και εγενετο
Jer,1,13,160,דבר,,λογος
Jer,1,13,161,יהוה,,κυριου
Jer,1,13,162,אלי,,προς με
Jer,1,13,163,שנית,,εκ δευτερου
Jer,1,13,164,לאמר,,λεγων
Jer,1,13,165,מה,,τι
Jer,1,13,166,אתה,,συ
Jer,1,13,167,ראה,,ορας
Jer,1,13,168,ואמר,,και ειπα
Jer,1,13,169,סיר,,λεβητα
Jer,1,13,170,נפוח,,υποκαιομενον
Jer,1,13,171,אני,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).]
Jer,1,13,172,ראה,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).]
Jer,1,13,173,ופניו,,και το προσωπον αυτου
Jer,1,13,174,מפני,,απο προσωπου
Jer,1,13,175,צפונה,,βορρα
Jer,1,14,176,ויאמר,,και ειπεν
Jer,1,14,177,יהוה,,κυριος
Jer,1,14,178,אלי,,προς με
Jer,1,14,179,מצפון,מפני הצפון •^[Difference in preposition or particle.],απο προσωπου βορρα
Jer,1,14,180,תפתח,,εκκαυθησεται
Jer,1,14,181,הרעה,,τα κακα
Jer,1,14,182,על,,επι
Jer,1,14,183,כל,,παντας
Jer,1,14,184,ישבי,,τους κατοικουντας
Jer,1,14,185,הארץ,,την γην
Jer,1,15,186,כי,,διοτι
Jer,1,15,187,הנני,,ιδου εγω
Jer,1,15,188,קרא,,συγκαλω
Jer,1,15,189,לכל,,πασας
Jer,1,15,190,משפחות •^[Reference to doublet (occurring between the two elements of the doublet.],,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).]
Jer,1,15,191,ממלכות,,τας βασιλειας
Jer,1,15,192,צפונה,,απο βορρα
Jer,1,15,193,•^[Element 'added' in the Greek (plus in the LXX).],הארץ,της γης
Jer,1,15,194,נאם,,λεγει
Jer,1,15,195,יהוה,,κυριος
Jer,1,15,196,ובאו,,και ηξουσιν
Jer,1,15,197,ונתנו,,και θησουσιν
Jer,1,15,198,איש,,εκαστος
Jer,1,15,199,כסאו,,τον θρονον αυτου
Jer,1,15,200,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,επι
Jer,1,15,201,פתח,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] επι τα προθυρα
Jer,1,15,202,שערי,,των πυλων
Jer,1,15,203,ירושלם,,ιερουσαλημ
Jer,1,15,204,ועל,,και επι
Jer,1,15,205,כל,,παντα
Jer,1,15,206,חומתיה,,τα τειχη
Jer,1,15,207,סביב,,τα κυκλω αυτης
Jer,1,15,208,ועל,,και επι
Jer,1,15,209,כל,,πασας
Jer,1,15,210,ערי,,τας πολεις
Jer,1,15,211,יהודה,,ιουδα
Jer,1,16,212,ודברתי,,και λαλησω
Jer,1,16,213,משפטי,אותם,προς αυτους
Jer,1,16,214,אותם,משפתי,μετα κρισεως
Jer,1,16,215,על,,περι
Jer,1,16,216,כל,,πασης
Jer,1,16,217,רעתם,,της κακιας αυτων
Jer,1,16,218,אשר,,ως
Jer,1,16,219,עזבוני,,εγκατελιπον με
Jer,1,16,220,ויקטרו,,και εθυσαν
Jer,1,16,221,לאלהים,,θεοις
Jer,1,16,222,אחרים,,αλλοτριοις
Jer,1,16,223,וישתחוו,,και προσεκυνησαν
Jer,1,16,224,למעשי,,τοις εργοις
Jer,1,16,225,ידיהם,,των χειρων αυτων
Jer,1,17,226,ואתה,,και συ
Jer,1,17,227,תאזר,,περιζωσαι
Jer,1,17,228,מתניך,,την οσφυν σου
Jer,1,17,229,וקמת,,και αναστηθι
Jer,1,17,230,ודברת,,και ειπον
Jer,1,17,231,אליהם,,προς αυτους
Jer,1,17,232,את כל,,παντα
Jer,1,17,233,אשר,,οσα αν
Jer,1,17,234,אנכי אצוך,,εντειλωμαι σοι
Jer,1,17,235,אל,,μη
Jer,1,17,236,תחת,,φοβηθης
Jer,1,17,237,מפניהם,,απο προσωπου αυτων
Jer,1,17,238,פן,,μηδε
Jer,1,17,239,אחתך,,πτοηθης
Jer,1,17,240,לפניהם,,εναντιον αυτων
Jer,1,17,241,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;כי <1.8>,,οτι
Jer,1,17,242,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;אתך <1.8>,,μετα σου
Jer,1,17,243,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;אני <1.8>,,εγω ειμι
Jer,1,17,244,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;להצילך <1.8>,,του εξαιρεισθαι σε
Jer,1,17,245,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;נאם <1.8>,,λεγει
