book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Job,1,1,1,איש,,ανθρωπος τις,False
Job,1,1,2,היה,,ην,False
Job,1,1,3,בארץ,,εν χωρα,False
Job,1,1,4,עוץ,,τη αυσιτιδι,False
Job,1,1,5,איוב,שמו,ω ονομα,True
Job,1,1,6,שמו,איוב,ιωβ,True
Job,1,1,7,והיה,,και ην,False
Job,1,1,8,האיש,,ο ανθρωπος,False
Job,1,1,9,ההוא,,εκεινος,False
Job,1,1,10,"תם •^[Questionable notation, equivalent, etc.]",וישר,αληθινος,True
Job,1,1,11,"•^[Questionable notation, equivalent, etc.] וישר",תם,αμεμπτος,True
Job,1,1,12,•^[Element 'added' in the Greek (plus in the LXX).],,δικαιος,True
Job,1,1,13,וירא אלהים,,θεοσεβης,False
Job,1,1,14,וסר,,απεχομενος,False
Job,1,1,15,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,απο,False
Job,1,1,16,•^[Element 'added' in the Greek (plus in the LXX).],,παντος,True
Job,1,1,17,מרע,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] απο πονηρου πραγματος",False
Job,1,2,18,ויולדו,,εγενοντο δε,False
Job,1,2,19,לו,,αυτω,False
Job,1,2,20,שבעה,,{..επτα},False
Job,1,2,21,בנים,,υιοι,False
Job,1,2,22,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,επτα,False
Job,1,2,23,ושלוש,,και {..τρεισ},False
Job,1,2,24,בנות,,θυγατερες,False
Job,1,2,25,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,τρεις,False
Job,1,3,26,ויהי,,και ην,False
Job,1,3,27,מקנהו,,τα κτηνη αυτου,False
Job,1,3,28,שבעת אלפי,,{..επτακισχιλια},False
Job,1,3,29,צאן,,προβατα,False
Job,1,3,30,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,επτακισχιλια,False
Job,1,3,31,ושלשת אלפי,,{..τρισχιλιαι},False
Job,1,3,32,גמלים,,καμηλοι,False
Job,1,3,33,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,τρισχιλιαι,False
Job,1,3,34,וחמש מאות,,{..πεντακοσια},False
Job,1,3,35,צמד,,ζευγη,False
Job,1,3,36,בקר,,βοων,False
Job,1,3,37,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,πεντακοσια,False
Job,1,3,38,וחמש מאות,,{..πεντακοσια},False
Job,1,3,39,אתונות,,ονοι θηλειαι,False
Job,1,3,40,•^[Element 'added' in the Greek (plus in the LXX).],רעות <1.14>,νομαδες,True
Job,1,3,41,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,πεντακοσιαι,False
Job,1,3,42,ועבדה,{d}v,και υπηρεσια •^[Reference to doublet (occurring between the two elements of the doublet.] {...και εργα},True
Job,1,3,43,רבה,,"πολλη •^[Reference to doublet (occurring between the two elements of the doublet.] •^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] μεγαλα",False
Job,1,3,44,מאד,,σφοδρα,False
Job,1,3,45,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,και εργα,False
Job,1,3,46,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,μεγαλα,False
Job,1,3,47,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],,ην,True
Job,1,3,48,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],,αυτω,True
Job,1,3,49,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],,επι,True
