book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Joel,1,1,1,דבר,,λογος,False
Joel,1,1,2,יהוה,,κυριου,False
Joel,1,1,3,אשר,,ος,False
Joel,1,1,4,היה,,εγενηθη,False
Joel,1,1,5,אל,,προς,False
Joel,1,1,6,יואל,,ιωηλ,False
Joel,1,1,7,בן,,τον του,False
Joel,1,1,8,פתואל,,βαθουηλ,False
Joel,1,2,9,שמעו,,ακουσατε,False
Joel,1,2,10,•^[Element 'added' in the Greek (plus in the LXX).],,δη,True
Joel,1,2,11,זאת,,ταυτα,False
Joel,1,2,12,הזקנים,,οι πρεσβυτεροι,False
Joel,1,2,13,והאזינו,,και ενωτισασθε,False
Joel,1,2,14,כל,,παντες,False
Joel,1,2,15,יושבי,,οι κατοικουντες,False
Joel,1,2,16,הארץ,,την γην,False
Joel,1,2,17,ההיתה,,ει γεγονεν,False
Joel,1,2,18,זאת,,τοιαυτα,False
Joel,1,2,19,בימיכם,,εν ταις ημεραις υμων,False
Joel,1,2,20,ואם,,η,False
Joel,1,2,21,בימי,,εν ταις ημεραις,False
Joel,1,2,22,אבתיכם,,των πατερων υμων,False
Joel,1,3,23,עליה,,υπερ αυτων,False
Joel,1,3,24,לבניכם,,τοις τεκνοις υμων,False
Joel,1,3,25,ספרו,,διηγησασθε,False
Joel,1,3,26,ובניכם,,και τα τεκνα υμων,False
Joel,1,3,27,לבניהם,,τοις τεκνοις αυτων,False
Joel,1,3,28,ובניהם,,και τα τεκνα αυτων,False
Joel,1,3,29,לדור,,εις γενεαν,False
Joel,1,3,30,אחר,,ετεραν,False
Joel,1,4,31,יתר,,τα καταλοιπα,False
Joel,1,4,32,הגזם,,της καμπης,False
Joel,1,4,33,אכל,,κατεφαγεν,False
Joel,1,4,34,הארבה,,η ακρις,False
Joel,1,4,35,ויתר,,και τα καταλοιπα,False
Joel,1,4,36,הארבה,,της ακριδος,False
Joel,1,4,37,אכל,,κατεφαγεν,False
Joel,1,4,38,הילק,,ο βρουχος,False
Joel,1,4,39,ויתר,,και τα καταλοιπα,False
Joel,1,4,40,הילק,,του βρουχου,False
Joel,1,4,41,אכל,,κατεφαγεν,False
Joel,1,4,42,החסיל,,η ερυσιβη,False
Joel,1,5,43,הקיצו,,εκνηψατε,False
Joel,1,5,44,שכורים,,οι μεθυοντες,False
Joel,1,5,45,•^[Element 'added' in the Greek (plus in the LXX).],מיינם,εξ οινου αυτων,True
Joel,1,5,46,ובכו,,και κλαυσατε,False
Joel,1,5,47,והיללו,,θρηνησατε,False
Joel,1,5,48,כל,,παντες,False
Joel,1,5,49,שתי,,οι πινοντες,False
Joel,1,5,50,יין,,οινον,False
Joel,1,5,51,על,,εις,False
Joel,1,5,52,עסיס,,μεθην,False
Joel,1,5,53,כי,,οτι,False
Joel,1,5,54,נכרת,,εξηρται,False
Joel,1,5,55,מפיכם,,εκ στοματος υμων,False
Joel,1,5,56,•^[Element 'added' in the Greek (plus in the LXX).] =;שמחה <1.16>,,ευφροσυνη,True
Joel,1,5,57,•^[Element 'added' in the Greek (plus in the LXX).] =;וגיל <1.16>,,και χαρα,True
Joel,1,6,58,כי,,οτι,False
Joel,1,6,59,גוי,,εθνος,False
Joel,1,6,60,עלה,,ανεβη,False
Joel,1,6,61,על,,επι,False
Joel,1,6,62,ארצי,,την γην μου,False
Joel,1,6,63,עצום,,ισχυρον,False
Joel,1,6,64,ואין מספר,,και αναριθμητον,False
Joel,1,6,65,שניו,,οι οδοντες αυτου,False
Joel,1,6,66,שני,,οδοντες,False
Joel,1,6,67,אריה,,λεοντος,False
Joel,1,6,68,ומתלעות,,και αι μυλαι,False
Joel,1,6,69,•^[Stylistic or grammatical transposition.] לו,,αυτου,False
Joel,1,6,70,לביא,,σκυμνου,False
Joel,1,6,71,לו,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",False
Joel,1,7,72,שם,,εθετο,False
Joel,1,7,73,גפני,,την αμπελον μου,False
Joel,1,7,74,לשמה,,εις αφανισμον,False
Joel,1,7,75,ותאנתי,,και τας συκας μου,False
Joel,1,7,76,לקצפה,,εις συγκλασμον,False
Joel,1,7,77,חשף,חפש {!}p •^[Interchange of consonants between MT and the presumed Hebrew parent text of the LXX (metathesis.)],ερευνων,True
Joel,1,7,78,חשפה,חפשה {!}p •^[Interchange of consonants between MT and the presumed Hebrew parent text of the LXX (metathesis.)],εξηρευνησεν αυτην,True
Joel,1,7,79,והשליך,,και ερριψεν,False
Joel,1,7,80,הלבינו,,ελευκανεν,False
Joel,1,7,81,שריגיה,,κληματα αυτης,False
Joel,1,8,82,אלי,{d}עלי .אע,θρηνησον •^[Reference to doublet (occurring between the two elements of the doublet.] προς με,True
Joel,1,8,83,כבתולה •^[Difference in preposition or particle.],,υπερ νυμφην,False
Joel,1,8,84,חגרת,,περιεζωσμενην,False
Joel,1,8,85,שק,,σακκον,False
Joel,1,8,86,על,,επι,False
Joel,1,8,87,בעל,,τον ανδρα,False
Joel,1,8,88,נעוריה,,"αυτης •^[Difference in sequence between MT and LXX, denoted after the first Hebrew word and before the second one, as well as between two Greek words.] τον παρθενικον",False
Joel,1,9,89,הכרת,,εξηρται,False
Joel,1,9,90,מנחה,,θυσια,False
Joel,1,9,91,ונסך,,και σπονδη,False
Joel,1,9,92,מבית,,εξ οικου,False
Joel,1,9,93,יהוה,,κυριου,False
Joel,1,9,94,אבלו,,πενθειτε,False
Joel,1,9,95,הכהנים,,οι ιερεις,False
Joel,1,9,96,משרתי,,οι λειτουργουντες,False
Joel,1,9,97,יהוה,מזבח,θυσιαστηριω,True
Joel,1,10,98,•^[Element 'added' in the Greek (plus in the LXX).],,οτι,True
Joel,1,10,99,שדד,,τεταλαιπωρηκεν,False
Joel,1,10,100,שדה,,τα πεδια,False
Joel,1,10,101,אבלה,,πενθειτω,False
Joel,1,10,102,אדמה,,η γη,False
Joel,1,10,103,כי,,οτι,False
Joel,1,10,104,שדד,,τεταλαιπωρηκεν,False
Joel,1,10,105,דגן,,σιτος,False
Joel,1,10,106,הוביש,,εξηρανθη,False
Joel,1,10,107,תירוש,,οινος,False
Joel,1,10,108,אמלל,,ωλιγωθη,False
Joel,1,10,109,יצהר,,ελαιον,False
Joel,1,11,110,הבישו,,εξηρανθησαν,False
Joel,1,11,111,אכרים,,οι γεωργοι,False
Joel,1,11,112,הילילו,,θρηνειτε,False
Joel,1,11,113,כרמים •^[Difference in vocalization (reading).],,κτηματα,False
Joel,1,11,114,על,,υπερ,False
Joel,1,11,115,חטה,,πυρου,False
Joel,1,11,116,ועל,,"και •^[Distributive rendering, occurring once in the translation but referring to more than one Hebrew word.] υπερ",False
Joel,1,11,117,שערה,,κριθης,False
Joel,1,11,118,כי,,οτι,False
Joel,1,11,119,אבד,,απολωλεν,False
Joel,1,11,120,קציר,,τρυγητος,False
Joel,1,11,121,שדה •^[Addition of preposition or particle.],,εξ αγρου,False
Joel,1,12,122,הגפן,,η αμπελος,False
Joel,1,12,123,הובישה,,εξηρανθη,False
Joel,1,12,124,והתאנה,,και αι συκαι,False
Joel,1,12,125,אמללה,,ωλιγωθησαν,False
Joel,1,12,126,רמון,,ροα,False
Joel,1,12,127,גם,,και,False
Joel,1,12,128,תמר,,φοινιξ,False
Joel,1,12,129,ותפוח,,και μηλον,False
Joel,1,12,130,כל,,και παντα,False
Joel,1,12,131,עצי,,τα ξυλα,False
Joel,1,12,132,השדה,,του αγρου,False
Joel,1,12,133,יבשו,,εξηρανθησαν,False
Joel,1,12,134,כי,,οτι,False
Joel,1,12,135,הביש,,ησχυναν,False
Joel,1,12,136,ששון,,χαραν,False
Joel,1,12,137,מן,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Joel,1,12,138,בני,,οι υιοι,False
Joel,1,12,139,אדם,,των ανθρωπων,False
Joel,1,13,140,חגרו,,περιζωσασθε,False
Joel,1,13,141,וספדו,,και κοπτεσθε,False
Joel,1,13,142,הכהנים,,οι ιερεις,False
Joel,1,13,143,הילילו,,θρηνειτε,False
Joel,1,13,144,משרתי,,οι λειτουργουντες,False
Joel,1,13,145,מזבח,,θυσιαστηριω,False
Joel,1,13,146,באו,,εισελθατε,False
Joel,1,13,147,לינו,,υπνωσατε,False
Joel,1,13,148,בשקים,,εν σακκοις,False
Joel,1,13,149,משרתי,,λειτουργουντες,False
Joel,1,13,150,אלהי,,θεω,False
Joel,1,13,151,כי,,οτι,False
Joel,1,13,152,נמנע,,απεσχηκεν,False
Joel,1,13,153,מבית,,εξ οικου,False
Joel,1,13,154,אלהיכם,,θεου υμων,False
Joel,1,13,155,מנחה,,θυσια,False
Joel,1,13,156,ונסך,,και σπονδη,False
Joel,1,14,157,קדשו,,αγιασατε,False
Joel,1,14,158,צום,,νηστειαν,False
Joel,1,14,159,קראו,,κηρυξατε,False
Joel,1,14,160,עצרה,,θεραπειαν,False
Joel,1,14,161,אספו,,συναγαγετε,False
Joel,1,14,162,זקנים,,πρεσβυτερους,False
Joel,1,14,163,כל,,παντας,False
Joel,1,14,164,ישבי,,κατοικουντας,False
Joel,1,14,165,הארץ,,γην,False
Joel,1,14,166,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εις,False
Joel,1,14,167,בית,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εις οικον,False
Joel,1,14,168,יהוה,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Joel,1,14,169,אלהיכם,,θεου υμων,False
Joel,1,14,170,וזעקו,,και κεκραξατε,False
Joel,1,14,171,אל,,προς,False
Joel,1,14,172,יהוה,,κυριον,False
Joel,1,14,173,•^[Element 'added' in the Greek (plus in the LXX).],"•^[Questionable notation, equivalent, etc.] בחזקה",εκτενως,True
Joel,1,15,174,"אהה •^[Element 'added' in the Greek (plus in the LXX).] •^[Questionable notation, equivalent, etc.]",,οιμμοι οιμμοι οιμμοι,True
Joel,1,15,175,ליום,,εις ημεραν,False
Joel,1,15,176,כי,,οτι,False
Joel,1,15,177,קרוב,,εγγυς,False
Joel,1,15,178,יום,,ημερα,False
Joel,1,15,179,יהוה,,κυριου,False
Joel,1,15,180,וכשד,,και ως ταλαιπωρια,False
Joel,1,15,181,משדי,משד,εκ ταλαιπωριας,True
Joel,1,15,182,יבוא,,ηξει,False
Joel,1,16,183,הלוא,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Joel,1,16,184,נגד,,κατεναντι,False
Joel,1,16,185,עינינו,,των οφθαλμων υμων,False
Joel,1,16,186,אכל,,βρωματα,False
Joel,1,16,187,נכרת,,εξωλεθρευθη,False
Joel,1,16,188,מבית,,εξ οικου,False
Joel,1,16,189,אלהינו,,θεου υμων,False
Joel,1,16,190,שמחה,,ευφροσυνη,False
