book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
JoshA,15,21,1,ויהיו,,εγενηθησαν δε,False
JoshA,15,21,2,הערים,,αι πολεις αυτων,False
JoshA,15,21,3,•^[Element 'added' in the Greek (plus in the LXX).],,πολις,True
JoshA,15,21,4,מקצה,,πρωτη,False
JoshA,15,21,5,למטה,,φυλης,False
JoshA,15,21,6,בני,,υιων,False
JoshA,15,21,7,יהודה,,ιουδα,False
JoshA,15,21,8,אל,,εφ',False
JoshA,15,21,9,גבול,,οριων,False
JoshA,15,21,10,אדום,,εδωμ,False
JoshA,15,21,11,בנגבה,,επι της ερημου,False
JoshA,15,21,12,קבצאל,,καβσεηλ,False
JoshA,15,21,13,ועדר,,και εδραι,False
JoshA,15,21,14,ויגור,,και ιαγουρ,False
JoshA,15,22,15,וקינה,,και κινα,False
JoshA,15,22,16,ודימונה,,και διμωνα,False
JoshA,15,22,17,ועדעדה,,και αδαδα,False
JoshA,15,23,18,וקדש,,και κεδες,False
JoshA,15,23,19,וחצור,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshA,15,23,20,ויתנן זיף,,και ιθναζιφ [24],False
JoshA,15,24,21,וטלם,,και τελεμ,False
JoshA,15,24,22,ובעלות,,και βαλωθ,False
JoshA,15,25,23,וחצור,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshA,15,25,24,חדתה,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshA,15,25,25,וקריות,,και πολις,False
JoshA,15,25,26,חצרון,,ασερων,False
JoshA,15,25,27,היא,,αυτη,False
JoshA,15,25,28,חצור,,ασωρ,False
JoshA,15,26,29,אמם,,αμαμ,False
JoshA,15,26,30,ושמע,,και σαμαα,False
JoshA,15,26,31,ומולדה,,και μωλαδα,False
JoshA,15,27,32,וחצר גדה,,και ασεργαδδα,False
JoshA,15,27,33,וחשמון,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshA,15,27,34,ובית פלט,,και βαιθφαλεθ,False
JoshA,15,28,35,וחצר שועל,,και ασαρσουλα,False
JoshA,15,28,36,ובאר שבע,,και βηρσαβεε,False
JoshA,15,28,37,ובזיותיה =;ובנותיהן <15.45>,,και αι κωμαι αυτων,False
JoshA,15,28,38,•^[Element 'added' in the Greek (plus in the LXX).] =;וחצריהן <15.45>,,και αι επαυλεις αυτων,True
JoshA,15,29,39,בעלה,,βααλα,False
JoshA,15,29,40,ועיים,,και αυιμ,False
JoshA,15,29,41,ועצם,,και ασεμ,False
JoshA,15,30,42,ואלתולד,,και ελθωδαδ,False
JoshA,15,30,43,וכסיל,,και χασιλ,False
JoshA,15,30,44,וחרמה,,και ερμα,False
JoshA,15,31,45,וצקלג,,και σικελεγ,False
JoshA,15,31,46,ומדמנה,,και μεδεβηνα,False
JoshA,15,31,47,וסנסנה,,και σανσαννα,False
JoshA,15,32,48,ולבאות,,και λαβωθ,False
JoshA,15,32,49,ושלחים,,και σελειμ,False
JoshA,15,32,50,ועין,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshA,15,32,51,ורמון,,και ρεμμων,False
JoshA,15,32,52,כל,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshA,15,32,53,ערים,,πολεις,False
JoshA,15,32,54,עשרים ותשע,,εικοσι και εννεα,False
JoshA,15,32,55,וחצריהן,,και αι κωμαι αυτων,False
JoshA,15,33,56,בשפלה,,εν τη πεδινη,False
JoshA,15,33,57,אשתאול,,εσθαολ,False
JoshA,15,33,58,וצרעה,,και σαραα,False
JoshA,15,33,59,ואשנה,,και ασνα,False
