book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
JoshB,1,1,1,ויהי,,και εγενετο,False
JoshB,1,1,2,אחרי,,μετα,False
JoshB,1,1,3,מות,,την τελευτην,False
JoshB,1,1,4,משה,,μωυση,False
JoshB,1,1,5,עבד,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshB,1,1,6,יהוה,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshB,1,1,7,ויאמר,,ειπεν,False
JoshB,1,1,8,יהוה,,κυριος,False
JoshB,1,1,9,אל יהושע,,τω ιησοι,False
JoshB,1,1,10,בן,,υιω,False
JoshB,1,1,11,נון,,ναυη,False
JoshB,1,1,12,משרת,,τω υπουργω,False
JoshB,1,1,13,משה,,μωυση,False
JoshB,1,1,14,לאמר,,λεγων,False
JoshB,1,2,15,משה,,μωυσης,False
JoshB,1,2,16,עבדי,,ο θεραπων μου,False
JoshB,1,2,17,מת,,τετελευτηκεν,False
JoshB,1,2,18,ועתה,,νυν ουν,False
JoshB,1,2,19,קום,,αναστας,False
JoshB,1,2,20,עבר,,διαβηθι,False
JoshB,1,2,21,את הירדן,,τον ιορδανην,False
JoshB,1,2,22,הזה,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshB,1,2,23,אתה,,συ,False
JoshB,1,2,24,וכל,,και πας,False
JoshB,1,2,25,העם,,ο λαος,False
JoshB,1,2,26,הזה,,ουτος,False
JoshB,1,2,27,אל,,εις,False
JoshB,1,2,28,הארץ,,την γην,False
JoshB,1,2,29,אשר,,ην,False
JoshB,1,2,30,אנכי,,εγω,False
JoshB,1,2,31,נתן,,διδωμι,False
JoshB,1,2,32,להם,,αυτοις,False
JoshB,1,2,33,לבני,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshB,1,2,34,ישראל,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshB,1,3,35,כל,,πας,False
JoshB,1,3,36,מקום,,ο τοπος,False
JoshB,1,3,37,"אשר •^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] בו",,εφ' ον αν,False
JoshB,1,3,38,תדרך,,επιβητε,False
JoshB,1,3,39,כף,,τω ιχνει,False
JoshB,1,3,40,רגלכם,,των ποδων υμων,False
JoshB,1,3,41,בו,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",False
JoshB,1,3,42,לכם,,υμιν,False
JoshB,1,3,43,נתתיו,,δωσω αυτον,False
JoshB,1,3,44,כאשר,,ον τροπον,False
JoshB,1,3,45,דברתי,,ειρηκα,False
JoshB,1,3,46,אל משה,,τω μωυση,False
JoshB,1,4,47,מהמדבר •^[Omission of preposition or particle.],,την ερημον,False
JoshB,1,4,48,והלבנון,,και τον αντιλιβανον,False
JoshB,1,4,49,הזה,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshB,1,4,50,ועד,,εως,False
JoshB,1,4,51,הנהר,,του ποταμου,False
JoshB,1,4,52,הגדול,,του μεγαλου,False
JoshB,1,4,53,נהר,,ποταμου,False
JoshB,1,4,54,פרת,,ευφρατου,False
JoshB,1,4,55,כל,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshB,1,4,56,ארץ,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshB,1,4,57,החתים,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshB,1,4,58,ועד,,και εως,False
JoshB,1,4,59,הים הגדול,,της θαλασσης της εσχατης,False
JoshB,1,4,60,מבוא •^[Difference in vocalization (reading).],,αφ' {..δυσμων},False
JoshB,1,4,61,השמש,,ηλιου,False
JoshB,1,4,62,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,δυσμων,False
JoshB,1,4,63,יהיה,,εσται,False
JoshB,1,4,64,גבולכם,,τα ορια υμων,False
JoshB,1,5,65,לא,,ουκ,False
JoshB,1,5,66,יתיצב,,αντιστησεται,False
JoshB,1,5,67,איש,,ανθρωπος,False
JoshB,1,5,68,לפניך,,κατενωπιον υμων,False
JoshB,1,5,69,כל,,πασας,False
JoshB,1,5,70,ימי,,τας ημερας,False
JoshB,1,5,71,חייך,,της ζωης σου,False
JoshB,1,5,72,כאשר,,και ωσπερ,False
JoshB,1,5,73,הייתי,,ημην,False
JoshB,1,5,74,עם,,μετα,False
JoshB,1,5,75,משה,,μωυση,False
JoshB,1,5,76,•^[Element 'added' in the Greek (plus in the LXX).],כן,ουτως,True
JoshB,1,5,77,אהיה,,εσομαι,False
JoshB,1,5,78,עמך,,και μετα σου,False
JoshB,1,5,79,לא,,και ουκ,False
JoshB,1,5,80,ארפך,אעזבך,εγκαταλειψω σε,True
JoshB,1,5,81,ולא,,ουδε,False
JoshB,1,5,82,אעזבך,ארפך,υπεροψομαι σε,True
JoshB,1,6,83,חזק,,ισχυε,False
JoshB,1,6,84,ואמץ,,και ανδριζου,False
JoshB,1,6,85,כי,,{..γαρ},False
JoshB,1,6,86,אתה,,συ,False
JoshB,1,6,87,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,γαρ,False
JoshB,1,6,88,תנחיל,,αποδιαστελεις,False
JoshB,1,6,89,את העם,,τω λαω,False
JoshB,1,6,90,הזה,,τουτω,False
JoshB,1,6,91,את הארץ,,την γην,False
JoshB,1,6,92,אשר,,ην,False
JoshB,1,6,93,נשבעתי,,ωμοσα,False
JoshB,1,6,94,לאבותם,,τοις πατρασιν υμων,False
JoshB,1,6,95,לתת,,δουναι,False
JoshB,1,6,96,להם,,αυτοις,False
JoshB,1,7,97,רק,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",False
JoshB,1,7,98,חזק,,ισχυε,False
JoshB,1,7,99,{..רק},,ουν,False
JoshB,1,7,100,ואמץ,,και ανδριζου,False
JoshB,1,7,101,מאד,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshB,1,7,102,לשמר,,φυλασσεσθαι,False
JoshB,1,7,103,לעשות,,και ποιειν,False
JoshB,1,7,104,"ככל •^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] אשר",,καθοτι •^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshB,1,7,105,התורה,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshB,1,7,106,אשר,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",False
JoshB,1,7,107,צוך,,ενετειλατο σοι,False
JoshB,1,7,108,משה,,μωυσης,False
JoshB,1,7,109,עבדי,,ο παις μου,False
JoshB,1,7,110,אל,,και ουκ,False
JoshB,1,7,111,תסור,,εκκλινεις,False
JoshB,1,7,112,ממנו,,απ' αυτων,False
JoshB,1,7,113,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εις,False
JoshB,1,7,114,ימין,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εις δεξια,False
JoshB,1,7,115,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,ουδε,False
JoshB,1,7,116,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εις,False
JoshB,1,7,117,ושמאול,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] ουδε •^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εις αριστερα",False
JoshB,1,7,118,למען,,ινα,False
JoshB,1,7,119,תשכיל,,συνης,False
JoshB,1,7,120,בכל,,εν πασιν,False
JoshB,1,7,121,אשר,,οις εαν,False
JoshB,1,7,122,תלך,,πρασσης,False
JoshB,1,8,123,לא,,και ουκ,False
JoshB,1,8,124,ימוש,,αποστησεται,False
JoshB,1,8,125,ספר,,η βιβλος,False
JoshB,1,8,126,התורה,,του νομου,False
JoshB,1,8,127,הזה,,τουτου,False
JoshB,1,8,128,מפיך,,εκ του στοματος σου,False
JoshB,1,8,129,והגית,,και μελετησεις,False
JoshB,1,8,130,בו,,εν αυτω,False
JoshB,1,8,131,יומם,,ημερας,False
JoshB,1,8,132,ולילה,,και νυκτος,False
JoshB,1,8,133,למען,,ινα,False
JoshB,1,8,134,תשמר,,συνης,False
JoshB,1,8,135,לעשות,,ποιειν,False
JoshB,1,8,136,ככל •^[Omission of preposition or particle.],,παντα,False
JoshB,1,8,137,הכתוב,,τα γεγραμμενα,False
JoshB,1,8,138,בו,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshB,1,8,139,כי,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshB,1,8,140,אז,,τοτε,False
JoshB,1,8,141,תצליח,,ευοδωθηση •^[Reference to doublet (occurring between the two elements of the doublet.] και ευοδωσεις,False
JoshB,1,8,142,את דרכך,,τας οδους σου,False
JoshB,1,8,143,ואז,,και τοτε,False
JoshB,1,8,144,תשכיל,,συνησεις,False
JoshB,1,9,145,הלוא,,ιδου,False
JoshB,1,9,146,צויתיך,,εντεταλμαι σοι,False
JoshB,1,9,147,חזק,,ισχυε,False
JoshB,1,9,148,ואמץ,,και ανδριζου,False
JoshB,1,9,149,אל,,μη,False
JoshB,1,9,150,תערץ,,δειλιασης,False
JoshB,1,9,151,ואל,,μηδε,False
JoshB,1,9,152,תחת,,φοβηθης,False
JoshB,1,9,153,כי,,οτι,False
JoshB,1,9,154,עמך,,μετα σου,False
JoshB,1,9,155,יהוה,,κυριος,False
JoshB,1,9,156,אלהיך,,ο θεος σου,False
JoshB,1,9,157,בכל,,εις παντα,False
JoshB,1,9,158,אשר,,ου εαν,False
JoshB,1,9,159,תלך,,πορευη,False
JoshB,1,10,160,ויצו,,και ενετειλατο,False
JoshB,1,10,161,יהושע,,ιησους,False
JoshB,1,10,162,את שטרי,,τοις γραμματευσιν,False
JoshB,1,10,163,העם,,του λαου,False
JoshB,1,10,164,לאמר,,λεγων,False
JoshB,1,11,165,עברו,,εισελθατε,False
JoshB,1,11,166,בקרב,,κατα μεσον,False
JoshB,1,11,167,המחנה,,της παρεμβολης,False
JoshB,1,11,168,•^[Element 'added' in the Greek (plus in the LXX).],,του λαου,True
JoshB,1,11,169,וצוו,,και εντειλασθε,False
JoshB,1,11,170,את העם,,τω λαω,False
JoshB,1,11,171,לאמר,,λεγοντες,False
JoshB,1,11,172,הכינו לכם,,ετοιμαζεσθε,False
JoshB,1,11,173,צידה,,επισιτισμον,False
JoshB,1,11,174,כי,,οτι,False
JoshB,1,11,175,בעוד,,ετι,False
JoshB,1,11,176,שלשת,,τρεις,False
JoshB,1,11,177,ימים,,ημεραι,False
JoshB,1,11,178,אתם,,και υμεις,False
JoshB,1,11,179,עברים,,διαβαινετε,False
JoshB,1,11,180,את הירדן,,τον ιορδανην,False
JoshB,1,11,181,הזה,,τουτον,False
JoshB,1,11,182,לבוא,,εισελθοντες,False
JoshB,1,11,183,לרשת,,κατασχειν,False
JoshB,1,11,184,את הארץ,,την γην,False
JoshB,1,11,185,אשר,,ην,False
JoshB,1,11,186,יהוה,,κυριος,False
JoshB,1,11,187,אלהיכם,,ο θεος,False
JoshB,1,11,188,•^[Element 'added' in the Greek (plus in the LXX).],אבותיכם,των πατερων υμων,True
JoshB,1,11,189,נתן,,διδωσιν,False
JoshB,1,11,190,לכם,,υμιν,False
JoshB,1,11,191,לרשתה,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshB,1,12,192,ולראובני,,και τω ρουβην,False
JoshB,1,12,193,ולגדי,,και τω γαδ,False
JoshB,1,12,194,ולחצי,,και τω ημισει,False
JoshB,1,12,195,שבט,,φυλης,False
JoshB,1,12,196,המנשה,,μανασση,False
JoshB,1,12,197,אמר,,ειπεν,False
JoshB,1,12,198,יהושע,,ιησους,False
JoshB,1,12,199,לאמר,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
JoshB,1,13,200,זכור,,μνησθητε,False
JoshB,1,13,201,את הדבר •^[Difference in vocalization (reading).],,το ρημα,False
JoshB,1,13,202,•^[Element 'added' in the Greek (plus in the LXX).],,κυριου,True
JoshB,1,13,203,אשר,,ο,False
JoshB,1,13,204,צוה,,ενετειλατο,False
JoshB,1,13,205,אתכם,,υμιν,False
JoshB,1,13,206,משה,,μωυσης,False
JoshB,1,13,207,עבד,,ο παις,False
JoshB,1,13,208,יהוה,,κυριου,False
JoshB,1,13,209,לאמר,,λεγων,False
JoshB,1,13,210,יהוה,,κυριος,False
JoshB,1,13,211,אלהיכם,,ο θεος υμων,False
JoshB,1,13,212,מניח,,κατεπαυσεν,False
JoshB,1,13,213,לכם,,υμας,False
