book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
JudgA,1,1,1,ויהי,,και εγενετο,False
JudgA,1,1,2,אחרי,,μετα,False
JudgA,1,1,3,מות,,την τελευτην,False
JudgA,1,1,4,יהושע,,ιησου,False
JudgA,1,1,5,וישאלו,,και επηρωτων,False
JudgA,1,1,6,בני,,οι υιοι,False
JudgA,1,1,7,ישראל,,ισραηλ,False
JudgA,1,1,8,ביהוה,,εν κυριω,False
JudgA,1,1,9,לאמר,,λεγοντες,False
JudgA,1,1,10,מי,,τις,False
JudgA,1,1,11,יעלה,,αναβησεται,False
JudgA,1,1,12,לנו,,ημιν,False
JudgA,1,1,13,אל,,προς,False
JudgA,1,1,14,הכנעני,,τον χαναναιον,False
JudgA,1,1,15,בתחלה,,αφηγουμενος,False
JudgA,1,1,16,להלחם,,του πολεμησαι,False
JudgA,1,1,17,בו,,εν αυτω,False
JudgA,1,2,18,ויאמר,,και ειπεν,False
JudgA,1,2,19,יהוה,,κυριος,False
JudgA,1,2,20,יהודה,,ιουδας,False
JudgA,1,2,21,יעלה,,αναβησεται,False
JudgA,1,2,22,הנה,,ιδου,False
JudgA,1,2,23,נתתי,,δεδωκα,False
JudgA,1,2,24,את הארץ,,την γην,False
JudgA,1,2,25,בידו,,εν χειρι αυτου,False
JudgA,1,3,26,ויאמר,,και ειπεν,False
JudgA,1,3,27,יהודה,,ιουδας,False
JudgA,1,3,28,לשמעון,,προς συμεων,False
JudgA,1,3,29,אחיו,,τον αδελφον αυτου,False
JudgA,1,3,30,עלה,,αναβηθι,False
JudgA,1,3,31,אתי,,μετ' εμου,False
JudgA,1,3,32,בגורלי,,εν τω κληρω μου,False
JudgA,1,3,33,ונלחמה,,και πολεμησωμεν,False
JudgA,1,3,34,בכנעני,,εν τω χαναναιω,False
JudgA,1,3,35,והלכתי,,και πορευσομαι,False
JudgA,1,3,36,גם,,και γε,False
JudgA,1,3,37,אני,,εγω,False
JudgA,1,3,38,אתך,,μετα σου,False
JudgA,1,3,39,בגורלך,,εν τω κληρω σου,False
JudgA,1,3,40,וילך,,και επορευθη,False
JudgA,1,3,41,אתו,,μετ' αυτου,False
JudgA,1,3,42,שמעון,,συμεων,False
JudgA,1,4,43,ויעל,,και ανεβη,False
JudgA,1,4,44,יהודה,,ιουδας,False
JudgA,1,4,45,ויתן,,και εδωκεν,False
JudgA,1,4,46,יהוה,,κυριος,False
JudgA,1,4,47,את הכנעני,,τον χαναναιον,False
JudgA,1,4,48,והפרזי,,και τον φερεζαιον,False
JudgA,1,4,49,בידם,,εν χειρι αυτου,False
JudgA,1,4,50,ויכום,,και επαταξεν αυτους,False
JudgA,1,4,51,בבזק,,εν βεζεκ,False
JudgA,1,4,52,עשרת,,δεκα,False
JudgA,1,4,53,אלפים,,χιλιαδας,False
JudgA,1,4,54,איש,,ανδρων,False
JudgA,1,5,55,וימצאו,,και ευρον,False
JudgA,1,5,56,את אדני בזק,,τον αδωνιβεζεκ,False
JudgA,1,5,57,בבזק,,εν βεζεκ,False
JudgA,1,5,58,וילחמו,,και επολεμησαν,False
JudgA,1,5,59,בו,,εν αυτω,False
JudgA,1,5,60,ויכו,,και επαταξαν,False
JudgA,1,5,61,את הכנעני,,τον χαναναιον,False
JudgA,1,5,62,ואת הפרזי,,και τον φερεζαιον,False
JudgA,1,6,63,וינס,,και εφυγεν,False
JudgA,1,6,64,אדני בזק,,αδωνιβεζεκ,False
JudgA,1,6,65,וירדפו,,και κατεδιωξαν,False
JudgA,1,6,66,אחריו,,οπισω αυτου,False
JudgA,1,6,67,ויאחזו,,και ελαβον,False
JudgA,1,6,68,אתו,,αυτον,False
JudgA,1,6,69,ויקצצו,,και απεκοψαν,False
JudgA,1,6,70,את בהנות,,τα ακρα,False
JudgA,1,6,71,ידיו,,των χειρων αυτου,False
JudgA,1,6,72,ורגליו,,και των ποδων αυτου,False
JudgA,1,7,73,ויאמר,,και ειπεν,False
JudgA,1,7,74,אדני בזק,,αδωνιβεζεκ,False
JudgA,1,7,75,שבעים,,εβδομηκοντα,False
JudgA,1,7,76,מלכים,,βασιλεις,False
JudgA,1,7,77,בהנות,,τα ακρα,False
JudgA,1,7,78,ידיהם,,των χειρων αυτων,False
JudgA,1,7,79,ורגליהם,,και των ποδων αυτων,False
JudgA,1,7,80,מקצצים,,αποκεκομμενοι,False
JudgA,1,7,81,היו,,ησαν,False
JudgA,1,7,82,מלקטים,,συλλεγοντες,False
JudgA,1,7,83,תחת,,τα υποκατω,False
JudgA,1,7,84,שלחני,,της τραπεζης μου,False
JudgA,1,7,85,כאשר,,καθως ουν,False
JudgA,1,7,86,עשיתי,,εποιησα,False
JudgA,1,7,87,כן,,ουτως,False
JudgA,1,7,88,שלם,,ανταπεδωκεν,False
JudgA,1,7,89,לי,,μοι,False
JudgA,1,7,90,אלהים,,ο θεος,False
JudgA,1,7,91,ויביאהו,,και ηγαγον αυτον,False
JudgA,1,7,92,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εις,False
JudgA,1,7,93,ירושלם,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εις ιερουσαλημ,False
JudgA,1,7,94,וימת,,και απεθανεν,False
JudgA,1,7,95,שם,,εκει,False
JudgA,1,8,96,וילחמו,,και επολεμησαν,False
JudgA,1,8,97,בני,,οι υιοι,False
JudgA,1,8,98,יהודה,,ιουδα,False
JudgA,1,8,99,בירושלם,,εν ιερουσαλημ,False
JudgA,1,8,100,וילכדו,,και κατελαβοντο,False
JudgA,1,8,101,אותה,,αυτην,False
JudgA,1,8,102,ויכוה,,και επαταξαν αυτην,False
JudgA,1,8,103,לפי,,εν στοματι,False
JudgA,1,8,104,חרב,,ρομφαιας,False
JudgA,1,8,105,ואת העיר,,και την πολιν,False
JudgA,1,8,106,שלחו,,ενεπρησαν,False
JudgA,1,8,107,באש,,εν πυρι,False
JudgA,1,9,108,ואחר,,και μετα ταυτα,False
JudgA,1,9,109,ירדו,,κατεβησαν,False
JudgA,1,9,110,בני,,οι υιοι,False
JudgA,1,9,111,יהודה,,ιουδα,False
JudgA,1,9,112,להלחם,,πολεμησαι,False
JudgA,1,9,113,בכנעני,,εν τω χαναναιω,False
JudgA,1,9,114,יושב,,τω κατοικουντι,False
JudgA,1,9,115,ההר,,την ορεινην,False
JudgA,1,9,116,והנגב,,και τον νοτον,False
JudgA,1,9,117,והשפלה,,και την πεδινην,False
JudgA,1,10,118,וילך,,και επορευθη,False
JudgA,1,10,119,יהודה,,ιουδας,False
JudgA,1,10,120,אל,,προς,False
JudgA,1,10,121,הכנעני,,τον χαναναιον,False
JudgA,1,10,122,היושב,,τον κατοικουντα,False
JudgA,1,10,123,בחברון,,εν χεβρων,False
JudgA,1,10,124,•^[Element 'added' in the Greek (plus in the LXX).],ותצא,και εξηλθεν,True
JudgA,1,10,125,•^[Element 'added' in the Greek (plus in the LXX).] •^[Introducing reconstructed proper noun.] חברון,,χεβρων,True
JudgA,1,10,126,•^[Element 'added' in the Greek (plus in the LXX).],לקראתו,εξ εναντιας,True
JudgA,1,10,127,ושם,,το δε ονομα,False
JudgA,1,10,128,חברון,,χεβρων,False
JudgA,1,10,129,•^[Element 'added' in the Greek (plus in the LXX).],,ην,True
JudgA,1,10,130,לפנים,,εμπροσθεν,False
JudgA,1,10,131,קרית ארבע,"•^[Questionable notation, equivalent, etc.] •^[Questionable notation, equivalent, etc.]",καριαθαρβοκσεφερ •^[Reference to doublet (occurring between the two elements of the doublet.],True
JudgA,1,10,132,ויכו,,και επαταξεν,False
JudgA,1,10,133,את ששי,,τον σεσι,False
JudgA,1,10,134,ואת אחימן,,και τον αχιμαν,False
JudgA,1,10,135,ואת תלמי,,και τον θολμι,False
