book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
JudgB,1,1,1,ויהי,,και εγενετο,False
JudgB,1,1,2,אחרי,,μετα,False
JudgB,1,1,3,מות,,την τελευτην,False
JudgB,1,1,4,יהושע,,ιησου,False
JudgB,1,1,5,וישאלו,,και επηρωτων,False
JudgB,1,1,6,בני,,οι υιοι,False
JudgB,1,1,7,ישראל,,ισραηλ,False
JudgB,1,1,8,ביהוה,,δια του κυριου,False
JudgB,1,1,9,לאמר,,λεγοντες,False
JudgB,1,1,10,מי,,τις,False
JudgB,1,1,11,יעלה,,αναβησεται,False
JudgB,1,1,12,לנו,,ημιν,False
JudgB,1,1,13,אל,,προς,False
JudgB,1,1,14,הכנעני,,τους χαναναιους,False
JudgB,1,1,15,בתחלה,,αφηγουμενος,False
JudgB,1,1,16,להלחם,,του πολεμησαι,False
JudgB,1,1,17,בו,,προς αυτους,False
JudgB,1,2,18,ויאמר,,και ειπεν,False
JudgB,1,2,19,יהוה,,κυριος,False
JudgB,1,2,20,יהודה,,ιουδας,False
JudgB,1,2,21,יעלה,,αναβησεται,False
JudgB,1,2,22,הנה,,ιδου,False
JudgB,1,2,23,נתתי,,δεδωκα,False
JudgB,1,2,24,את הארץ,,την γην,False
JudgB,1,2,25,בידו,,εν τη χειρι αυτου,False
JudgB,1,3,26,ויאמר,,και ειπεν,False
JudgB,1,3,27,יהודה,,ιουδας,False
JudgB,1,3,28,לשמעון,,τω συμεων,False
JudgB,1,3,29,אחיו,,αδελφω αυτου,False
JudgB,1,3,30,עלה,,αναβηθι,False
JudgB,1,3,31,אתי,,μετ' εμου,False
JudgB,1,3,32,בגורלי,,εν τω κληρω μου,False
JudgB,1,3,33,ונלחמה,,και παραταξωμεθα,False
JudgB,1,3,34,בכנעני,,προς τους χαναναιους,False
JudgB,1,3,35,והלכתי,,και πορευσομαι,False
JudgB,1,3,36,גם אני,,καγω,False
JudgB,1,3,37,אתך,,μετα σου,False
JudgB,1,3,38,בגורלך,,εν τω κληρω σου,False
JudgB,1,3,39,וילך,,και επορευθη,False
JudgB,1,3,40,אתו,,μετ' αυτου,False
JudgB,1,3,41,שמעון,,συμεων,False
JudgB,1,4,42,ויעל,,και ανεβη,False
JudgB,1,4,43,יהודה,,ιουδας,False
JudgB,1,4,44,ויתן,,και παρεδωκεν,False
JudgB,1,4,45,יהוה,,κυριος,False
JudgB,1,4,46,את הכנעני,,τον χαναναιον,False
JudgB,1,4,47,והפרזי,,και τον φερεζαιον,False
JudgB,1,4,48,בידם,,εις τας χειρας αυτων,False
JudgB,1,4,49,ויכום,,και εκοψαν αυτους,False
JudgB,1,4,50,בבזק,,εν βεζεκ,False
