book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Lam,1,1,1,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],ויהי,και εγενετο,True
Lam,1,1,2,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],אחרי,μετα,True
Lam,1,1,3,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],"גלות,נגלתה",το αιχμαλωτισθηναι,True
Lam,1,1,4,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] •^[Introducing reconstructed proper noun.] ישראל,,τον ισραηλ,True
Lam,1,1,5,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] •^[Introducing reconstructed proper noun.] וירושלם,,και ιερουσαλημ,True
Lam,1,1,6,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],נחרבה,ερημωθηναι,True
Lam,1,1,7,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],וישב,εκαθισεν,True
Lam,1,1,8,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] •^[Introducing reconstructed proper noun.] ירמיהו,,ιερεμιας,True
Lam,1,1,9,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],ויבך,κλαιων,True
Lam,1,1,10,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;ויקנן <ss1.16>,,και εθρηνησεν,True
Lam,1,1,11,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;את הקינה <ss1.16>,,τον θρηνον,True
Lam,1,1,12,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] =;הזאת <ss1.16>,,τουτον,True
Lam,1,1,13,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],על,επι,True
Lam,1,1,14,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).] •^[Introducing reconstructed proper noun.] ירושלם,,ιερουσαλημ,True
Lam,1,1,15,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],ויאמר,και ειπεν,True
Lam,1,2,16,איכה,,πως,False
Lam,1,2,17,ישבה,,εκαθισεν,False
Lam,1,2,18,בדד,,μονη,False
Lam,1,2,19,העיר,,η πολις,False
Lam,1,2,20,רבתי •^[Etymological exegesis.],,η πεπληθυμμενη,False
Lam,1,2,21,עם,,λαων,False
Lam,1,2,22,היתה,,εγενηθη,False
Lam,1,2,23,כאלמנה,,ως χηρα,False
Lam,1,2,24,רבתי,,πεπληθυμμενη,False
Lam,1,2,25,בגוים,,εν εθνεσιν,False
Lam,1,2,26,שרתי,,αρχουσα,False
Lam,1,2,27,במדינות,,εν χωραις,False
Lam,1,2,28,היתה,,εγενηθη,False
Lam,1,2,29,למס,,εις φορον,False
Lam,1,3,30,בכו {!}p,,κλαιουσα,False
Lam,1,3,31,תבכה {!}p,,εκλαυσεν,False
Lam,1,3,32,בלילה,,εν νυκτι,False
Lam,1,3,33,ודמעתה,,και τα δακρυα αυτης,False
Lam,1,3,34,על,,επι,False
Lam,1,3,35,לחיה,,των σιαγονων αυτης,False
Lam,1,3,36,אין,,και ουχ υπαρχει,False
Lam,1,3,37,לה,,{..αυτην},False
Lam,1,3,38,מנחם,,ο παρακαλων,False
Lam,1,3,39,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,αυτην,False
Lam,1,3,40,מכל,,απο παντων,False
Lam,1,3,41,אהביה,,των αγαπωντων αυτην,False
Lam,1,3,42,כל,,παντες,False
Lam,1,3,43,רעיה,,οι φιλουντες αυτην,False
Lam,1,3,44,בגדו,,ηθετησαν,False
Lam,1,3,45,בה,,εν αυτη,False
Lam,1,3,46,היו,,εγενοντο,False
Lam,1,3,47,לה,,αυτη,False
Lam,1,3,48,לאיבים,,εις εχθρους,False
Lam,1,4,49,גלתה,,μετωκισθη,False
Lam,1,4,50,יהודה,,η ιουδαια,False
Lam,1,4,51,מעני,,απο ταπεινωσεως αυτης,False
Lam,1,4,52,ומרב,,και απο πληθους,False
Lam,1,4,53,עבדה,,δουλειας αυτης,False
Lam,1,4,54,היא ישבה,,εκαθισεν,False
Lam,1,4,55,בגוים,,εν εθνεσιν,False
Lam,1,4,56,לא,,ουχ,False
Lam,1,4,57,מצאה,,ευρεν,False
Lam,1,4,58,מנוח,,αναπαυσιν,False
Lam,1,4,59,כל,,παντες,False
Lam,1,4,60,רדפיה,,οι καταδιωκοντες αυτην,False
Lam,1,4,61,השיגוה,,κατελαβον αυτην,False
Lam,1,4,62,בין,,ανα μεσον,False
Lam,1,4,63,המצרים,,των θλιβοντων,False
Lam,1,5,64,דרכי,,οδοι,False
Lam,1,5,65,ציון,,σιων,False
Lam,1,5,66,אבלות,,πενθουσιν,False
Lam,1,5,67,מבלי,,παρα το μη ειναι,False
Lam,1,5,68,באי,,ερχομενους,False
Lam,1,5,69,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εν,False
Lam,1,5,70,מועד,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εν εορτη,False
Lam,1,5,71,כל,,πασαι,False
Lam,1,5,72,שעריה,,αι πυλαι αυτης,False
Lam,1,5,73,שוממין,,ηφανισμεναι,False
Lam,1,5,74,כהניה,,οι ιερεις αυτης,False
Lam,1,5,75,נאנחים,,αναστεναζουσιν,False
Lam,1,5,76,בתולתיה,,αι παρθενοι αυτης,False
Lam,1,5,77,נוגות •^[Etymological exegesis.] נהג,,αγομεναι,False
Lam,1,5,78,והיא,,και αυτη,False
Lam,1,5,79,מר,,πικραινομενη,False
Lam,1,5,80,לה,<ru1.20>,εν εαυτη,True
Lam,1,6,81,היו,,εγενοντο,False
Lam,1,6,82,צריה,,οι θλιβοντες αυτην,False
Lam,1,6,83,לראש,,εις κεφαλην,False
Lam,1,6,84,איביה,,και οι εχθροι αυτης,False
Lam,1,6,85,שלו,,ευθηνουσαν,False
Lam,1,6,86,כי,,οτι,False
Lam,1,6,87,יהוה,,κυριος,False
Lam,1,6,88,הוגה,,εταπεινωσεν αυτην,False
Lam,1,6,89,על,,επι,False
Lam,1,6,90,רב,,το πληθος,False
Lam,1,6,91,פשעיה,,των ασεβειων αυτης,False
Lam,1,6,92,עולליה,,τα νηπια αυτης,False
Lam,1,6,93,הלכו,,επορευθησαν,False
Lam,1,6,94,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εν,False
Lam,1,6,95,שבי,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εν αιχμαλωσια,False
Lam,1,6,96,לפני,,κατα προσωπον,False
Lam,1,6,97,צר,,θλιβοντος,False
Lam,1,7,98,ויצא,,και εξηλθεν,False
Lam,1,7,99,*מן בת **מבת,,εκ θυγατρος,False
Lam,1,7,100,ציון,,σιων,False
Lam,1,7,101,כל,,πασα,False
Lam,1,7,102,הדרה,,η ευπρεπεια αυτης,False
Lam,1,7,103,היו,,εγενοντο,False
Lam,1,7,104,שריה,,οι αρχοντες αυτης,False
Lam,1,7,105,כאילים •^[Difference in vocalization (reading).],,ως κριοι,False
Lam,1,7,106,לא,,ουχ,False
Lam,1,7,107,מצאו,,ευρισκοντες,False
Lam,1,7,108,מרעה,,νομην,False
Lam,1,7,109,וילכו,,και επορευοντο,False
Lam,1,7,110,בלא,,εν ουκ,False
Lam,1,7,111,כח,,ισχυι,False
Lam,1,7,112,לפני,,κατα προσωπον,False
Lam,1,7,113,רודף,,διωκοντος,False
Lam,1,8,114,זכרה,,εμνησθη,False
Lam,1,8,115,ירושלם,,ιερουσαλημ,False
Lam,1,8,116,ימי,,ημερων,False
Lam,1,8,117,עניה,,ταπεινωσεως αυτης,False
Lam,1,8,118,ומרודיה,"•^[Questionable notation, equivalent, etc.] @מרד",και απωσμων αυτης,True
Lam,1,8,119,כל,,παντα,False
Lam,1,8,120,מחמדיה,,τα επιθυμηματα αυτης,False
Lam,1,8,121,אשר,,οσα,False
Lam,1,8,122,היו,,ην,False
Lam,1,8,123,מימי,,εξ ημερων,False
Lam,1,8,124,קדם,,αρχαιων,False
Lam,1,8,125,בנפל,,εν τω πεσειν,False
Lam,1,8,126,עמה,,τον λαον αυτης,False
Lam,1,8,127,ביד,,εις χειρας,False
Lam,1,8,128,צר,,θλιβοντος,False
Lam,1,8,129,ואין,,και ουκ ην,False
Lam,1,8,130,עוזר,,ο βοηθων,False
Lam,1,8,131,לה,,αυτη,False
Lam,1,8,132,ראוה,,ιδοντες,False
Lam,1,8,133,צרים,,οι εχθροι αυτης,False
Lam,1,8,134,שחקו,,εγελασαν,False
Lam,1,8,135,על,,επι,False
Lam,1,8,136,משבתה •^[Etymological exegesis.] שבה,,μετοικεσια αυτης,False
Lam,1,9,137,חטא,,αμαρτιαν,False
Lam,1,9,138,חטאה,,ημαρτεν,False
Lam,1,9,139,ירושלם,,ιερουσαλημ,False
Lam,1,9,140,על כן,,δια τουτο,False
Lam,1,9,141,לנידה •^[Etymological exegesis.] נוד <q4a>,,εις σαλον,False
Lam,1,9,142,היתה,,εγενετο,False
Lam,1,9,143,כל,,παντες,False
Lam,1,9,144,מכבדיה,,οι δοξαζοντες αυτην,False
Lam,1,9,145,הזילוה,,εταπεινωσαν αυτην,False
Lam,1,9,146,כי,,{..γαρ},False
Lam,1,9,147,ראו,,ειδον,False
Lam,1,9,148,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,γαρ,False
Lam,1,9,149,ערותה,,την ασχημοσυνην αυτης,False
Lam,1,9,150,גם,,και γε,False
Lam,1,9,151,היא,,αυτη,False
Lam,1,9,152,נאנחה,,στεναζουσα,False
Lam,1,9,153,ותשב,,και απεστραφη,False
Lam,1,9,154,אחור,,οπισω,False
Lam,1,10,155,טמאתה,,ακαθαρσια αυτης,False
Lam,1,10,156,בשוליה,,προς ποδων αυτης,False
Lam,1,10,157,לא,,ουκ,False
Lam,1,10,158,זכרה,,εμνησθη,False
Lam,1,10,159,אחריתה,,εσχατα αυτης,False
Lam,1,10,160,ותרד,,και κατεβιβασεν,False
Lam,1,10,161,פלאים,,υπερογκα,False
Lam,1,10,162,אין,,ουκ εστιν,False
Lam,1,10,163,מנחם,,ο παρακαλων,False
Lam,1,10,164,לה,,αυτην,False
Lam,1,10,165,ראה,,ιδε,False
Lam,1,10,166,יהוה,,κυριε,False
Lam,1,10,167,את עניי,,την ταπεινωσιν μου,False
Lam,1,10,168,כי,,οτι,False
Lam,1,10,169,הגדיל,,εμεγαλυνθη,False
Lam,1,10,170,אויב,,εχθρος,False
Lam,1,11,171,ידו,,χειρα αυτου,False
Lam,1,11,172,פרש,,εξεπετασεν,False
Lam,1,11,173,צר,,θλιβων,False
Lam,1,11,174,על,,επι,False
Lam,1,11,175,כל,,παντα,False
Lam,1,11,176,מחמדיה,,τα επιθυμηματα αυτης,False
Lam,1,11,177,כי,,{..γαρ},False
Lam,1,11,178,ראתה,,ειδεν,False
Lam,1,11,179,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,γαρ,False
Lam,1,11,180,גוים,,εθνη,False
Lam,1,11,181,באו,,εισελθοντα,False
Lam,1,11,182,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εις,False
Lam,1,11,183,מקדשה,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εις το αγιασμα αυτης,False
Lam,1,11,184,אשר,,α,False
Lam,1,11,185,צויתה,,ενετειλω,False
Lam,1,11,186,לא,,μη,False
Lam,1,11,187,יבאו,,εισελθειν,False
Lam,1,11,188,•^[Element 'added' in the Greek (plus in the LXX).],,αυτα,True
Lam,1,11,189,בקהל,,εις εκκλησιαν,False
Lam,1,11,190,לך,,σου,False
Lam,1,12,191,כל,,πας,False
Lam,1,12,192,עמה,,ο λαος αυτης,False
Lam,1,12,193,נאנחים,,καταστεναζοντες,False
Lam,1,12,194,מבקשים,,ζητουντες,False
Lam,1,12,195,לחם,,αρτον,False
Lam,1,12,196,נתנו,,εδωκαν,False
Lam,1,12,197,*מחמודיהם **מחמדיהם,<q4a>,τα επιθυμηματα αυτης,True
Lam,1,12,198,באכל,,εν βρωσει,False
Lam,1,12,199,להשיב,,του επιστρεψαι,False
Lam,1,12,200,נפש,,ψυχην,False
Lam,1,12,201,ראה,,ιδε,False
Lam,1,12,202,יהוה,,κυριε,False
Lam,1,12,203,והביטה,,και επιβλεψον,False
Lam,1,12,204,כי,,οτι,False
Lam,1,12,205,הייתי,,εγενηθην,False
Lam,1,12,206,זוללה,,ητιμωμενη,False
Lam,1,13,207,לוא,,ου,False
Lam,1,13,208,אליכם,,προς υμας,False
Lam,1,13,209,כל,,παντες,False
Lam,1,13,210,עברי,,οι παραπορευομενοι,False
Lam,1,13,211,דרך,,οδον,False
Lam,1,13,212,הביטו,,επιστρεψατε,False
Lam,1,13,213,וראו,,και ιδετε,False
Lam,1,13,214,אם,,ει,False
Lam,1,13,215,יש,,εστιν,False
Lam,1,13,216,מכאוב,,αλγος,False
Lam,1,13,217,כמכאבי,,κατα το αλγος μου,False
Lam,1,13,218,אשר,,ο,False
Lam,1,13,219,עולל,"•^[Questionable notation, equivalent, etc.] @ילל",εγενηθη φθεγξαμενος,True
Lam,1,13,220,לי,,εν εμοι,False
Lam,1,13,221,אשר,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Lam,1,13,222,הוגה,,εταπεινωσεν,False
Lam,1,13,223,•^[Element 'added' in the Greek (plus in the LXX).],,με,True
Lam,1,13,224,יהוה,,κυριος,False
Lam,1,13,225,ביום,,εν ημερα,False
Lam,1,13,226,חרון,,οργης,False
Lam,1,13,227,אפו,,θυμου αυτου,False
Lam,1,14,228,ממרום,,εξ υψους αυτου,False
Lam,1,14,229,שלח,,απεστειλεν,False
Lam,1,14,230,אש,,πυρ,False
Lam,1,14,231,בעצמתי,,εν τοις οστεοις μου,False
Lam,1,14,232,וירדנה •^[Etymological exegesis.] ירד •^[Interchange of consonants between MT and the presumed Hebrew parent text of the LXX (metathesis.)] <q4a>,,κατηγαγεν αυτο,False
Lam,1,14,233,פרש,,διεπετασεν,False
Lam,1,14,234,רשת,,δικτυον,False
Lam,1,14,235,לרגלי,,τοις ποσιν μου,False
Lam,1,14,236,השיבני,,απεστρεψεν με,False
Lam,1,14,237,אחור,,εις τα οπισω,False
Lam,1,14,238,נתנני,,εδωκεν με,False
Lam,1,14,239,שממה,,ηφανισμενην,False
Lam,1,14,240,כל,,ολην,False
Lam,1,14,241,היום,,την ημεραν,False
Lam,1,14,242,דוה,,οδυνωμενην,False
Lam,1,15,243,נשקד •^[Etymological exegesis.] שקד =vs,,εγρηγορηθη,False
Lam,1,15,244,על •^[Difference in vocalization (reading).],,επι,False
Lam,1,15,245,פשעי,,τα ασεβηματα μου,False
Lam,1,15,246,בידו .wy,,εν χερσιν μου,False
Lam,1,15,247,ישתרגו,,συνεπλακησαν,False
Lam,1,15,248,עלו,,ανεβησαν,False
Lam,1,15,249,על,,επι,False
Lam,1,15,250,צוארי,,τον τραχηλον μου,False
Lam,1,15,251,הכשיל,,ησθενησεν,False
Lam,1,15,252,כחי,,η ισχυς μου,False
Lam,1,15,253,•^[Element 'added' in the Greek (plus in the LXX).],,οτι,True
Lam,1,15,254,נתנני,,εδωκεν,False
Lam,1,15,255,אדני,,κυριος,False
Lam,1,15,256,בידי,בידי •^[Difference in vocalization (reading).],εν χερσιν μου,True
Lam,1,15,257,"•^[Element 'added' in the Greek (plus in the LXX).] •^[Incomplete retroversion.] •^[Questionable notation, equivalent, etc.] דוה",,οδυνας,True
Lam,1,15,258,לא,,ου,False
Lam,1,15,259,אוכל,,δυνησομαι,False
Lam,1,15,260,קום,,στηναι,False
Lam,1,16,261,סלה,,εξηρεν,False
Lam,1,16,262,כל,,παντας,False
Lam,1,16,263,אבירי,,τους ισχυρους μου,False
Lam,1,16,264,אדני,,ο κυριος,False
Lam,1,16,265,בקרבי •^[Difference in preposition or particle.],,εκ μεσου μου,False
