book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Lev,1,1,1,ויקרא,,και ανεκαλεσεν,False
Lev,1,1,2,אל משה,,μωυσην,False
Lev,1,1,3,וידבר,,και ελαλησεν,False
Lev,1,1,4,יהוה,,κυριος,False
Lev,1,1,5,אליו,,αυτω,False
Lev,1,1,6,מאהל,,εκ της σκηνης,False
Lev,1,1,7,מועד,,του μαρτυριου,False
Lev,1,1,8,לאמר,,λεγων,False
Lev,1,2,9,דבר,,λαλησον,False
Lev,1,2,10,אל בני,,τοις υιοις,False
Lev,1,2,11,ישראל,,ισραηλ,False
Lev,1,2,12,ואמרת,,και ερεις,False
Lev,1,2,13,אלהם,,προς αυτους,False
Lev,1,2,14,אדם,,ανθρωπος,False
Lev,1,2,15,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εξ υμων,False
Lev,1,2,16,כי,,εαν,False
Lev,1,2,17,יקריב,,προσαγαγη,False
Lev,1,2,18,מכם,,{..εξ υμων},False
Lev,1,2,19,קרבן,,δωρα,False
Lev,1,2,20,ליהוה,,τω κυριω,False
Lev,1,2,21,מן,,απο,False
Lev,1,2,22,הבהמה,,των κτηνων,False
Lev,1,2,23,מן,,απο,False
Lev,1,2,24,הבקר,,των βοων,False
Lev,1,2,25,ומן,,και απο,False
Lev,1,2,26,הצאן,,των προβατων,False
Lev,1,2,27,תקריבו,,προσοισετε,False
Lev,1,2,28,את קרבנכם <sp>,,τα δωρα υμων,False
Lev,1,3,29,אם,,εαν,False
Lev,1,3,30,עלה,,ολοκαυτωμα,False
Lev,1,3,31,קרבנו,,το δωρον αυτου,False
Lev,1,3,32,מן,,εκ,False
Lev,1,3,33,הבקר,,των βοων,False
Lev,1,3,34,זכר,,αρσεν,False
Lev,1,3,35,תמים,,αμωμον,False
Lev,1,3,36,יקריבנו,,προσαξει,False
Lev,1,3,37,אל,,προς,False
Lev,1,3,38,פתח,,την θυραν,False
Lev,1,3,39,אהל,,της σκηνης,False
Lev,1,3,40,מועד,,του μαρτυριου,False
Lev,1,3,41,יקריב,,προσοισει,False
Lev,1,3,42,אתו,,αυτο,False
Lev,1,3,43,לרצנו,,δεκτον,False
Lev,1,3,44,לפני,,εναντιον,False
Lev,1,3,45,יהוה,,κυριου,False
Lev,1,4,46,וסמך,,και επιθησει,False
Lev,1,4,47,ידו,,την χειρα,False
Lev,1,4,48,על,,επι,False
Lev,1,4,49,ראש,,την κεφαλην,False
Lev,1,4,50,העלה,,του καρπωματος,False
Lev,1,4,51,ונרצה,,δεκτον,False
Lev,1,4,52,לו,,αυτω,False
Lev,1,4,53,לכפר,,εξιλασασθαι,False
Lev,1,4,54,עליו,,περι αυτου,False
Lev,1,5,55,ושחט,,και σφαξουσι,False
Lev,1,5,56,את בן הבקר,,τον μοσχον,False
Lev,1,5,57,לפני,,εναντι,False
Lev,1,5,58,יהוה,,κυριου,False
Lev,1,5,59,והקריבו,,και προσοισουσιν,False
Lev,1,5,60,בני,,οι υιοι,False
Lev,1,5,61,אהרן,,ααρων,False
Lev,1,5,62,הכהנים,,οι ιερεις,False
Lev,1,5,63,את הדם,,το αιμα,False
Lev,1,5,64,וזרקו,,και προσχεουσιν,False
Lev,1,5,65,את הדם,,το αιμα,False
Lev,1,5,66,על,,επι,False
Lev,1,5,67,המזבח,,το θυσιαστηριον,False
Lev,1,5,68,סביב,,κυκλω,False
Lev,1,5,69,אשר,,το,False
Lev,1,5,70,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,επι,False
Lev,1,5,71,פתח,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] επι των θυρων,False
Lev,1,5,72,אהל,,της σκηνης,False
Lev,1,5,73,מועד,,του μαρτυριου,False
Lev,1,6,74,והפשיט <sp>,,και εκδειραντες,False
Lev,1,6,75,את העלה,,το ολοκαυτωμα,False
Lev,1,6,76,ונתח <sp>,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] και μελιουσιν",False
Lev,1,6,77,אתה,,αυτο,False
Lev,1,6,78,לנתחיה,,κατα μελη,False
Lev,1,7,79,ונתנו,,και επιθησουσιν,False
Lev,1,7,80,בני,,οι υιοι,False
Lev,1,7,81,אהרן,,ααρων,False
Lev,1,7,82,הכהן <sp>,,οι ιερεις,False
Lev,1,7,83,אש,,πυρ,False
Lev,1,7,84,על,,επι,False
Lev,1,7,85,המזבח,,το θυσιαστηριον,False
Lev,1,7,86,וערכו,,και επιστοιβασουσιν,False
Lev,1,7,87,עצים,,ξυλα,False
