book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Mal,1,1,1,משא,,λημμα,False
Mal,1,1,2,דבר,,λογου,False
Mal,1,1,3,יהוה,,κυριου,False
Mal,1,1,4,אל,,επι,False
Mal,1,1,5,ישראל,,τον ισραηλ,False
Mal,1,1,6,ביד,,εν χειρι,False
Mal,1,1,7,מלאכי,,αγγελου αυτου,False
Mal,1,1,8,•^[Element 'added' in the Greek (plus in the LXX).] =;תשימו <2.2>,,θεσθε,True
Mal,1,1,9,•^[Element 'added' in the Greek (plus in the LXX).],,δη,True
Mal,1,1,10,•^[Element 'added' in the Greek (plus in the LXX).] =;על <2.2>,,επι,True
Mal,1,1,11,•^[Element 'added' in the Greek (plus in the LXX).] =;לב <2.2>,,τας καρδιας υμων,True
Mal,1,2,12,אהבתי,,ηγαπησα,False
Mal,1,2,13,אתכם,,υμας,False
Mal,1,2,14,אמר,,λεγει,False
Mal,1,2,15,יהוה,,κυριος,False
Mal,1,2,16,ואמרתם,,και ειπατε,False
Mal,1,2,17,במה,,εν τινι,False
Mal,1,2,18,אהבתנו,,ηγαπησας ημας,False
Mal,1,2,19,הלוא,,ουκ,False
Mal,1,2,20,אח,,αδελφος,False
Mal,1,2,21,•^[Element 'added' in the Greek (plus in the LXX).],,ην,True
Mal,1,2,22,עשו,,ησαυ,False
Mal,1,2,23,ליעקב,,του ιακωβ,False
Mal,1,2,24,נאם,,λεγει,False
Mal,1,2,25,יהוה,,κυριος,False
Mal,1,2,26,ואהב,,και ηγαπησα,False
Mal,1,2,27,את יעקב,,τον ιακωβ,False
Mal,1,3,28,ואת עשו,,τον δε ησαυ,False
Mal,1,3,29,שנאתי,,εμισησα,False
Mal,1,3,30,ואשים,,και εταξα,False
Mal,1,3,31,את הריו,,τα ορια αυτου,False
Mal,1,3,32,שממה,,εις αφανισμον,False
Mal,1,3,33,ואת נחלתו,,και την κληρονομιαν αυτου,False
Mal,1,3,34,לתנות •^[Etymological exegesis.] נתן,,εις δοματα,False
Mal,1,3,35,מדבר,,ερημου,False
Mal,1,4,36,כי,,διοτι,False
Mal,1,4,37,תאמר,,ερει,False
Mal,1,4,38,אדום,,η ιδουμαια,False
Mal,1,4,39,רששנו,,κατεστραπται,False
Mal,1,4,40,ונשוב,,και επιστρεψωμεν,False
Mal,1,4,41,ונבנה,,και ανοικοδομησωμεν,False
Mal,1,4,42,חרבות,,τας ερημους,False
Mal,1,4,43,כה,,ταδε,False
Mal,1,4,44,אמר,,λεγει,False
Mal,1,4,45,יהוה,,κυριος,False
Mal,1,4,46,צבאות,,παντοκρατωρ,False
Mal,1,4,47,המה,,αυτοι,False
Mal,1,4,48,יבנו,,οικοδομησουσιν,False
Mal,1,4,49,ואני,,και εγω,False
Mal,1,4,50,אהרוס,,καταστρεψω,False
Mal,1,4,51,וקראו,,και επικληθησεται,False
Mal,1,4,52,להם,,αυτοις,False
Mal,1,4,53,גבול,,ορια,False
Mal,1,4,54,רשעה,,ανομιας,False
Mal,1,4,55,והעם,,και λαος,False
Mal,1,4,56,אשר,,εφ' ον,False
Mal,1,4,57,זעם,,παρατετακται,False
Mal,1,4,58,יהוה,,κυριος,False
Mal,1,4,59,עד,,εως,False
Mal,1,4,60,עולם,,αιωνος,False
Mal,1,5,61,ועיניכם,,και οι οφθαλμοι υμων,False
Mal,1,5,62,תראינה,,οψονται,False
Mal,1,5,63,ואתם,,και υμεις,False
Mal,1,5,64,תאמרו,,ερειτε,False
Mal,1,5,65,יגדל,,εμεγαλυνθη,False
Mal,1,5,66,יהוה,,κυριος,False
Mal,1,5,67,"מעל •^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] ל",,υπερανω,False
Mal,1,5,68,לגבול,,των οριων,False
Mal,1,5,69,ישראל,,του ισραηλ,False
Mal,1,6,70,בן,,υιος,False
Mal,1,6,71,יכבד,,δοξαζει,False
Mal,1,6,72,אב,,πατερα,False
Mal,1,6,73,ועבד,,και δουλος,False
Mal,1,6,74,אדניו,,τον κυριον αυτου,False
Mal,1,6,75,ואם,,και ει,False
Mal,1,6,76,אב,,πατηρ,False
Mal,1,6,77,אני,,ειμι εγω,False
Mal,1,6,78,איה,,που εστιν,False
Mal,1,6,79,כבודי,,η δοξα μου,False
Mal,1,6,80,ואם,,και ει,False
Mal,1,6,81,אדונים,,κυριος,False
Mal,1,6,82,אני,,ειμι εγω,False
Mal,1,6,83,איה,,που εστιν,False
Mal,1,6,84,מוראי,,ο φοβος μου,False
Mal,1,6,85,אמר,,λεγει,False
Mal,1,6,86,יהוה,,κυριος,False
Mal,1,6,87,צבאות,,παντοκρατωρ,False
Mal,1,6,88,לכם,,υμεις,False
Mal,1,6,89,הכהנים,,οι ιερεις,False
Mal,1,6,90,בוזי,,οι φαυλιζοντες,False
Mal,1,6,91,שמי,,το ονομα μου,False
Mal,1,6,92,ואמרתם,,και ειπατε,False
Mal,1,6,93,במה,,εν τινι,False
Mal,1,6,94,בזינו,,εφαυλισαμεν,False
Mal,1,6,95,את שמך,,το ονομα σου,False
Mal,1,7,96,מגישים,,προσαγοντες,False
Mal,1,7,97,על,,προς,False
Mal,1,7,98,מזבחי,,το θυσιαστηριον μου,False
Mal,1,7,99,לחם,,αρτους,False
