book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Mic,1,1,1,דבר,אשר,και,True
Mic,1,1,2,יהוה,היה,εγενετο,True
Mic,1,1,3,אשר,דבר,λογος,True
Mic,1,1,4,היה,יהוה,κυριου,True
Mic,1,1,5,אל,,προς,False
Mic,1,1,6,מיכה,,μιχαιαν,False
Mic,1,1,7,המרשתי,,τον του μωρασθι,False
Mic,1,1,8,בימי,,εν ημεραις,False
Mic,1,1,9,יותם,,ιωαθαμ,False
Mic,1,1,10,אחז,,και αχαζ,False
Mic,1,1,11,יחזקיה,,και εζεκιου,False
Mic,1,1,12,מלכי,,βασιλεων,False
Mic,1,1,13,יהודה,,ιουδα,False
Mic,1,1,14,אשר,,υπερ ων,False
Mic,1,1,15,חזה,,ειδεν,False
Mic,1,1,16,על,,περι,False
Mic,1,1,17,שמרון,,σαμαρειας,False
Mic,1,1,18,וירושלם •^[Notation in Hebrew column of elements repeated in the translation.] על,,και περι ιερουσαλημ,False
Mic,1,2,19,שמעו,,ακουσατε,False
Mic,1,2,20,עמים,,λαοι,False
Mic,1,2,21,כלם,"•^[Questionable notation, equivalent, etc.] מלים",λογους,True
Mic,1,2,22,הקשיבי,,και προσεχετω,False
Mic,1,2,23,ארץ,,η γη,False
Mic,1,2,24,ומלאה,,και παντες οι εν αυτη,False
Mic,1,2,25,ויהי,,και εσται,False
Mic,1,2,26,אדני יהוה,,κυριος,False
Mic,1,2,27,בכם,,εν υμιν,False
Mic,1,2,28,לעד,,εις μαρτυριον,False
Mic,1,2,29,אדני,,κυριος,False
Mic,1,2,30,מהיכל,,εξ οικου,False
Mic,1,2,31,קדשו,,αγιου αυτου,False
Mic,1,3,32,כי,,διοτι,False
Mic,1,3,33,הנה,,ιδου,False
Mic,1,3,34,יהוה,,κυριος,False
Mic,1,3,35,יצא,,εκπορευεται,False
Mic,1,3,36,ממקומו,,εκ του τοπου αυτου,False
Mic,1,3,37,וירד,,και καταβησεται,False
Mic,1,3,38,ודרך,,και επιβησεται,False
Mic,1,3,39,על,,επι,False
Mic,1,3,40,*במותי **במתי,,τα υψη,False
Mic,1,3,41,ארץ,,της γης,False
Mic,1,4,42,ונמסו,,και {..τακησονται},False
