book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Neh,1,1,1,דברי,,λογοι,False
Neh,1,1,2,נחמיה,,νεεμια,False
Neh,1,1,3,בן,,υιου,False
Neh,1,1,4,חכליה,,αχαλια,False
Neh,1,1,5,ויהי,,και εγενετο,False
Neh,1,1,6,בחדש,,εν μηνι,False
Neh,1,1,7,כסלו,,χασεηλου,False
Neh,1,1,8,שנת,,ετους,False
Neh,1,1,9,עשרים,,εικοστου,False
Neh,1,1,10,ואני,,και εγω,False
Neh,1,1,11,הייתי,,ημην,False
Neh,1,1,12,בשושן,,εν σουσαν,False
Neh,1,1,13,הבירה,,αβιρα •^[Transliterated Hebrew word.],False
Neh,1,2,14,ויבא,,και ηλθεν,False
Neh,1,2,15,חנני,,ανανι,False
Neh,1,2,16,אחד,,εις,False
Neh,1,2,17,מאחי,,απο αδελφων μου,False
Neh,1,2,18,הוא,,αυτος,False
Neh,1,2,19,ואנשים,,και ανδρες,False
Neh,1,2,20,מיהודה,,ιουδα,False
Neh,1,2,21,ואשאלם,,και ηρωτησα αυτους,False
Neh,1,2,22,על,,περι,False
Neh,1,2,23,היהודים,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Neh,1,2,24,הפליטה,,των σωθεντων,False
Neh,1,2,25,אשר,,οι,False
Neh,1,2,26,נשארו,,κατελειφθησαν,False
Neh,1,2,27,מן,,απο,False
Neh,1,2,28,השבי,,της αιχμαλωσιας,False
Neh,1,2,29,ועל,,και περι,False
Neh,1,2,30,ירושלם,,ιερουσαλημ,False
Neh,1,3,31,ויאמרו,,και ειποσαν,False
Neh,1,3,32,לי,,προς με,False
Neh,1,3,33,הנשארים,,οι καταλειπομενοι,False
Neh,1,3,34,אשר,,οι,False
Neh,1,3,35,נשארו,,καταλειφθεντες,False
Neh,1,3,36,מן,,απο,False
Neh,1,3,37,השבי,,της αιχμαλωσιας,False
Neh,1,3,38,שם,,εκει,False
Neh,1,3,39,במדינה,,εν τη χωρα,False
Neh,1,3,40,ברעה,,εν πονηρια,False
Neh,1,3,41,גדלה,,μεγαλη,False
Neh,1,3,42,ובחרפה,,και εν ονειδισμω,False
Neh,1,3,43,וחומת,,και τειχη,False
Neh,1,3,44,ירושלם,,ιερουσαλημ,False
Neh,1,3,45,מפרצת,,καθηρημενα,False
Neh,1,3,46,ושעריה,,και αι πυλαι αυτης,False
Neh,1,3,47,נצתו,,ενεπρησθησαν,False
Neh,1,3,48,באש,,εν πυρι,False
Neh,1,4,49,ויהי,,και εγενετο,False
Neh,1,4,50,כשמעי,,εν τω ακουσαι με,False
Neh,1,4,51,את הדברים,,τους λογους,False
Neh,1,4,52,האלה,,τουτους,False
Neh,1,4,53,ישבתי,,εκαθισα,False
Neh,1,4,54,ואבכה,,και εκλαυσα,False
Neh,1,4,55,ואתאבלה,,και επενθησα,False
Neh,1,4,56,ימים,,ημερας,False
Neh,1,4,57,ואהי,,και ημην,False
Neh,1,4,58,צם,,νηστευων,False
Neh,1,4,59,ומתפלל,,και προσευχομενος,False
Neh,1,4,60,לפני,,ενωπιον,False
Neh,1,4,61,אלהי,,θεου,False
Neh,1,4,62,השמים,,του ουρανου,False
Neh,1,5,63,ואמר,,και ειπα,False
Neh,1,5,64,אנא,,μη δη,False
Neh,1,5,65,יהוה,,κυριε,False
Neh,1,5,66,אלהי,,ο θεος,False
Neh,1,5,67,השמים,,του ουρανου,False
Neh,1,5,68,האל,,ο ισχυρος,False
Neh,1,5,69,הגדול,,ο μεγας,False
Neh,1,5,70,והנורא,,και ο φοβερος,False
Neh,1,5,71,שמר,,φυλασσων,False
Neh,1,5,72,הברית,,την διαθηκην,False
Neh,1,5,73,וחסד,,και το ελεος,False
Neh,1,5,74,לאהביו,,τοις αγαπωσιν αυτον,False
Neh,1,5,75,ולשמרי,,και τοις φυλασσουσιν,False
Neh,1,5,76,מצותיו,,τας εντολας αυτου,False
Neh,1,6,77,תהי,,εστω,False
Neh,1,6,78,נא,,δη,False
Neh,1,6,79,אזנך,,το ους σου,False
Neh,1,6,80,קשבת,,προσεχον,False
Neh,1,6,81,ועיניך,,και οι οφθαλμοι σου,False
Neh,1,6,82,פתוחות,,ανεωγμενοι,False
Neh,1,6,83,לשמע,,του ακουσαι,False
Neh,1,6,84,אל תפלת,,προσευχην,False
Neh,1,6,85,עבדך,,δουλου σου,False
Neh,1,6,86,אשר,,ην,False
Neh,1,6,87,אנכי,,εγω,False
Neh,1,6,88,מתפלל,,προσευχομαι,False
Neh,1,6,89,לפניך,,ενωπιον σου,False
Neh,1,6,90,היום,,σημερον,False
Neh,1,6,91,יומם,,ημεραν,False
Neh,1,6,92,ולילה,,και νυκτα,False
Neh,1,6,93,על,,περι,False
Neh,1,6,94,בני,,υιων,False
Neh,1,6,95,ישראל,,ισραηλ,False
Neh,1,6,96,עבדיך,,δουλων σου,False
Neh,1,6,97,ומתודה,,και εξαγορευω,False
Neh,1,6,98,על,,επι,False
Neh,1,6,99,חטאות,,αμαρτιαις,False
Neh,1,6,100,בני,,υιων,False
Neh,1,6,101,ישראל,,ισραηλ,False
Neh,1,6,102,אשר,,ας,False
Neh,1,6,103,חטאנו,,ημαρτομεν,False
