book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Num,1,1,1,וידבר,,και ελαλησεν,False
Num,1,1,2,יהוה,,κυριος,False
Num,1,1,3,אל,,προς,False
Num,1,1,4,משה,,μωυσην,False
Num,1,1,5,במדבר,,εν τη ερημω,False
Num,1,1,6,סיני,,τη σινα,False
Num,1,1,7,באהל,,εν τη σκηνη,False
Num,1,1,8,מועד,,του μαρτυριου,False
Num,1,1,9,באחד,,εν μια,False
Num,1,1,10,לחדש,,του μηνος,False
Num,1,1,11,השני,,του δευτερου,False
Num,1,1,12,בשנה,,ετους,False
Num,1,1,13,השנית,,δευτερου,False
Num,1,1,14,לצאתם,,εξελθοντων αυτων,False
Num,1,1,15,מארץ,,εκ γης,False
Num,1,1,16,מצרים,,αιγυπτου,False
Num,1,1,17,לאמר,,λεγων,False
Num,1,2,18,שאו,,λαβετε,False
Num,1,2,19,את ראש,,αρχην,False
Num,1,2,20,כל,,πασης,False
Num,1,2,21,עדת,,συναγωγης,False
Num,1,2,22,בני,,υιων,False
Num,1,2,23,ישראל,,ισραηλ,False
Num,1,2,24,למשפחתם,,κατα συγγενειας αυτων,False
Num,1,2,25,לבית,,κατ' οικους,False
Num,1,2,26,אבתם,,πατριων αυτων,False
Num,1,2,27,במספר,,κατα αριθμον,False
Num,1,2,28,שמות,,εξ ονοματος αυτων,False
Num,1,2,29,כל,,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],False
Num,1,2,30,זכר,,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],False
Num,1,2,31,לגלגלתם,,κατα κεφαλην αυτων,False
Num,1,2,32,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],כל,πας,True
Num,1,2,33,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],זכר,αρσην,True
Num,1,3,34,מבן עשרים שנה,,απο εικοσαετους,False
Num,1,3,35,ומעלה,,και επανω,False
Num,1,3,36,כל,,πας,False
Num,1,3,37,יצא,,ο εκπορευομενος,False
Num,1,3,38,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εν,False
Num,1,3,39,צבא,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εν δυναμει,False
Num,1,3,40,בישראל,,ισραηλ,False
Num,1,3,41,תפקדו,,επισκεψασθε,False
Num,1,3,42,אתם,,αυτους,False
Num,1,3,43,לצבאתם,,συν δυναμει αυτων,False
Num,1,3,44,אתה,,συ,False
Num,1,3,45,ואהרן,,και ααρων,False
Num,1,3,46,•^[Element 'added' in the Greek (plus in the LXX).] =;תפקדו,,επισκεψασθε,True
Num,1,3,47,•^[Element 'added' in the Greek (plus in the LXX).] =;אתם,,αυτους,True
Num,1,4,48,ואתכם,,και μεθ' υμων,False
Num,1,4,49,יהיו,,εσονται,False
