book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Obad,1,1,1,חזון,,ορασις,False
Obad,1,1,2,עבדיה,,αβδιου,False
Obad,1,1,3,כה,,ταδε,False
Obad,1,1,4,אמר,,λεγει,False
Obad,1,1,5,אדני,,κυριος,False
Obad,1,1,6,יהוה,,ο θεος,False
Obad,1,1,7,לאדום,,τη ιδουμαια,False
Obad,1,1,8,שמועה,,ακοην,False
Obad,1,1,9,שמענו,,ηκουσα,False
Obad,1,1,10,מאת,,παρα,False
Obad,1,1,11,יהוה,,κυριου,False
Obad,1,1,12,וציר •^[Etymological exegesis.] צור .yw,,και περιοχην {cπεριοχον},False
Obad,1,1,13,בגוים,,εις τα εθνη,False
Obad,1,1,14,שלח •^[Change from passive to active form in verbs.] •^[Difference in vocalization (reading).],,εξαπεστειλεν,False
Obad,1,1,15,קומו,,αναστητε,False
Obad,1,1,16,ונקומה,,και εξαναστωμεν,False
Obad,1,1,17,עליה,,επ' αυτην,False
Obad,1,1,18,למלחמה,,εις πολεμον,False
Obad,1,2,19,הנה,,ιδου,False
Obad,1,2,20,קטן,,ολιγοστον,False
Obad,1,2,21,נתתיך,,δεδωκα σε,False
Obad,1,2,22,בגוים,,εν τοις εθνεσιν,False
Obad,1,2,23,בזוי,,ητιμωμενος,False
Obad,1,2,24,אתה,,συ ει,False
Obad,1,2,25,מאד,,σφοδρα,False
Obad,1,3,26,זדון,,υπερηφανια,False
Obad,1,3,27,לבך,,της καρδιας σου,False
Obad,1,3,28,השיאך •^[Etymological exegesis.] נשא =vs,,επηρεν σε,False
Obad,1,3,29,שכני,,κατασκηνουντα,False
Obad,1,3,30,בחגוי,,εν ταις οπαις,False
Obad,1,3,31,סלע,,των πετρων,False
Obad,1,3,32,מרום,מרים .wy,υψων,True
Obad,1,3,33,שבתו,,κατοικιαν αυτου,False
Obad,1,3,34,אמר,,λεγων,False
Obad,1,3,35,בלבו,,εν καρδια αυτου,False
Obad,1,3,36,מי,,τις,False
Obad,1,3,37,יורדני,,με καταξει,False
Obad,1,3,38,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,επι,False
Obad,1,3,39,ארץ,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] επι την γην,False
Obad,1,4,40,אם,,εαν,False
Obad,1,4,41,תגביה,,μετεωρισθης,False
Obad,1,4,42,כנשר,,ως αετος,False
Obad,1,4,43,ואם,,και εαν,False
Obad,1,4,44,בין,,ανα μεσον,False
Obad,1,4,45,כוכבים,,των αστρων,False
Obad,1,4,46,שים,,θης,False
Obad,1,4,47,קנך,,νοσσιαν σου,False
Obad,1,4,48,משם,,εκειθεν,False
Obad,1,4,49,אורידך,,καταξω σε,False
Obad,1,4,50,נאם,,λεγει,False
Obad,1,4,51,יהוה,,κυριος,False
Obad,1,5,52,אם,,ει,False
Obad,1,5,53,גנבים,,κλεπται,False
Obad,1,5,54,באו,,εισηλθον,False
Obad,1,5,55,לך,,προς σε,False
Obad,1,5,56,אם,,η,False
Obad,1,5,57,שודדי,,λησται,False
Obad,1,5,58,לילה,,νυκτος,False
Obad,1,5,59,איך,,που αν,False
Obad,1,5,60,נדמיתה,נרמיתה .dr,απερριφης,True
Obad,1,5,61,הלוא,,ουκ αν,False
Obad,1,5,62,יגנבו,,εκλεψαν,False
Obad,1,5,63,דים,,τα ικανα εαυτοις,False
Obad,1,5,64,אם,,και ει,False
Obad,1,5,65,בצרים,,τρυγηται,False
Obad,1,5,66,באו,,εισηλθον,False
Obad,1,5,67,לך,,προς σε,False
Obad,1,5,68,הלוא,,ουκ αν,False
Obad,1,5,69,ישאירו,,υπελιποντο,False
Obad,1,5,70,עללות,,επιφυλλιδα,False
Obad,1,6,71,איך,,πως,False
Obad,1,6,72,נחפשו,,εξηρευνηθη,False
Obad,1,6,73,עשו,,ησαυ,False
Obad,1,6,74,נבעו,,και κατελημφθη,False
Obad,1,6,75,מצפניו,,αυτου τα κεκρυμμενα,False
Obad,1,7,76,עד,,εως,False
Obad,1,7,77,הגבול,,των οριων σου,False
Obad,1,7,78,שלחוך,,εξαπεστειλαν σε,False
Obad,1,7,79,כל,,παντες,False
Obad,1,7,80,אנשי,,οι ανδρες,False
Obad,1,7,81,בריתך,,της διαθηκης σου,False
Obad,1,7,82,השיאוך,,αντεστησαν σοι,False
Obad,1,7,83,יכלו,,ηδυνασθησαν,False
Obad,1,7,84,לך,,προς σε,False
Obad,1,7,85,אנשי,,ανδρες,False
Obad,1,7,86,שלמך,,ειρηνικοι σου,False
Obad,1,7,87,לחמך,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Obad,1,7,88,ישימו,,εθηκαν,False
Obad,1,7,89,"מזור •^[Etymological exegesis.] צוד •^[Interchange of consonants between MT and the presumed Hebrew parent text of the LXX (interchange of R/D, etc.)] .zc",,ενεδρα,False
Obad,1,7,90,תחתיך,,υποκατω σου,False
Obad,1,7,91,אין,,ουκ εστιν,False
Obad,1,7,92,תבונה,,συνεσις,False
Obad,1,7,93,בו,,αυτοις,False
Obad,1,8,94,הלוא,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Obad,1,8,95,ביום,,εν {...τη ημερα},False
Obad,1,8,96,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εκεινη,False
Obad,1,8,97,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,τη ημερα,False
Obad,1,8,98,ההוא,,{..εκεινη},False
Obad,1,8,99,נאם,,λεγει,False
Obad,1,8,100,יהוה,,κυριος,False
Obad,1,8,101,והאבדתי,,απολω,False
Obad,1,8,102,חכמים,,σοφους,False
Obad,1,8,103,מאדום,,εκ της ιδουμαιας,False
Obad,1,8,104,ותבונה,,και συνεσιν,False
Obad,1,8,105,מהר,,εξ ορους,False
Obad,1,8,106,עשו,,ησαυ,False
Obad,1,9,107,וחתו,,και πτοηθησονται,False
Obad,1,9,108,גבוריך,,οι μαχηται σου,False
Obad,1,9,109,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,οι,False
Obad,1,9,110,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εκ,False
Obad,1,9,111,תימן,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] οι •^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εκ θαιμαν",False
Obad,1,9,112,למען,,οπως,False
Obad,1,9,113,יכרת,,εξαρθη,False
Obad,1,9,114,איש,,ανθρωπος,False
Obad,1,9,115,מהר,,εξ ορους,False
Obad,1,9,116,עשו,,ησαυ,False
Obad,1,9,117,מקטל,,δια την σφαγην [10],False
Obad,1,10,118,מחמס,,και την ασεβειαν,False
Obad,1,10,119,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,την,False
Obad,1,10,120,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εις,False
Obad,1,10,121,אחיך,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] την •^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εις τον αδελφον σου",False
Obad,1,10,122,יעקב,,ιακωβ,False
Obad,1,10,123,תכסך,,και καλυψει σε,False
Obad,1,10,124,בושה,,αισχυνη,False
Obad,1,10,125,ונכרת,,και εξαρθηση,False
Obad,1,10,126,לעולם,,εις τον αιωνα,False
Obad,1,11,127,ביום,,αφ' ης ημερας,False
Obad,1,11,128,עמדך,,αντεστης,False
Obad,1,11,129,מנגד,,εξ εναντιας,False
Obad,1,11,130,ביום,,εν ημερα,False
Obad,1,11,131,שבות,,αιχμαλωτευοντων,False
Obad,1,11,132,זרים,,αλλογενων,False
Obad,1,11,133,חילו,,δυναμιν αυτου,False
Obad,1,11,134,ונכרים,,και αλλοτριοι,False
Obad,1,11,135,באו,,εισηλθον,False
Obad,1,11,136,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εις,False
