book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Prov,1,1,1,משלי,,παροιμιαι,False
Prov,1,1,2,שלמה,,σαλωμωντος,False
Prov,1,1,3,בן,,υιου,False
Prov,1,1,4,דוד,,δαυιδ,False
Prov,1,1,5,•^[Element 'added' in the Greek (plus in the LXX).],,ος,True
Prov,1,1,6,מלך •^[Difference in vocalization (reading).],,εβασιλευσεν,False
Prov,1,1,7,ישראל •^[Addition of preposition or particle.],,εν ισραηλ,False
Prov,1,2,8,לדעת,,γνωναι,False
Prov,1,2,9,חכמה,,σοφιαν,False
Prov,1,2,10,ומוסר,,και παιδειαν,False
Prov,1,2,11,להבין,,νοησαι τε,False
Prov,1,2,12,אמרי,,λογους,False
Prov,1,2,13,בינה,,φρονησεως,False
Prov,1,3,14,לקחת,,δεξασθαι τε,False
Prov,1,3,15,מוסר,"•^[Questionable notation, equivalent, etc.] @סור",στροφας λογων,True
Prov,1,3,16,השכל,,νοησαι τε,False
Prov,1,3,17,צדק,,δικαιοσυνην {} αληθη,False
Prov,1,3,18,ומשפט,,και κριμα,False
Prov,1,3,19,ומישרים,,κατευθυνειν,False
Prov,1,4,20,לתת,,ινα δω,False
Prov,1,4,21,לפתאים,,ακακοις,False
Prov,1,4,22,ערמה,,πανουργιαν,False
Prov,1,4,23,לנער,,παιδι δε {} νεω,False
Prov,1,4,24,דעת,,αισθησιν,False
Prov,1,4,25,ומזמה,,τε και εννοιαν,False
Prov,1,5,26,•^[Element 'added' in the Greek (plus in the LXX).],,τωνδε,True
Prov,1,5,27,•^[Element 'added' in the Greek (plus in the LXX).],,γαρ,True
Prov,1,5,28,ישמע,,ακουσας,False
Prov,1,5,29,חכם,,σοφος,False
Prov,1,5,30,ויוסף לקח,,σοφωτερος εσται,False
Prov,1,5,31,ונבון,,ο δε νοημων,False
Prov,1,5,32,תחבלות,,κυβερνησιν,False
Prov,1,5,33,יקנה,,κτησεται,False
Prov,1,6,34,להבין,,νοησει τε,False
Prov,1,6,35,משל,,παραβολην,False
Prov,1,6,36,ומליצה,,και σκοτεινον λογον,False
Prov,1,6,37,דברי,,ρησεις τε,False
Prov,1,6,38,חכמים,,σοφων,False
Prov,1,6,39,וחידתם,,και αινιγματα,False
Prov,1,7,40,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,αρχη,False
Prov,1,7,41,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,σοφιας,False
Prov,1,7,42,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,φοβος,False
Prov,1,7,43,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,θεου,False
Prov,1,7,44,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,συνεσις δε,False
Prov,1,7,45,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,αγαθη,False
Prov,1,7,46,•^[Element 'added' in the Greek (plus in the LXX).] =;לכל <ps111.10>,,πασι,True
Prov,1,7,47,•^[Element 'added' in the Greek (plus in the LXX).],עשיה <ps111.10>,τοις ποιουσιν αυτην,True
Prov,1,7,48,יראת <ps111.10>,,"ευσεβεια δε {d •^[Questionable notation, equivalent, etc.] } •^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] φοβος",False
Prov,1,7,49,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εις,False
Prov,1,7,50,יהוה <ps111.10>,,"•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εις θεον {d •^[Questionable notation, equivalent, etc.] } •^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] θεου",False
Prov,1,7,51,ראשית <ps111.10>,,"αρχη {d •^[Questionable notation, equivalent, etc.] } {..αρχη}",False
Prov,1,7,52,דעת <ps111.10>,,"αισθησεως {d •^[Questionable notation, equivalent, etc.] } {..σοφιασ}",False
Prov,1,7,53,חכמה,{d};שכל <ps111.10>,"σοφιαν {d •^[Questionable notation, equivalent, etc.] } {...συνεσις δε}",True
Prov,1,7,54,•^[Element 'added' in the Greek (plus in the LXX).] =;טוב <ps111.10>,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] αγαθη",True
Prov,1,7,55,ומוסר,,δε και παιδειαν,False
Prov,1,7,56,אוילים,,ασεβεις,False
Prov,1,7,57,בזו,,εξουθενησουσιν,False
Prov,1,8,58,שמע,,ακουε,False
Prov,1,8,59,בני,,υιε,False
Prov,1,8,60,מוסר,,παιδειαν,False
Prov,1,8,61,אביך,,πατρος σου,False
Prov,1,8,62,ואל,,και μη,False
Prov,1,8,63,תטש,,απωση,False
Prov,1,8,64,תורת,,θεσμους,False
Prov,1,8,65,אמך,,μητρος σου,False
Prov,1,9,66,כי,,{..γαρ},False
Prov,1,9,67,לוית,,στεφανον,False
Prov,1,9,68,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,γαρ,False
Prov,1,9,69,חן,,χαριτων,False
Prov,1,9,70,הם,,δεξη,False
Prov,1,9,71,לראשך,,ση κορυφη,False
Prov,1,9,72,וענקים <ju8.26 ge41.42 c18.7,,και κλοιον χρυσεον,False
Prov,1,9,73,לגרגרתיך,,περι σω τραχηλω,False
Prov,1,10,74,בני,,υιε,False
Prov,1,10,75,אם =;אל,,μη,False
Prov,1,10,76,יפתוך,,σε πλανησωσιν,False
Prov,1,10,77,חטאים,,{} ανδρες ασεβεις,False
Prov,1,10,78,אל,,μηδε,False
Prov,1,10,79,תבא,,βουληθης,False
Prov,1,11,80,אם,,εαν [10],False
Prov,1,11,81,יאמרו,,παρακαλεσωσι σε λεγοντες [10],False
Prov,1,11,82,לכה,,ελθε,False
Prov,1,11,83,אתנו,,μεθ' ημων,False
Prov,1,11,84,נארבה,"•^[Questionable notation, equivalent, etc.] @ערב,@חבר <cf1.18>",κοινωνησον,True
Prov,1,11,85,לדם,,αιματος,False
Prov,1,11,86,נצפנה,,κρυψωμεν δε,False
Prov,1,11,87,•^[Element 'added' in the Greek (plus in the LXX).],,εις γην,True
Prov,1,11,88,לנקי,,{} ανδρα δικαιον,False
Prov,1,11,89,חנם,,αδικως,False
Prov,1,12,90,נבלעם,,καταπιωμεν δε αυτον,False
Prov,1,12,91,כשאול,,ωσπερ αδης,False
Prov,1,12,92,חיים,,ζωντα,False
Prov,1,12,93,ותמימים,ונרים,και αρωμεν,True
Prov,1,12,94,כיורדי בור =;זכרם <ps34.17>,,αυτου την μνημην,False
Prov,1,12,95,"•^[Element 'added' in the Greek (plus in the LXX).] =;מארץ <ps34.17,109.15>",,εκ γης,True
Prov,1,13,96,כל,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Prov,1,13,97,הון,,την κτησιν αυτου,False
Prov,1,13,98,יקר,,την πολυτελη,False
Prov,1,13,99,נמצא,,καταλαβωμεθα,False
Prov,1,13,100,נמלא,,πλησωμεν δε,False
Prov,1,13,101,בתינו,,οικους ημετερους,False
Prov,1,13,102,שלל,,σκυλων,False
