book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Ps,1,1,1,אשרי,,μακαριος,False
Ps,1,1,2,האיש,,ανηρ,False
Ps,1,1,3,אשר,,ος,False
Ps,1,1,4,לא,,ουκ,False
Ps,1,1,5,הלך,,επορευθη,False
Ps,1,1,6,בעצת,,εν βουλη,False
Ps,1,1,7,רשעים,,ασεβων,False
Ps,1,1,8,ובדרך,,και εν οδω,False
Ps,1,1,9,חטאים,,αμαρτωλων,False
Ps,1,1,10,לא,,ουκ,False
Ps,1,1,11,עמד,,εστη,False
Ps,1,1,12,ובמושב,,και επι καθεδραν,False
Ps,1,1,13,לצים,,λοιμων,False
Ps,1,1,14,לא,,ουκ,False
Ps,1,1,15,ישב,,εκαθισεν,False
Ps,1,2,16,כי אם,,αλλ' η,False
Ps,1,2,17,בתורת,,εν τω νομω,False
Ps,1,2,18,יהוה,,κυριου,False
Ps,1,2,19,חפצו,,το θελημα αυτου,False
Ps,1,2,20,ובתורתו,,και εν τω νομω αυτου,False
Ps,1,2,21,יהגה,,μελετησει,False
Ps,1,2,22,יומם,,ημερας,False
Ps,1,2,23,ולילה,,και νυκτος,False
Ps,1,3,24,והיה,,και εσται,False
Ps,1,3,25,כעץ,,ως το ξυλον,False
Ps,1,3,26,שתול,,το πεφυτευμενον,False
Ps,1,3,27,על,,παρα,False
Ps,1,3,28,פלגי,,τας διεξοδους,False
Ps,1,3,29,מים,,των υδατων,False
Ps,1,3,30,אשר,,ο,False
Ps,1,3,31,פריו,,τον καρπον αυτου,False
Ps,1,3,32,יתן,,δωσει,False
Ps,1,3,33,בעתו,,εν καιρω αυτου,False
Ps,1,3,34,ועלהו,,και το φυλλον αυτου,False
Ps,1,3,35,לא,,ουκ,False
Ps,1,3,36,יבול,,απορρυησεται,False
Ps,1,3,37,וכל,,και παντα,False
Ps,1,3,38,אשר,,οσα αν,False
Ps,1,3,39,יעשה,,ποιη,False
Ps,1,3,40,יצליח,,κατευοδωθησεται,False
Ps,1,4,41,לא,,ουχ,False
Ps,1,4,42,כן,,ουτως,False
Ps,1,4,43,הרשעים,,οι ασεβεις,False
Ps,1,4,44,•^[Element 'added' in the Greek (plus in the LXX).],,ουχ,True
Ps,1,4,45,•^[Element 'added' in the Greek (plus in the LXX).],,ουτως,True
Ps,1,4,46,כי אם,,αλλ' η,False
Ps,1,4,47,כמץ,,ως ο χνους,False
Ps,1,4,48,אשר,,ον,False
Ps,1,4,49,תדפנו,,εκριπτει,False
Ps,1,4,50,רוח,,ο ανεμος,False
