book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Ruth,1,1,1,ויהי,,και εγενετο,False
Ruth,1,1,2,בימי,ב,εν •^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Ruth,1,1,3,שפט,,τω κρινειν,False
Ruth,1,1,4,השפטים,,τους κριτας,False
Ruth,1,1,5,ויהי,,και εγενετο,False
Ruth,1,1,6,רעב,,λιμος,False
Ruth,1,1,7,בארץ,,εν τη γη,False
Ruth,1,1,8,וילך,,και επορευθη,False
Ruth,1,1,9,איש,,ανηρ,False
Ruth,1,1,10,מבית לחם,,απο βαιθλεεμ,False
Ruth,1,1,11,יהודה,,της ιουδα,False
Ruth,1,1,12,לגור,,του παροικησαι,False
Ruth,1,1,13,בשדי,,εν αγρω,False
Ruth,1,1,14,מואב,,μωαβ,False
Ruth,1,1,15,הוא,,αυτος,False
Ruth,1,1,16,ואשתו,,και η γυνη αυτου,False
Ruth,1,1,17,ושני,,και •^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Ruth,1,1,18,בניו,,οι υιοι αυτου,False
Ruth,1,2,19,ושם,,και ονομα,False
Ruth,1,2,20,האיש,,τω ανδρι,False
Ruth,1,2,21,אלימלך •^[Introducing reconstructed proper noun.] אבימלך .lb,,αβιμελεχ,False
Ruth,1,2,22,ושם,,και ονομα,False
Ruth,1,2,23,אשתו,,τη γυναικι αυτου,False
Ruth,1,2,24,נעמי,,νωεμιν,False
Ruth,1,2,25,ושם,,και ονομα,False
Ruth,1,2,26,שני,,τοις δυσιν,False
Ruth,1,2,27,בניו,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] τοις υιοις αυτου",False
Ruth,1,2,28,מחלון,,μααλων,False
Ruth,1,2,29,וכליון,,και χελαιων,False
Ruth,1,2,30,אפרתים,,εφραθαιοι,False
Ruth,1,2,31,מבית לחם,,εκ βαιθλεεμ,False
Ruth,1,2,32,יהודה,,της ιουδα,False
Ruth,1,2,33,ויבאו,,και ηλθοσαν,False
Ruth,1,2,34,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εις,False
Ruth,1,2,35,שדי,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εις αγρον,False
Ruth,1,2,36,מואב,,μωαβ,False
Ruth,1,2,37,ויהיו,,και ησαν,False
Ruth,1,2,38,שם,,εκει,False
Ruth,1,3,39,וימת,,και απεθανεν,False
Ruth,1,3,40,אלימלך •^[Introducing reconstructed proper noun.] אבימלך,,αβιμελεχ,False
Ruth,1,3,41,איש,,ο ανηρ,False
Ruth,1,3,42,נעמי,,της νωεμιν,False
Ruth,1,3,43,ותשאר,,και κατελειφθη,False
Ruth,1,3,44,היא,,αυτη,False
Ruth,1,3,45,ושני,,και οι δυο,False
Ruth,1,3,46,בניה,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] οι υιοι αυτης",False
Ruth,1,4,47,וישאו,,και ελαβοσαν,False
Ruth,1,4,48,להם,,εαυτοις,False
Ruth,1,4,49,נשים,,γυναικας,False
Ruth,1,4,50,מאביות,,μωαβιτιδας,False
Ruth,1,4,51,שם,,ονομα,False
Ruth,1,4,52,האחת,,τη μια,False
Ruth,1,4,53,ערפה,,ορφα,False
Ruth,1,4,54,ושם,,και ονομα,False
Ruth,1,4,55,השנית,,τη δευτερα,False
Ruth,1,4,56,רות,,ρουθ,False
Ruth,1,4,57,וישבו,,και κατωκησαν,False
Ruth,1,4,58,שם,,εκει,False
Ruth,1,4,59,כעשר,,ως δεκα,False
Ruth,1,4,60,שנים,,ετη,False
Ruth,1,5,61,וימותו,,και απεθανον,False
Ruth,1,5,62,גם,,καιγε,False
Ruth,1,5,63,שניהם,,αμφοτεροι,False
Ruth,1,5,64,מחלון,,μααλων,False
Ruth,1,5,65,וכליון,,και χελαιων,False
Ruth,1,5,66,ותשאר,,και κατελειφθη,False
Ruth,1,5,67,האשה,,η γυνη,False
Ruth,1,5,68,משני,,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],False
Ruth,1,5,69,ילדיה,,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],False
Ruth,1,5,70,ומאישה,,απο του ανδρος αυτης,False
Ruth,1,5,71,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],ומשני,και απο των δυο,True
Ruth,1,5,72,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],ילדיה,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] των υιων αυτης",True
Ruth,1,6,73,ותקם,,και ανεστη,False
Ruth,1,6,74,היא,,αυτη,False
Ruth,1,6,75,•^[Element 'added' in the Greek (plus in the LXX).],ושתי,και αι δυο,True
Ruth,1,6,76,וכלתיה,,{...και αι} νυμφαι αυτης,False
Ruth,1,6,77,ותשב,,και απεστρεψαν,False
Ruth,1,6,78,משדי,,εξ αγρου,False
Ruth,1,6,79,מואב,,μωαβ,False
Ruth,1,6,80,כי,,οτι,False
Ruth,1,6,81,שמעה,,ηκουσαν,False
Ruth,1,6,82,בשדה,,εν αγρω,False
Ruth,1,6,83,מואב,,μωαβ,False
Ruth,1,6,84,כי,,οτι,False
Ruth,1,6,85,פקד,,επεσκεπται,False
Ruth,1,6,86,יהוה,,κυριος,False
Ruth,1,6,87,את עמו,,τον λαον αυτου,False
Ruth,1,6,88,לתת,,δουναι,False
Ruth,1,6,89,להם,,αυτοις,False
Ruth,1,6,90,לחם,,αρτους,False
Ruth,1,7,91,ותצא,,και εξηλθεν,False
Ruth,1,7,92,מן,,εκ,False
Ruth,1,7,93,המקום,,του τοπου,False
Ruth,1,7,94,אשר,,ου,False
Ruth,1,7,95,היתה,,ην,False
Ruth,1,7,96,שמה,,εκει,False
Ruth,1,7,97,ושתי,,και αι δυο,False
Ruth,1,7,98,כלתיה,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] αι νυμφαι αυτης",False
Ruth,1,7,99,עמה,,μετ' αυτης,False
Ruth,1,7,100,ותלכנה,,και επορευοντο,False
Ruth,1,7,101,בדרך,,εν τη οδω,False
Ruth,1,7,102,לשוב,,του επιστρεψαι,False
Ruth,1,7,103,אל,,εις,False
Ruth,1,7,104,ארץ,,την γην,False
Ruth,1,7,105,יהודה,,ιουδα,False
Ruth,1,8,106,ותאמר,,και ειπεν,False
Ruth,1,8,107,נעמי,,νωεμιν,False
Ruth,1,8,108,לשתי,,ταις •^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Ruth,1,8,109,כלתיה,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] ταις νυμφαις αυτης",False
Ruth,1,8,110,לכנה,,πορευεσθε δη,False
Ruth,1,8,111,שבנה,,αποστραφητε,False
Ruth,1,8,112,אשה,,εκαστη,False
Ruth,1,8,113,לבית,,εις οικον,False
Ruth,1,8,114,אמה,,μητρος αυτης,False
Ruth,1,8,115,*יעשה **יעש,,ποιησαι,False
Ruth,1,8,116,יהוה,,κυριος,False
Ruth,1,8,117,עמכם,,μεθ' υμων,False
Ruth,1,8,118,חסד,,ελεος,False
Ruth,1,8,119,כאשר,,καθως,False
Ruth,1,8,120,עשיתם,,εποιησατε,False
Ruth,1,8,121,עם,,μετα,False
Ruth,1,8,122,המתים,,των τεθνηκοτων,False
Ruth,1,8,123,ועמדי,,και μετ' εμου,False
Ruth,1,9,124,יתן,,δωη,False
Ruth,1,9,125,יהוה,,κυριος,False
Ruth,1,9,126,לכם,,υμιν,False
Ruth,1,9,127,ומצאן,,και ευροιτε,False
Ruth,1,9,128,מנוחה,,αναπαυσιν,False
Ruth,1,9,129,אשה,,εκαστη,False
Ruth,1,9,130,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εν,False
Ruth,1,9,131,בית,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] εν οικω,False
Ruth,1,9,132,אישה,,ανδρος αυτης,False
Ruth,1,9,133,ותשק,,και κατεφιλησεν,False
Ruth,1,9,134,להן,,αυτας,False
Ruth,1,9,135,ותשאנה,,και επηραν,False
Ruth,1,9,136,קולן,,την φωνην αυτων,False
Ruth,1,9,137,ותבכינה,,και εκλαυσαν,False
Ruth,1,10,138,ותאמרנה,,και ειπαν,False
Ruth,1,10,139,לה,,αυτη,False
