book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Song,1,1,1,שיר,,ασμα,False
Song,1,1,2,השירים,,ασματων,False
Song,1,1,3,אשר,,ο εστιν,False
Song,1,1,4,לשלמה,,τω σαλωμων,False
Song,1,2,5,ישקני,,φιλησατω με,False
Song,1,2,6,מנשיקות,,απο φιληματων,False
Song,1,2,7,פיהו,,στοματος αυτου,False
Song,1,2,8,כי,,οτι,False
Song,1,2,9,טובים,,αγαθοι,False
Song,1,2,10,דדיך •^[Difference in vocalization (reading).],,μαστοι σου,False
Song,1,2,11,מיין,,υπερ οινον,False
Song,1,3,12,לריח •^[Difference in preposition or particle.],,και οσμη,False
Song,1,3,13,שמניך,,μυρων σου,False
Song,1,3,14,טובים,,"•^[Distributive rendering, occurring once in the translation but referring to more than one Hebrew word.] αγαθοι",False
Song,1,3,15,•^[Element 'added' in the Greek (plus in the LXX).] =;מכל <4.10>,,υπερ παντα,True
Song,1,3,16,•^[Element 'added' in the Greek (plus in the LXX).] =;בשמים <4.10>,,τα αρωματα,True
Song,1,3,17,שמן <q6>,,μυρον,False
Song,1,3,18,"תורק <q6 •^[Questionable notation, equivalent, etc.] >",,εκκενωθεν,False
Song,1,3,19,שמך,,ονομα σου,False
Song,1,3,20,על כן,,δια τουτο,False
Song,1,3,21,עלמות,,νεανιδες,False
Song,1,3,22,אהבוך,,ηγαπησαν σε,False
Song,1,4,23,משכני,,ειλκυσαν σε,False
Song,1,4,24,אחריך,,οπισω σου,False
Song,1,4,25,•^[Element 'added' in the Greek (plus in the LXX).] =;לריח <1.3>,,εις οσμην,True
Song,1,4,26,•^[Element 'added' in the Greek (plus in the LXX).] =;שמניך <1.3>,,μυρων σου,True
Song,1,4,27,נרוצה,,δραμουμεν,False
Song,1,4,28,הביאני,,εισηνεγκεν με,False
Song,1,4,29,המלך,,ο βασιλευς,False
Song,1,4,30,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εις,False
