book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Zech,1,1,1,בחדש,,εν {..μηνι},False
Zech,1,1,2,השמיני,,τω ογδοω,False
Zech,1,1,3,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,μηνι,False
Zech,1,1,4,בשנת,,ετους,False
Zech,1,1,5,שתים,,δευτερου,False
Zech,1,1,6,לדריוש,,επι δαρειου,False
Zech,1,1,7,היה,,εγενετο,False
Zech,1,1,8,דבר,,λογος,False
Zech,1,1,9,יהוה,,κυριου,False
Zech,1,1,10,אל,,προς,False
Zech,1,1,11,זכריה,,ζαχαριαν,False
Zech,1,1,12,בן,,τον του,False
Zech,1,1,13,ברכיה,,βαραχιου,False
Zech,1,1,14,בן,,υιον,False
Zech,1,1,15,עדו,,αδδω,False
Zech,1,1,16,הנביא,,τον προφητην,False
Zech,1,1,17,לאמר,,λεγων,False
Zech,1,2,18,קצף,,ωργισθη,False
Zech,1,2,19,יהוה,,κυριος,False
Zech,1,2,20,על,,επι,False
Zech,1,2,21,אבותיכם,,τους πατερας υμων,False
Zech,1,2,22,קצף,,οργην,False
Zech,1,2,23,•^[Element 'added' in the Greek (plus in the LXX).] =;גדול <7.12>,,μεγαλην,True
Zech,1,3,24,ואמרת,,και ερεις,False
Zech,1,3,25,אלהם,,προς αυτους,False
Zech,1,3,26,כה,,ταδε,False
Zech,1,3,27,אמר,,λεγει,False
Zech,1,3,28,יהוה,,κυριος,False
Zech,1,3,29,צבאות,,παντοκρατωρ,False
Zech,1,3,30,שובו,,επιστρεψατε,False
Zech,1,3,31,אלי,,προς με,False
Zech,1,3,32,נאם,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Zech,1,3,33,יהוה,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Zech,1,3,34,צבאות,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Zech,1,3,35,ואשוב,,και επιστραφησομαι,False
Zech,1,3,36,אליכם,,προς υμας,False
Zech,1,3,37,אמר,,λεγει,False
Zech,1,3,38,יהוה,,κυριος,False
Zech,1,3,39,צבאות,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Zech,1,4,40,אל,,και μη,False
Zech,1,4,41,תהיו,,γινεσθε,False
Zech,1,4,42,כאבתיכם,,καθως οι πατερες υμων,False
Zech,1,4,43,אשר,,οις,False
Zech,1,4,44,"קראו •^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] אל",,ενεκαλεσαν,False
Zech,1,4,45,אליהם,,•^[Greek preverb representing Hebrew preposition.] αυτοις,False
Zech,1,4,46,הנביאים,,οι προφηται,False
Zech,1,4,47,הראשנים,,οι εμπροσθεν,False
Zech,1,4,48,לאמר,,λεγοντες,False
Zech,1,4,49,כה,,ταδε,False
Zech,1,4,50,אמר,,λεγει,False
Zech,1,4,51,יהוה,,κυριος,False
Zech,1,4,52,צבאות,,παντοκρατωρ,False
Zech,1,4,53,שובו,,αποστρεψατε,False
Zech,1,4,54,נא,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Zech,1,4,55,מדרכיכם,,απο των οδων υμων,False
Zech,1,4,56,הרעים,,των πονηρων,False
Zech,1,4,57,*ומעליליכם **ומעלליכם,,και απο των επιτηδευματων υμων,False
Zech,1,4,58,הרעים,,των πονηρων,False
Zech,1,4,59,ולא,,και ου,False
Zech,1,4,60,שמעו,,προσεσχον,False
Zech,1,4,61,"ולא הקשיבו •^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] אל",,του εισακουσαι,False
Zech,1,4,62,אלי,,•^[Greek preverb representing Hebrew preposition.] μου,False
Zech,1,4,63,נאם,,λεγει,False
Zech,1,4,64,יהוה,,κυριος,False
Zech,1,5,65,אבותיכם,,οι πατερες υμων,False
Zech,1,5,66,איה,,που,False
Zech,1,5,67,הם,,εισιν,False
Zech,1,5,68,והנבאים,,και οι προφηται,False
Zech,1,5,69,הלעולם,,μη τον αιωνα,False
Zech,1,5,70,יחיו,,ζησονται,False
Zech,1,6,71,אך,,πλην,False
Zech,1,6,72,דברי,,τους λογους μου,False
Zech,1,6,73,וחקי,,και τα νομιμα μου,False
Zech,1,6,74,•^[Element 'added' in the Greek (plus in the LXX).],קבלו,δεχεσθε,True
Zech,1,6,75,אשר,,οσα,False
Zech,1,6,76,צויתי,,εγω εντελλομαι,False
Zech,1,6,77,•^[Element 'added' in the Greek (plus in the LXX).],ברוחי <7.12>,εν πνευματι μου,True
Zech,1,6,78,את עבדי,,τοις δουλοις μου,False
Zech,1,6,79,הנביאים,,τοις προφηταις,False
Zech,1,6,80,הלוא,,οι,False
Zech,1,6,81,השיגו,,κατελαβοσαν,False
Zech,1,6,82,אבתיכם,,τους πατερας υμων,False
Zech,1,6,83,וישובו •^[Difference in vocalization (reading).],,και απεκριθησαν,False
Zech,1,6,84,ויאמרו,,και ειπαν,False
Zech,1,6,85,כאשר,,καθως,False
Zech,1,6,86,זמם,,παρατετακται,False
Zech,1,6,87,יהוה,,κυριος,False
Zech,1,6,88,צבאות,,παντοκρατωρ,False
Zech,1,6,89,לעשות,,του ποιησαι,False
Zech,1,6,90,לנו <q4e>,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Zech,1,6,91,כדרכינו,,κατα τας οδους υμων,False
Zech,1,6,92,וכמעללינו,,και κατα τα επιτηδευματα υμων,False
Zech,1,6,93,כן,,ουτως,False
Zech,1,6,94,עשה,,εποιησεν,False
Zech,1,6,95,אתנו,,υμιν,False
Zech,1,7,96,ביום עשרים וארבעה,,τη τετραδι και εικαδι,False
Zech,1,7,97,לעשתי עשר,,τω ενδεκατω,False
Zech,1,7,98,חדש,,μηνι,False
Zech,1,7,99,הוא,,ουτος εστιν,False
Zech,1,7,100,חדש,,ο μην,False
Zech,1,7,101,שבט,,σαβατ,False
Zech,1,7,102,בשנת,,εν {..ετει},False
Zech,1,7,103,שתים,,τω δευτερω,False
Zech,1,7,104,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,ετει,False
Zech,1,7,105,לדריוש,,επι δαρειου,False
Zech,1,7,106,היה,,εγενετο,False
Zech,1,7,107,דבר,,λογος,False
Zech,1,7,108,יהוה,,κυριου,False
Zech,1,7,109,אל,,προς,False
Zech,1,7,110,זכריה,,ζαχαριαν,False
Zech,1,7,111,בן,,τον του,False
Zech,1,7,112,ברכיהו,,βαραχιου,False
Zech,1,7,113,בן,,υιον,False
Zech,1,7,114,עדוא,,αδδω,False
Zech,1,7,115,הנביא,,τον προφητην,False
Zech,1,7,116,לאמר,,λεγων,False
Zech,1,8,117,ראיתי,,εωρακα,False
Zech,1,8,118,הלילה,,την νυκτα,False
Zech,1,8,119,והנה,,και ιδου,False
Zech,1,8,120,איש,,ανηρ,False
Zech,1,8,121,רכב,,επιβεβηκως,False
Zech,1,8,122,על,,επι,False
Zech,1,8,123,סוס,,ιππον,False
Zech,1,8,124,אדם,,πυρρον,False
Zech,1,8,125,והוא,,και ουτος,False
Zech,1,8,126,עמד,,ειστηκει,False
Zech,1,8,127,בין,,ανα μεσον,False
Zech,1,8,128,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,των,False
