book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Zeph,1,1,1,דבר,,λογος,False
Zeph,1,1,2,יהוה,,κυριου,False
Zeph,1,1,3,אשר,,ος,False
Zeph,1,1,4,היה,,εγενηθη,False
Zeph,1,1,5,אל,,προς,False
Zeph,1,1,6,צפניה,,σοφονιαν,False
Zeph,1,1,7,בן,,τον του,False
Zeph,1,1,8,כושי,,χουσι,False
Zeph,1,1,9,בן,,υιον,False
Zeph,1,1,10,גדליה,,γοδολιου,False
Zeph,1,1,11,בן,,του,False
Zeph,1,1,12,אמריה,,αμαριου,False
Zeph,1,1,13,בן,,του,False
Zeph,1,1,14,חזקיה,,εζεκιου,False
Zeph,1,1,15,בימי,,εν ημεραις,False
Zeph,1,1,16,יאשיהו,,ιωσιου,False
Zeph,1,1,17,בן,,υιου,False
Zeph,1,1,18,אמון,,αμων,False
Zeph,1,1,19,מלך,,βασιλεως,False
Zeph,1,1,20,יהודה,,ιουδα,False
Zeph,1,2,21,אסף {!}nd,,εκλειψει,False
Zeph,1,2,22,אסף {!}nd,,εκλιπετω,False
Zeph,1,2,23,כל,,παντα,False
Zeph,1,2,24,מעל פני,,απο προσωπου,False
Zeph,1,2,25,האדמה,,της γης,False
Zeph,1,2,26,נאם,,λεγει,False
Zeph,1,2,27,יהוה,,κυριος,False
Zeph,1,3,28,אסף,,εκλιπετω,False
Zeph,1,3,29,אדם,,ανθρωπος,False
Zeph,1,3,30,ובהמה,,και κτηνη,False
Zeph,1,3,31,אסף,,εκλιπετω,False
Zeph,1,3,32,עוף,,τα πετεινα,False
Zeph,1,3,33,השמים,,του ουρανου,False
Zeph,1,3,34,ודגי,,και οι ιχθυες,False
Zeph,1,3,35,הים,,της θαλασσης,False
Zeph,1,3,36,והמכשלות,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Zeph,1,3,37,את הרשעים,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Zeph,1,3,38,והכרתי,,και εξαρω,False
Zeph,1,3,39,את האדם,,τους ανθρωπους,False
Zeph,1,3,40,מעל פני,,απο προσωπου,False
Zeph,1,3,41,האדמה,,της γης,False
Zeph,1,3,42,נאם,,λεγει,False
Zeph,1,3,43,יהוה,,κυριος,False
Zeph,1,4,44,ונטיתי,,και εκτενω,False
Zeph,1,4,45,ידי,,την χειρα μου,False
Zeph,1,4,46,על,,επι,False
Zeph,1,4,47,יהודה,,ιουδαν,False
Zeph,1,4,48,ועל,,και επι,False
Zeph,1,4,49,כל,,παντας,False
Zeph,1,4,50,יושבי,,τους κατοικουντας,False
Zeph,1,4,51,ירושלם,,ιερουσαλημ,False
Zeph,1,4,52,והכרתי,,και εξαρω,False
Zeph,1,4,53,מן,,εκ,False
Zeph,1,4,54,המקום,,του τοπου,False
Zeph,1,4,55,הזה,,τουτου,False
Zeph,1,4,56,את שאר =;את שם,,τα ονοματα,False
Zeph,1,4,57,הבעל,,της βααλ,False
Zeph,1,4,58,את שם,,και τα ονοματα,False
Zeph,1,4,59,הכמרים,,"{... •^[Questionable notation, equivalent, etc.] των ιερεων}",False
Zeph,1,4,60,עם,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Zeph,1,4,61,הכהנים,,των ιερεων,False
Zeph,1,5,62,ואת המשתחוים,,και τους προσκυνουντας,False
Zeph,1,5,63,על,,επι,False
Zeph,1,5,64,הגגות,,τα δωματα,False
Zeph,1,5,65,לצבא,,τη στρατια,False
Zeph,1,5,66,השמים,,του ουρανου,False
Zeph,1,5,67,ואת המשתחוים,,και •^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Zeph,1,5,68,הנשבעים,,τους ομνυοντας,False
Zeph,1,5,69,ליהוה,,κατα του κυριου,False
Zeph,1,5,70,והנשבעים,,και τους ομνυοντας,False
Zeph,1,5,71,במלכם,,κατα του βασιλεως αυτων,False
Zeph,1,6,72,ואת הנסוגים,,και τους εκκλινοντας,False
Zeph,1,6,73,מאחרי,,απο,False
Zeph,1,6,74,יהוה,,του κυριου,False
Zeph,1,6,75,ואשר,,και τους,False
Zeph,1,6,76,לא,,μη,False
Zeph,1,6,77,בקשו,,ζητησαντας,False
Zeph,1,6,78,את יהוה,,τον κυριον,False
Zeph,1,6,79,ולא,,και τους μη,False
Zeph,1,6,80,דרשהו,,αντεχομενους του κυριου,False
Zeph,1,7,81,הס,,ευλαβεισθε,False
Zeph,1,7,82,מפני,,απο προσωπου,False
Zeph,1,7,83,אדני,,κυριου,False
Zeph,1,7,84,יהוה,,του θεου,False
Zeph,1,7,85,כי,,διοτι,False
Zeph,1,7,86,קרוב,,εγγυς,False
Zeph,1,7,87,יום,,η ημερα,False
Zeph,1,7,88,יהוה,,του κυριου,False
Zeph,1,7,89,כי,,οτι,False
Zeph,1,7,90,הכין,,ητοιμακεν,False
Zeph,1,7,91,יהוה,,κυριος,False
Zeph,1,7,92,זבח,,την θυσιαν αυτου,False
Zeph,1,7,93,הקדיש,,ηγιακεν,False
Zeph,1,7,94,קראיו,,τους κλητους αυτου,False
Zeph,1,8,95,והיה,,και εσται,False
Zeph,1,8,96,ביום,,εν ημερα,False
Zeph,1,8,97,זבח,,θυσιας,False
Zeph,1,8,98,יהוה,,κυριου,False
Zeph,1,8,99,ופקדתי,,και εκδικησω,False
Zeph,1,8,100,על,,επι,False
Zeph,1,8,101,השרים,,τους αρχοντας,False
Zeph,1,8,102,ועל,,και επι,False
Zeph,1,8,103,בני,בית,τον οικον,True
Zeph,1,8,104,המלך,,του βασιλεως,False
Zeph,1,8,105,ועל,,και επι,False
Zeph,1,8,106,כל,,παντας,False
Zeph,1,8,107,הלבשים,,τους ενδεδυμενους,False
Zeph,1,8,108,מלבוש,,ενδυματα,False
Zeph,1,8,109,נכרי,,αλλοτρια,False
Zeph,1,9,110,ופקדתי,,και εκδικησω,False
Zeph,1,9,111,על,,επι,False
Zeph,1,9,112,כל,,παντας,False
Zeph,1,9,113,הדולג,,εμφανως,False
